id,absolute_epsilon_currency,first_diagnostic_hit,hit_count,original_outer_status,old_pg_stop_any,old_local_stop_any,author_epsilon_confirmed
single-delay-switch,1.0e-6,,0,local_direction_stalled,false,false,false
single-delay-switch,0.0001,35,1,local_direction_stalled,false,false,false
single-delay-switch,0.01,9,12,local_direction_stalled,false,false,false
single-impossible-heat,1.0e-6,,0,local_direction_stalled,false,false,false
single-impossible-heat,0.0001,,0,local_direction_stalled,false,false,false
single-impossible-heat,0.01,,0,local_direction_stalled,false,false,false
single-loose-electric,1.0e-6,2,3,smooth_numeric_stop,true,false,false
single-loose-electric,0.0001,2,3,smooth_numeric_stop,true,false,false
single-loose-electric,0.01,2,3,smooth_numeric_stop,true,false,false
single-low-flow,1.0e-6,,0,local_direction_stalled,false,false,false
single-low-flow,0.0001,,0,local_direction_stalled,false,false,false
single-low-flow,0.01,16,6,local_direction_stalled,false,false,false
single-no-halfspace,1.0e-6,,0,iteration_limit,false,false,false
single-no-halfspace,0.0001,,0,iteration_limit,false,false,false
single-no-halfspace,0.01,5,143,iteration_limit,false,false,false
single-source-VF_CT-pg,1.0e-6,,0,local_direction_stalled,false,false,false
single-source-VF_CT-pg,0.0001,84,1,local_direction_stalled,false,false,false
single-source-VF_CT-pg,0.01,12,49,local_direction_stalled,false,false,false
single-source-VF_VT-pg,1.0e-6,,0,iteration_limit,false,false,false
single-source-VF_VT-pg,0.0001,,0,iteration_limit,false,false,false
single-source-VF_VT-pg,0.01,2,199,iteration_limit,false,false,false
single-source-box25,1.0e-6,,0,iteration_limit,false,false,false
single-source-box25,0.0001,,0,iteration_limit,false,false,false
single-source-box25,0.01,11,157,iteration_limit,false,false,false
single-source-box50,1.0e-6,,0,iteration_limit,false,false,false
single-source-box50,0.0001,,0,iteration_limit,false,false,false
single-source-box50,0.01,11,165,iteration_limit,false,false,false
single-source-box75,1.0e-6,,0,iteration_limit,false,false,false
single-source-box75,0.0001,,0,iteration_limit,false,false,false
single-source-box75,0.01,16,132,iteration_limit,false,false,false
single-source-case_fixed,1.0e-6,,0,iteration_limit,false,false,false
single-source-case_fixed,0.0001,,0,iteration_limit,false,false,false
single-source-case_fixed,0.01,11,166,iteration_limit,false,false,false
single-source-schpd,1.0e-6,,0,iteration_limit,false,false,false
single-source-schpd,0.0001,,0,iteration_limit,false,false,false
single-source-schpd,0.01,14,175,iteration_limit,false,false,false
two-no-halfspace,1.0e-6,,0,iteration_limit,false,false,false
two-no-halfspace,0.0001,,0,iteration_limit,false,false,false
two-no-halfspace,0.01,20,123,iteration_limit,false,false,false
two-source-VF_CT-pg,1.0e-6,,0,untrusted_dual_local_stalled,false,false,false
two-source-VF_CT-pg,0.0001,,0,untrusted_dual_local_stalled,false,false,false
two-source-VF_CT-pg,0.01,,0,untrusted_dual_local_stalled,false,false,false
two-source-VF_VT-pg,1.0e-6,,0,iteration_limit,false,false,false
two-source-VF_VT-pg,0.0001,21,180,iteration_limit,false,false,false
two-source-VF_VT-pg,0.01,15,186,iteration_limit,false,false,false
two-source-box25,1.0e-6,,0,iteration_limit,false,false,false
two-source-box25,0.0001,,0,iteration_limit,false,false,false
two-source-box25,0.01,117,23,iteration_limit,false,false,false
two-source-box50,1.0e-6,,0,iteration_limit,false,false,false
two-source-box50,0.0001,,0,iteration_limit,false,false,false
two-source-box50,0.01,14,152,iteration_limit,false,false,false
two-source-box75,1.0e-6,,0,iteration_limit,false,false,false
two-source-box75,0.0001,,0,iteration_limit,false,false,false
two-source-box75,0.01,10,75,iteration_limit,false,false,false
two-source-case_fixed,1.0e-6,,0,iteration_limit,false,false,false
two-source-case_fixed,0.0001,,0,iteration_limit,false,false,false
two-source-case_fixed,0.01,14,158,iteration_limit,false,false,false
two-source-schpd,1.0e-6,,0,local_direction_stalled,false,false,false
two-source-schpd,0.0001,,0,local_direction_stalled,false,false,false
two-source-schpd,0.01,79,20,local_direction_stalled,false,false,false
