iteration,local_direction_norm,local_kkt_reason,local_kkt_trusted,local_status,local_trust_binding,mode,old_local_stop,old_pg_stop,original_outer_status,predicted_improvement,projected_gradient_norm,small_accepted_after,small_accepted_before,smooth,trusted_sensitivity
1,,,,,,diagnostic,false,false,local_direction_stalled,,0.02099896334777629,0,0,true,true
2,,,,,,diagnostic,false,false,local_direction_stalled,,0.0209989946403355,0,0,true,true
3,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999382804424815,0,0,true,true
4,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999820464907337,0,0,true,true
5,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999484098885857,0,0,true,true
6,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999096098285097,0,0,true,true
7,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999130184460535,0,0,true,true
8,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999067825667073,0,0,true,true
9,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999042804748402,0,0,true,true
10,,,,,,diagnostic,false,false,local_direction_stalled,,0.020998892394389568,0,0,true,true
11,,,,,,diagnostic,false,false,local_direction_stalled,,0.02099930017629248,0,0,true,true
12,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999207509387885,0,0,true,true
13,,,,,,diagnostic,false,false,local_direction_stalled,,0.02099927215694719,0,0,true,true
14,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999266645820303,0,0,true,true
15,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999390318252154,0,0,true,true
16,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999356417051196,0,0,true,true
17,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999375666332032,0,0,true,true
18,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999416369096746,0,0,true,true
19,,,,,,diagnostic,false,false,local_direction_stalled,,0.02099947020117021,0,0,true,true
20,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999615678247707,0,0,true,true
21,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999380913754973,0,0,true,true
22,,,,,,diagnostic,false,false,local_direction_stalled,,0.02099925444707007,0,0,true,true
23,,,,,,diagnostic,false,false,local_direction_stalled,,0.020999324417266152,0,0,true,true
24,,,,,,diagnostic,false,false,local_direction_stalled,,0.019384049978613538,0,0,true,true
25,5.912959011311614e-10,checked,true,local_checked,false,diagnostic,false,false,local_direction_stalled,-1.3007550592192274e-10,0.7726604605242509,0,0,true,true
