cost,iteration,local_direction_norm,local_kkt_reason,local_kkt_trusted,local_status,local_trust_binding,mode,old_local_stop,old_pg_stop,original_outer_status,predicted_improvement,projected_gradient_norm,small_accepted_after,small_accepted_before,smooth,trusted_sensitivity
,1,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.2843082416358288,0,0,true,true
,2,0.013403455005828402,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.8082482973258354e-6,0.3997061839272842,0,0,true,true
,3,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.001196627143209783,0,0,true,true
,4,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0005966579800897875,0,0,true,true
,5,0.013763298083136921,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,7.0279451532614e-6,0.39970405446686064,0,0,true,true
,6,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012080509119123395,0,0,true,true
,7,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.000592271843750547,0,0,true,true
,8,0.014149655310069398,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,7.267889523628946e-6,0.39970179940299966,0,0,true,true
,9,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012198700391353734,0,0,true,true
,10,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0005855819837937704,0,0,true,true
,11,0.014564638277032915,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,7.5304319829657464e-6,0.39969947079461843,0,0,true,true
,12,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012320677251788092,0,0,true,true
,13,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0005758909412069135,0,0,true,true
,14,0.01501169009644776,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,7.819148423695237e-6,0.39969739043608854,0,0,true,true
,15,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012447639803551125,0,0,true,true
,16,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0013131879207832764,0,0,true,true
,17,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0012987615712500844,0,0,true,true
,18,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0013023145618838994,0,0,true,true
,19,0.004396988737489282,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.151739781032296e-7,0.001303542817066905,0,0,true,true
,20,0.004455020912707663,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.139121591743966e-7,0.001298818365649379,0,0,true,true
,21,0.0044761304696265825,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.1779843039037215e-7,0.0012912559185400685,0,0,true,true
,22,0.004497025010897326,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.2280635916028774e-7,0.0012957116090704934,0,0,true,true
,23,0.004517829998418987,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.2769482543306457e-7,0.001288777193913404,0,0,true,true
,24,0.00453852677072808,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.324566271405304e-7,0.0012901472228711297,0,0,true,true
,25,0.004559073056130014,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.3700400563245095e-7,0.0012839736521690348,0,0,true,true
,26,0.004579458047831109,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.4204461047618837e-7,0.0012655077607930387,0,0,true,true
,27,0.004599661163225077,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.4739245896907484e-7,0.0012895135734776186,0,0,true,true
,28,0.0046196505922329045,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.5228492445871646e-7,0.0012852818968177582,0,0,true,true
,29,0.004639382896010957,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.575723647351151e-7,0.0012862893076880377,0,0,true,true
,30,0.004658833979011456,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.623553477850275e-7,0.001278384376208419,0,0,true,true
,31,0.004677976652720517,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.6741719655132705e-7,0.0012441879185519644,0,0,true,true
,32,0.00469677824902992,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,4.728657949336831e-7,0.0012767943205337362,0,0,true,true
