run_id,iteration,trial,kind,mode,accepted,merit,cost,step
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,1,1,projected_gradient,diagnostic,false,0.041438251176004935,,1.0
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,1,2,projected_gradient,diagnostic,true,0.0013929040520362752,,0.5
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,2,1,projected_gradient,diagnostic,false,0.03774199349951183,,1.0
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,2,2,projected_gradient,dispatch,true,0.05324144532074735,80.29874783275116,0.5
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,3,1,projected_gradient,diagnostic,false,0.0012055716500086631,,1.0
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,3,2,projected_gradient,diagnostic,false,0.0003728643347106664,,0.5
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,3,3,projected_gradient,dispatch,true,0.053200375630822104,80.2368065264059,0.25
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,4,1,projected_gradient,diagnostic,false,0.0016553153258367151,,1.0
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,4,2,projected_gradient,diagnostic,false,0.00079938909379919,,0.5
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,4,3,projected_gradient,diagnostic,false,0.0003791849546753977,,0.25
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,4,4,projected_gradient,diagnostic,false,0.00017099606905814587,,0.125
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,4,5,projected_gradient,diagnostic,false,6.737665744857033e-5,,0.0625
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,4,6,projected_gradient,diagnostic,false,1.5685253588451317e-5,,0.03125
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,4,7,projected_gradient,dispatch,true,0.05319778619945069,80.23290114601153,0.015625
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,5,1,projected_gradient,diagnostic,false,0.0016839085664657808,,1.0
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,5,2,projected_gradient,diagnostic,false,0.0008265673896878396,,0.5
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,5,3,projected_gradient,diagnostic,false,0.00040566830883406214,,0.25
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,5,4,projected_gradient,diagnostic,false,0.00019713497490708002,,0.125
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,5,5,projected_gradient,diagnostic,false,9.334409289280542e-5,,0.0625
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,5,6,projected_gradient,diagnostic,false,4.1567159377809544e-5,,0.03125
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,5,7,projected_gradient,diagnostic,false,1.5708278007088764e-5,,0.015625
r3-v3-20260917T115348-b8a7a604/single-no-halfspace,5,8,projected_gradient,diagnostic,false,2.7862785305275217e-6,,0.0078125
