run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v3-20260917T115348-b8a7a604/single-source-box75,2,initial subproblem / diagnostic,1,S,1.0,1.2499999344697679,346.58503142168183,346.58503142168246,0.15
r3-v3-20260917T115348-b8a7a604/single-source-box75,2,initial subproblem / diagnostic,1,R,1.0,1.2499999344697679,312.8463078568722,312.8463078568722,0.15
r3-v3-20260917T115348-b8a7a604/single-source-box75,2,initial subproblem / diagnostic,1,S,2.0,1.2499999344697676,343.4761920739899,343.47619207399015,0.15999999999999978
r3-v3-20260917T115348-b8a7a604/single-source-box75,2,initial subproblem / diagnostic,1,R,2.0,1.2499999344697676,312.863326266886,312.86332626688596,0.15999999999999978
r3-v3-20260917T115348-b8a7a604/single-source-box75,2,initial subproblem / diagnostic,1,S,3.0,1.2499999344697676,345.38095407844963,345.3809540784492,0.1699999999999999
r3-v3-20260917T115348-b8a7a604/single-source-box75,2,initial subproblem / diagnostic,1,R,3.0,1.2499999344697676,312.863326266886,312.863326266886,0.1699999999999999
r3-v3-20260917T115348-b8a7a604/single-source-box75,2,initial subproblem / diagnostic,1,S,4.0,1.2499999344697676,344.10990741128074,344.10990741128154,0.16
r3-v3-20260917T115348-b8a7a604/single-source-box75,2,initial subproblem / diagnostic,1,R,4.0,1.2499999344697676,312.863326266886,312.863326266886,0.16
r3-v3-20260917T115348-b8a7a604/single-source-box75,3518,verified final,1,S,1.0,1.0397132409818626,347.35013069618947,347.35013069618947,0.15
r3-v3-20260917T115348-b8a7a604/single-source-box75,3518,verified final,1,R,1.0,1.0397132409818626,312.83255032286513,312.83255032286513,0.15
r3-v3-20260917T115348-b8a7a604/single-source-box75,3518,verified final,1,S,2.0,1.2186822352654616,344.25936933587934,344.2593693358794,0.16
r3-v3-20260917T115348-b8a7a604/single-source-box75,3518,verified final,1,R,2.0,1.2186822352654616,312.84780811901135,312.8478081190113,0.16
r3-v3-20260917T115348-b8a7a604/single-source-box75,3518,verified final,1,S,3.0,0.9909965908618996,353.84392504416905,353.84392504416905,0.17
r3-v3-20260917T115348-b8a7a604/single-source-box75,3518,verified final,1,R,3.0,0.9909965908618996,312.8437866618325,312.8437866618325,0.17
r3-v3-20260917T115348-b8a7a604/single-source-box75,3518,verified final,1,S,4.0,0.8837195379414067,356.1078373394116,356.10783733941156,0.16
r3-v3-20260917T115348-b8a7a604/single-source-box75,3518,verified final,1,R,4.0,0.8837195379414067,312.81735345482815,312.81735345482815,0.16
