id,run_sha256,selected_stage,selected_name,selected_variant,selected_objective_kind,candidate_inner_cost_complete,selected_from_original_equality_model,original_equality_attempts,original_equality_A1_candidates,original_equality_statuses,best_original_equality_cost
single-source-schpd,202bc54843d524b0019ff8dd8295b231cb2722ca413a5940ae03e3ff26cd1251,1429,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,3,solver_optimal;solver_optimal;solver_optimal,77.0411215553084
single-source-case_fixed,a340e2ee5bdbfc9ac5775db51c55c24844f60547a43793041d19ab6f546d1d80,4543,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,3,solver_optimal;solver_optimal;solver_optimal,77.0479142986845
single-source-box25,cb8900966aef29b4c288ec3834f9d56d597187bb444bf7edbcf216d2b53751bc,1461,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,2,solver_optimal;infeasible_certified;solver_optimal,80.57874976343403
single-source-box50,36ef4ab7771c880d05b61a480409ecafab0d77cda088d818b8715aca861d74a5,4712,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,3,solver_optimal;solver_optimal;solver_optimal,77.04721121551991
single-source-box75,17a59c34fcd623a8a0cac29ec2369a2d8978f5dcf32b85d3839419c7b4966a5c,3518,v3_final_physical,r3_fixed_physical_v1,operating_cost,true,true,3,3,solver_optimal;solver_optimal;solver_optimal,77.08714042308773
two-source-schpd,2b1609171253a4ce14c5cdbcb6c77beb272c316630a9f0381de92b64f69f7521,1621,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,3,solver_optimal;solver_optimal;solver_optimal,177.37624798886804
two-source-case_fixed,eea3a8a81898841762c1af6c0165865a876e555a60fdfb4011ee5346c9181d30,2962,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,3,solver_optimal;solver_optimal;solver_optimal,177.39225434566833
two-source-box25,ecc912f8a0a8771c0fb9e011a3bf0e088f14a920a4ace1cccc936d99384bf354,1671,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,2,2,solver_optimal;solver_optimal,177.5223730905131
two-source-box50,ae5f3b717db54ce9bb7b9d2353b409c2344ce8400b88a8c45bcfc547ecdf87e3,2869,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,3,solver_optimal;solver_optimal;solver_optimal,177.40495876295554
two-source-box75,9ab4b66b89267a57caa5fc1f6069deaf135c8b00388aa564cdc8ffaa1a71422e,2535,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,3,solver_optimal;solver_optimal;solver_optimal,177.60279492977116
single-no-halfspace,82b71df6b8041ccc7ee1ab27f74680eb727a3792514fafa706881f26e4465232,2430,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,2,solver_optimal;infeasible_certified;solver_optimal,79.48258854410676
two-no-halfspace,f8406c0b2d0d7ede6b6e77808052072ddd049d42c1736bd3ee815b56592f1a49,3433,v3_final_physical,r3_fixed_physical_v1,operating_cost,true,true,3,3,solver_optimal;solver_optimal;solver_optimal,177.40990446630485
single-low-flow,ec86634f73dbfd367cf0fa2b6e254606becd15116a63d5840203080ab9c85829,1270,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,2,solver_optimal;infeasible_certified;solver_optimal,76.86201049084653
single-impossible-heat,4bbad58990f608fb0a6bcb5570dc0dbd98c6b342699bba4b31e9783fa06a4344,0,none,none,none,false,false,0,0,"",
single-loose-electric,0749b352c182f8f049af307f9d4d7f1fc53889157c9bc3653ea9b5184fbbb63f,16,v3_final_physical,r3_fixed_physical_v1,operating_cost,true,true,3,3,solver_optimal;solver_optimal;solver_optimal,0.0
single-delay-switch,c6855e1b37e83a4617e542fd82695275389e4e6701da9b947372cd86ddb032ac,483,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,1,solver_optimal;infeasible_certified;infeasible_certified,77.58387004828143
single-source-CF_CT-pg,eb8fa783e3e1b9f73ea0627f217a0652cd6bf158d17a23b304e464491315fb0f,3,v3_final_physical,r3_fixed_physical_v1,operating_cost,true,true,1,1,solver_optimal,146.6061054352771
single-source-CF_VT-pg,86388e492cd0a51d86bf7df94e1a58bf7327af1b42fede850c244a61b33d7d73,3,v3_final_physical,r3_fixed_physical_v1,operating_cost,true,true,1,1,solver_optimal,144.5319272816771
single-source-VF_CT-pg,c56bda4aa20d7ce70e0f821e1dcb36f657393a551da1b0e7e70f1c88b8082fd0,412,pressure_reconstruction,r3_sp_checked_v1,operating_cost,true,false,3,0,infeasible_certified;infeasible_certified;infeasible_certified,
single-source-VF_VT-pg,d31deb6c22c2e20be617117d901a82ebf17be9960d1516a59d1c3fb2bd63ee18,2408,v3_final_physical,r3_fixed_physical_v1,operating_cost,true,true,3,3,solver_optimal;solver_optimal;solver_optimal,143.4513348703797
