run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,1.0,1.2375633392019856,352.53687221579395,352.53687221579384,0.08671499515092872
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,1.0,1.2375633392019856,312.04795002775836,312.0479500277583,0.08671499515092872
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,2.0,0.9862939312170956,352.5333265088046,352.5333265088046,0.10914739463400223
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,2.0,0.9862939312170956,308.59442394998126,308.5944239499812,0.10914739463400223
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,3.0,0.9921673607885151,352.48235676433757,352.4823567643375,0.1523780127039039
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,3.0,0.9921673607885151,305.31270289017834,305.3127028901784,0.1523780127039039
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,4.0,1.497347084010185,352.5706384659461,352.5706384659462,0.0857862933865114
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,4.0,1.497347084010185,309.7073175466549,309.7073175466553,0.0857862933865114
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,5.0,1.0,352.57265398079835,352.5726539807985,0.16703588271722528
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,5.0,1.0,312.5493302674951,312.5493302674952,0.16703588271722528
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,6.0,1.0,352.4879120834419,352.4879120834421,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,6.0,1.0,312.90069986311767,312.90069986311767,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,7.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,7.0,1.0,312.7445031422468,312.7445031422468,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,8.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,8.0,1.0,312.7445031422468,312.7445031422468,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,9.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,9.0,1.0,312.7445031422468,312.7445031422468,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,10.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,10.0,1.0,312.7445031422468,312.7445031422468,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,11.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,11.0,1.0,312.7445031422468,312.7445031422468,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,12.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,12.0,1.0,312.7445031422468,312.7445031422468,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,13.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,13.0,1.0,312.7445031422468,312.7445031422468,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,S,14.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,1,R,14.0,1.0,312.7445031422468,312.7445031422468,0.16835922967229225
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,1.0,1.7375875811377557,352.41688110594725,352.41688110594714,0.3
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,1.0,1.7375875811377557,311.7091471066369,311.70914710663686,0.3
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,2.0,1.5350141395728982,352.377320714493,352.3773207144928,0.32
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,2.0,1.5350141395728982,305.6398435539196,305.63984355391966,0.32
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,3.0,1.7511154546879393,352.3928357764894,352.3928357764894,0.34
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,3.0,1.7511154546879393,305.1963629570392,305.1963629570392,0.34
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,4.0,1.9973495317389593,352.41176472290095,352.41176472290095,0.32
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,4.0,1.9973495317389593,312.1495840831801,312.1495840831799,0.32
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,5.0,2.0,352.50354333974155,352.5035433397418,0.3317030505754418
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,5.0,2.0,313.2295517339946,313.2295517339945,0.3317030505754418
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,6.0,2.0,352.4990058387035,352.49900583870397,0.3317030505754416
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,6.0,2.0,312.91446912564527,312.9144691256453,0.3317030505754416
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,7.0,2.0,352.48845840183816,352.4884584018382,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,7.0,2.0,312.91446912564527,312.9144691256453,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,8.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,8.0,2.0,312.91446912564527,312.9144691256453,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,9.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,9.0,2.0,312.91446912564527,312.9144691256453,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,10.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,10.0,2.0,312.91446912564527,312.9144691256453,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,11.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,11.0,2.0,312.91446912564527,312.9144691256453,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,12.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,12.0,2.0,312.91446912564527,312.9144691256453,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,13.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,13.0,2.0,312.91446912564527,312.9144691256453,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,S,14.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,2,initial subproblem / diagnostic,2,R,14.0,2.0,312.91446912564527,312.9144691256453,0.3317030505754414
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,3913,unverified best subproblem,1,S,1.0,1.2376642581367274,352.536889027494,352.53688902749514,0.08701485674084518
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,3913,unverified best subproblem,1,R,1.0,1.2376642581367274,312.0705139766792,312.07051397667703,0.08701485674084518
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg-without-physical-recovery,3913,unverified best subproblem,1,S,2.0,0.9856983676148514,352.5331870188954,352.53318701889646,0.138002656902096
