run_id,trial,update,accepted,physical_pass,pipe,time_h,flow_kg_s,supply_out_K,replay_out_K,heat_MW,grid_MW
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,1.0,1.2376620359827235,352.5368886573452,352.5368886573444,0.08701455213169927,0.20047269890019268
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,1.0,1.7398773490842334,352.41734374256845,352.41734374256794,0.2999999999999999,0.20047269890019268
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,2.0,0.9856906885913024,352.5331846322601,352.5331846322438,0.13801325819111732,6.301837030536834e-6
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,2.0,1.7375809717863309,352.42293006251003,352.4229300623765,0.3199999999999999,6.301837030536834e-6
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,3.0,1.0450423748197057,352.49520148829237,352.49519995959224,0.13673122281062247,6.918207878477947e-6
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,3.0,1.749158663165281,352.4160721915024,352.41607220130356,0.33999999999999986,6.918207878477947e-6
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,4.0,1.0179736960755892,352.50340799336465,352.5034040769033,0.1653750338461909,0.0001923506035520799
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,4.0,1.974082834745043,352.456998620137,352.4569987594308,0.3200000000000002,0.0001923506035520799
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,5.0,1.0,352.49241608656524,352.49241370736405,0.16746076332204735,0.17462577430451462
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,5.0,2.0,352.4884584013327,352.4884583577035,0.33170305057538424,0.17462577430451462
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,6.0,1.0,352.4879120834258,352.48791208343886,0.16835922967228967,0.17555228490410976
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,6.0,2.0,352.48901899448117,352.48901899451675,0.331703050575441,0.17555228490410976
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,7.0,1.0,352.48791208344056,352.48791208344056,0.1683592296722913,0.17525779893378265
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,7.0,2.0,352.48845840183253,352.48845840183236,0.33170305057544147,0.17525779893378265
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,8.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229056,0.1752600166281962
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,8.0,2.0,352.4884584018381,352.4884584018381,0.33170305057544147,0.1752600166281962
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,9.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228958,0.17525795455530266
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,9.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754415,0.17525795455530266
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,10.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228892,0.17525814077878418
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,10.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754415,0.17525814077878418
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,11.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228878,0.17525806696041596
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,11.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754415,0.17525806696041596
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,12.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228958,0.17525828404946783
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,12.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754415,0.17525828404946783
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,13.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722896,0.17525821013041792
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,13.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754415,0.17525821013041792
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,1,14.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228936,0.17525825288418648
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,1,1,true,false,2,14.0,2.0,352.4884584018383,352.4884584018383,0.3317030505754415,0.17525825288418648
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,1.0,1.237659984442065,352.5368883156126,352.5368883156121,0.08701417686745352,0.20048251437796147
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,1.0,1.739872062474527,352.417342866516,352.4173428665154,0.29999999999999893,0.20048251437796147
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,2.0,0.9856828677130665,352.5331822367409,352.53318223672403,0.13802390749597035,1.0204646126205291e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,2.0,1.737652065089447,352.4229443764227,352.42294437628993,0.3199999999999986,1.0204646126205291e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,3.0,1.0476480556111922,352.4958062641712,352.4958047541403,0.1362019526611367,1.066562620825138e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,3.0,1.7489986660051942,352.4157725263081,352.41577253613156,0.3399999999999986,1.066562620825138e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,4.0,1.0148604401197787,352.50324638031765,352.5032425169821,0.16604371218261554,0.00038291960881745485
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,4.0,1.9752372850893707,352.4575936884098,352.45759382628114,0.3199999999999989,0.00038291960881745485
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,5.0,1.0,352.4916477113331,352.49164536647265,0.167436450282172,0.1746735183123451
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,5.0,2.0,352.4884584013588,352.4884583571584,0.3317030505753636,0.1746735183123451
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,6.0,1.0,352.4879120834272,352.4879120834392,0.16835922967228983,0.17556318073402044
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,6.0,2.0,352.48892335833057,352.488923358363,0.3317030505754389,0.17556318073402044
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,7.0,1.0,352.4879120834407,352.4879120834407,0.16835922967228972,0.175264025603677
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,7.0,2.0,352.48845840183304,352.48845840183293,0.3317030505754415,0.175264025603677
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,8.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722902,0.17526538946126632
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,8.0,2.0,352.4884584018381,352.4884584018381,0.33170305057544147,0.17526538946126632
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,9.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722896,0.17526426955850166
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,9.0,2.0,352.4884584018382,352.4884584018383,0.33170305057544147,0.17526426955850166
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,10.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228942,0.17526475317496754
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,10.0,2.0,352.4884584018382,352.4884584018383,0.33170305057544147,0.17526475317496754
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,11.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228967,0.17526478337085813
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,11.0,2.0,352.4884584018382,352.4884584018383,0.33170305057544147,0.17526478337085813
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,12.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722901,0.175264851720912
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,12.0,2.0,352.4884584018382,352.4884584018383,0.33170305057544147,0.175264851720912
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,13.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228983,0.17526416615803056
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,13.0,2.0,352.4884584018382,352.4884584018383,0.33170305057544147,0.17526416615803056
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,1,14.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228972,0.17526437123338942
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,2,2,true,false,2,14.0,2.0,352.4884584018382,352.4884584018383,0.33170305057544147,0.17526437123338942
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,1.0,1.2376565334888285,352.53688774077375,352.53688774077216,0.08701404757469337,0.20049611055238467
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,1.0,1.739866802847986,352.41734214262823,352.4173421426275,0.2999999999999952,0.20049611055238467
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,2.0,0.9856749366611823,352.533179579164,352.5331795791458,0.1380345840632598,1.65101739185662e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,2.0,1.7377232235089188,352.4229586811584,352.42295868102144,0.3199999999999939,1.65101739185662e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,3.0,1.0502488077672703,352.4964068684917,352.4964053753245,0.13567342352008882,1.6821806630549376e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,3.0,1.7488375717567437,352.4154730878579,352.41547309773057,0.3399999999999936,1.6821806630549376e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,4.0,1.0117856867009716,352.5030854783924,352.5030816686639,0.16670601644586788,0.0005715521657376597
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,4.0,1.976398998061045,352.458182986024,352.45818312281943,0.3199999999999953,0.0005715521657376597
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,5.0,1.0,352.490884204922,352.490881896699,0.16741202213415735,0.17472241029799962
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,5.0,2.0000000000000004,352.4884584004514,352.4884583557553,0.33170305057504573,0.17472241029799962
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,6.0,1.0,352.4879120834033,352.48791208343437,0.16835922967228983,0.17557909102379127
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,6.0,1.9999999999999998,352.4888283280995,352.4888283281842,0.33170305057544164,0.17557909102379127
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,7.0,1.0,352.4879120834384,352.4879120834383,0.16835922967228972,0.1752743967585985
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,7.0,2.0,352.48845840182463,352.4884584018243,0.3317030505754414,0.1752743967585985
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,8.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722894,0.17527527588404693
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,8.0,2.0,352.4884584018378,352.4884584018378,0.3317030505754416,0.17527527588404693
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,9.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228983,0.17527427208643637
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,9.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754416,0.17527427208643637
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,10.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722896,0.17527487726537544
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,10.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754416,0.17527487726537544
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,11.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722897,0.1752747016925965
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,11.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754416,0.1752747016925965
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,12.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228978,0.17527487804330485
