run_id,purpose,actor,carrier,t,peer_export_MW
open_flexible--p1--swm--clarabel,swm,2,P,1,3.0082176749601786e-9
open_flexible--p1--swm--clarabel,swm,2,H,1,2.882536875858932e-9
open_flexible--p1--swm--clarabel,swm,2,P,2,5.699313021523267e-9
open_flexible--p1--swm--clarabel,swm,2,H,2,2.5182309570936923e-9
open_flexible--p1--swm--clarabel,swm,2,P,3,6.105146610480006e-9
open_flexible--p1--swm--clarabel,swm,2,H,3,2.7444073680271686e-9
open_flexible--p1--swm--clarabel,swm,2,P,4,4.2615582174221345e-9
open_flexible--p1--swm--clarabel,swm,2,H,4,3.0306779308375553e-9
open_flexible--p1--swm--clarabel,swm,3,P,1,-3.0094682301751163e-9
open_flexible--p1--swm--clarabel,swm,3,H,1,-2.8829596487867093e-9
open_flexible--p1--swm--clarabel,swm,3,P,2,-5.701362937315935e-9
open_flexible--p1--swm--clarabel,swm,3,H,2,-2.5185649121794995e-9
open_flexible--p1--swm--clarabel,swm,3,P,3,-6.107359951101898e-9
open_flexible--p1--swm--clarabel,swm,3,H,3,-2.744808824672873e-9
open_flexible--p1--swm--clarabel,swm,3,P,4,-4.263096542445055e-9
open_flexible--p1--swm--clarabel,swm,3,H,4,-3.0311326781884418e-9
open_flexible--p1--agnb--clarabel,agnb,2,P,1,-1.4633909799499634e-6
open_flexible--p1--agnb--clarabel,agnb,2,H,1,0.03283665286002346
open_flexible--p1--agnb--clarabel,agnb,2,P,2,-1.5973123446144655e-6
open_flexible--p1--agnb--clarabel,agnb,2,H,2,0.08783755756005363
open_flexible--p1--agnb--clarabel,agnb,2,P,3,0.10739987181168331
open_flexible--p1--agnb--clarabel,agnb,2,H,3,0.03382547679972703
open_flexible--p1--agnb--clarabel,agnb,2,P,4,-1.4763934075290308e-6
open_flexible--p1--agnb--clarabel,agnb,2,H,4,0.03283665571051131
open_flexible--p1--agnb--clarabel,agnb,3,P,1,1.5572950111675254e-6
open_flexible--p1--agnb--clarabel,agnb,3,H,1,-0.03283665285831461
open_flexible--p1--agnb--clarabel,agnb,3,P,2,1.7070511333372451e-6
open_flexible--p1--agnb--clarabel,agnb,3,H,2,-0.08783755755746014
open_flexible--p1--agnb--clarabel,agnb,3,P,3,-0.10739987175944066
open_flexible--p1--agnb--clarabel,agnb,3,H,3,-0.0338254768011339
open_flexible--p1--agnb--clarabel,agnb,3,P,4,1.5662291623641522e-6
open_flexible--p1--agnb--clarabel,agnb,3,H,4,-0.03283665570879535
open_flexible--p2--swm--clarabel,swm,2,P,1,1.1921617470989077e-8
open_flexible--p2--swm--clarabel,swm,2,H,1,4.895131411331022e-9
open_flexible--p2--swm--clarabel,swm,2,P,2,1.2802864546301862e-8
open_flexible--p2--swm--clarabel,swm,2,H,2,4.375220186147999e-9
open_flexible--p2--swm--clarabel,swm,2,P,3,1.3500212503458897e-8
open_flexible--p2--swm--clarabel,swm,2,H,3,4.691830923775342e-9
open_flexible--p2--swm--clarabel,swm,2,P,4,1.2295387818994641e-8
open_flexible--p2--swm--clarabel,swm,2,H,4,4.899948891079475e-9
open_flexible--p2--swm--clarabel,swm,3,P,1,-1.1921439835305137e-8
open_flexible--p2--swm--clarabel,swm,3,H,1,-4.895081673339519e-9
open_flexible--p2--swm--clarabel,swm,3,P,2,-1.2802598092775952e-8
open_flexible--p2--swm--clarabel,swm,3,H,2,-4.375198869865926e-9
open_flexible--p2--swm--clarabel,swm,3,P,3,-1.349993894450563e-8
open_flexible--p2--swm--clarabel,swm,3,H,3,-4.691788291211196e-9
open_flexible--p2--swm--clarabel,swm,3,P,4,-1.2295199525169664e-8
open_flexible--p2--swm--clarabel,swm,3,H,4,-4.899899153087972e-9
open_flexible--p2--agnb--clarabel,agnb,2,P,1,-3.9287324682391045e-7
open_flexible--p2--agnb--clarabel,agnb,2,H,1,0.03283661313594877
open_flexible--p2--agnb--clarabel,agnb,2,P,2,-4.823085220095891e-7
open_flexible--p2--agnb--clarabel,agnb,2,H,2,0.08783788513675006
open_flexible--p2--agnb--clarabel,agnb,2,P,3,0.13810313583294587
open_flexible--p2--agnb--clarabel,agnb,2,H,3,0.06154684537495214
open_flexible--p2--agnb--clarabel,agnb,2,P,4,-3.9462387135813515e-7
open_flexible--p2--agnb--clarabel,agnb,2,H,4,0.032836614131099395
open_flexible--p2--agnb--clarabel,agnb,3,P,1,4.887072790893399e-7
open_flexible--p2--agnb--clarabel,agnb,3,H,1,-0.032836613135827974
open_flexible--p2--agnb--clarabel,agnb,3,P,2,5.916919505466467e-7
open_flexible--p2--agnb--clarabel,agnb,3,H,2,-0.0878378851367323
open_flexible--p2--agnb--clarabel,agnb,3,P,3,-0.13810313582935052
open_flexible--p2--agnb--clarabel,agnb,3,H,3,-0.06154684537499833
open_flexible--p2--agnb--clarabel,agnb,3,P,4,4.912533420053933e-7
open_flexible--p2--agnb--clarabel,agnb,3,H,4,-0.032836614130992814
open_fixed--p1--swm--clarabel,swm,2,P,1,-1.2542948013560817e-8
open_fixed--p1--swm--clarabel,swm,2,H,1,-9.080132201688684e-10
open_fixed--p1--swm--clarabel,swm,2,P,2,-6.519549344830011e-9
open_fixed--p1--swm--clarabel,swm,2,H,2,-1.5927774654755922e-9
open_fixed--p1--swm--clarabel,swm,2,P,3,-6.492822279824395e-9
open_fixed--p1--swm--clarabel,swm,2,H,3,-1.1362892848865158e-9
open_fixed--p1--swm--clarabel,swm,2,P,4,-7.82018005907048e-9
open_fixed--p1--swm--clarabel,swm,2,H,4,9.439915515940811e-11
open_fixed--p1--swm--clarabel,swm,3,P,1,1.2542667349180192e-8
open_fixed--p1--swm--clarabel,swm,3,H,1,9.07967034891044e-10
open_fixed--p1--swm--clarabel,swm,3,P,2,6.51901999049187e-9
open_fixed--p1--swm--clarabel,swm,3,H,2,1.592745491052483e-9
open_fixed--p1--swm--clarabel,swm,3,P,3,6.492260951063145e-9
open_fixed--p1--swm--clarabel,swm,3,H,3,1.1362573104634066e-9
open_fixed--p1--swm--clarabel,swm,3,P,4,7.819792813279491e-9
open_fixed--p1--swm--clarabel,swm,3,H,4,-9.445244586459012e-11
open_fixed--p1--agnb--clarabel,agnb,2,P,1,-1.6574793555435008e-6
open_fixed--p1--agnb--clarabel,agnb,2,H,1,0.020000093305093003
open_fixed--p1--agnb--clarabel,agnb,2,P,2,-2.3623084253188154e-6
open_fixed--p1--agnb--clarabel,agnb,2,H,2,0.0700001087460258
open_fixed--p1--agnb--clarabel,agnb,2,P,3,0.10000033994658608
open_fixed--p1--agnb--clarabel,agnb,2,H,3,0.02000866595120243
open_fixed--p1--agnb--clarabel,agnb,2,P,4,-1.7002896548490298e-6
open_fixed--p1--agnb--clarabel,agnb,2,H,4,0.02000009331366215
open_fixed--p1--agnb--clarabel,agnb,3,P,1,1.7644956997742156e-6
open_fixed--p1--agnb--clarabel,agnb,3,H,1,-0.020000093279229247
open_fixed--p1--agnb--clarabel,agnb,3,P,2,2.468176354852858e-6
open_fixed--p1--agnb--clarabel,agnb,3,H,2,-0.07000010872596363
open_fixed--p1--agnb--clarabel,agnb,3,P,3,-0.10000034028891136
open_fixed--p1--agnb--clarabel,agnb,3,H,3,-0.02000866597827411
open_fixed--p1--agnb--clarabel,agnb,3,P,4,1.8099565579632326e-6
open_fixed--p1--agnb--clarabel,agnb,3,H,4,-0.02000009328669705
open_fixed--p2--swm--clarabel,swm,2,P,1,-1.1387758291903083e-8
open_fixed--p2--swm--clarabel,swm,2,H,1,-2.1398705030151177e-10
open_fixed--p2--swm--clarabel,swm,2,P,2,-1.2277286742801152e-8
open_fixed--p2--swm--clarabel,swm,2,H,2,-2.9270346146859083e-9
open_fixed--p2--swm--clarabel,swm,2,P,3,-1.4262020897604089e-8
open_fixed--p2--swm--clarabel,swm,2,H,3,-2.068738069738174e-9
open_fixed--p2--swm--clarabel,swm,2,P,4,-6.22239326730778e-9
open_fixed--p2--swm--clarabel,swm,2,H,4,-2.0971313574591477e-10
open_fixed--p2--swm--clarabel,swm,3,P,1,1.1389523990601447e-8
open_fixed--p2--swm--clarabel,swm,3,H,1,2.1432811081467662e-10
open_fixed--p2--swm--clarabel,swm,3,P,2,1.2279553374128227e-8
open_fixed--p2--swm--clarabel,swm,3,H,2,2.9272584356476727e-9
open_fixed--p2--swm--clarabel,swm,3,P,3,1.4264472270042461e-8
open_fixed--p2--swm--clarabel,swm,3,H,3,2.069043603114551e-9
open_fixed--p2--swm--clarabel,swm,3,P,4,6.224290416412259e-9
open_fixed--p2--swm--clarabel,swm,3,H,4,2.1005419625907962e-10
open_fixed--p2--agnb--clarabel,agnb,2,P,1,-8.360433660925537e-7
open_fixed--p2--agnb--clarabel,agnb,2,H,1,0.0200000607622286
open_fixed--p2--agnb--clarabel,agnb,2,P,2,-9.977831965102268e-7
open_fixed--p2--agnb--clarabel,agnb,2,H,2,0.07000006785084878
open_fixed--p2--agnb--clarabel,agnb,2,P,3,0.14999997527363718
open_fixed--p2--agnb--clarabel,agnb,2,H,3,0.08000098476627926
open_fixed--p2--agnb--clarabel,agnb,2,P,4,-8.552359425095801e-7
open_fixed--p2--agnb--clarabel,agnb,2,H,4,0.020000060765060113
open_fixed--p2--agnb--clarabel,agnb,3,P,1,9.332314903076622e-7
open_fixed--p2--agnb--clarabel,agnb,3,H,1,-0.020000060747602078
open_fixed--p2--agnb--clarabel,agnb,3,P,2,1.0859901387050286e-6
open_fixed--p2--agnb--clarabel,agnb,3,H,2,-0.07000006784663171
open_fixed--p2--agnb--clarabel,agnb,3,P,3,-0.1500000219644697
open_fixed--p2--agnb--clarabel,agnb,3,H,3,-0.08000097924847438
open_fixed--p2--agnb--clarabel,agnb,3,P,4,9.651825116918644e-7
open_fixed--p2--agnb--clarabel,agnb,3,H,4,-0.020000060750373194
import_flexible--p1--swm--clarabel,swm,2,P,1,-4.9534090607039616e-8
import_flexible--p1--swm--clarabel,swm,2,H,1,3.756407451760424e-8
