run_id,purpose,cost_gap,epigraph_excess,fee_excess_and_consensus,decomposition_error,last_inner_primal,last_inner_dual,unit
open_flexible--p1--swm--clarabel,swm,7.801957082165245e-5,7.801698944220926e-5,0.0,2.581379443194836e-9,2.012127838084735e-12,2.4779854935662664e-10,USD_synthetic
open_flexible--p1--agnb--clarabel,agnb,0.00018375482221699713,4.255355666146765e-5,0.00014119940538415143,1.8601713780430629e-9,9.976253522523583e-8,3.6506146577908183e-9,USD_synthetic
open_flexible--p2--swm--clarabel,swm,4.680804150325457e-5,4.680722387540925e-5,0.0,8.176278453182859e-10,2.486899575193438e-13,1.1447812395008035e-10,USD_synthetic
open_flexible--p2--agnb--clarabel,agnb,0.0001452860767585662,3.709396750496696e-5,0.00010819064182232552,1.4674312737161799e-9,9.943948049075725e-8,1.0452083643031074e-9,USD_synthetic
open_fixed--p1--swm--clarabel,swm,1.7785255010949186e-5,1.7785197771961683e-5,0.0,5.72389875026693e-11,5.102988738652751e-13,1.0906830993917372e-10,USD_synthetic
open_fixed--p1--agnb--clarabel,agnb,0.00015594041627764454,3.7005955553004455e-5,0.00011893329048451307,1.170240127024158e-9,9.96971846719843e-8,1.3615193694693772e-9,USD_synthetic
open_fixed--p2--swm--clarabel,swm,1.1257756341365166e-5,1.1257750802641073e-5,0.0,5.538724093286768e-12,2.2285203985227206e-12,3.626997692084812e-11,USD_synthetic
open_fixed--p2--agnb--clarabel,agnb,5.135825767865754e-5,1.1870870846419912e-5,3.9486991143755645e-5,3.956884819800166e-10,9.995142652934951e-8,2.004509741526661e-8,USD_synthetic
import_flexible--p1--swm--clarabel,swm,0.00012143026594912953,0.00012142593651945744,0.0,4.329429672094418e-9,1.1842378938158263e-14,1.5165350456902876e-10,USD_synthetic
import_flexible--p1--agnb--clarabel,agnb,0.0004736244443961368,9.650390872891163e-5,0.00037711632893390896,4.20673331623855e-9,9.964578657660808e-8,4.637034090038128e-10,USD_synthetic
import_flexible--p2--swm--clarabel,swm,6.5621568410279e-5,6.561963160968378e-5,0.0,1.936800595215573e-9,2.960594732388896e-14,3.7681373173245404e-10,USD_synthetic
import_flexible--p2--agnb--clarabel,agnb,0.0005062426894255623,0.00010284768982098764,0.0004033897711217166,5.2284828580377585e-9,9.971576857660296e-8,7.417000347231806e-10,USD_synthetic
import_fixed--p1--swm--clarabel,swm,1.3091181756408332e-5,1.3091122596546568e-5,0.0,5.91598617645262e-11,9.786111315242884e-13,6.34277815455271e-11,USD_synthetic
import_fixed--p1--agnb--clarabel,agnb,5.942940617842396e-5,1.4834414644060434e-5,4.459475143963655e-5,2.400947269774398e-10,9.993658911017712e-8,4.313123747046177e-10,USD_synthetic
import_fixed--p2--swm--clarabel,swm,5.595396999069635e-6,5.59539129914381e-6,0.0,5.699925825249216e-12,4.198661621122495e-14,2.3796399194575593e-10,USD_synthetic
import_fixed--p2--agnb--clarabel,agnb,4.229823798596044e-5,7.865517116345533e-6,3.4432530686489394e-5,1.9018312551427434e-10,9.964058992037205e-8,4.5279657800989526e-10,USD_synthetic
open_flexible--p1--swm--gurobi,swm,3.587681297290146e-5,3.587681292693823e-5,0.0,4.596323321948148e-14,1.1271939486779592e-5,3.7135822341938783e-6,USD_synthetic
import_flexible--p1--swm--gurobi,swm,2.854097610338613e-5,2.854097605520245e-5,0.0,4.8183679268731794e-14,5.211683835963971e-6,8.61675355551367e-6,USD_synthetic
