actor,carrier,net_MW,peer_export_MW,retail_buy_MW,retail_sell_MW,t
A,P,-0.32270754911439453,0.0,0.32270754911439453,0.0,1
B,P,-0.24850666488536,-0.0,0.24850666488536,0.0,1
A,P,0.07208836552639253,0.07208836552639253,0.0,0.0,2
B,P,-0.16707225077862722,-0.07208836552639253,0.0949838852522347,0.0,2
A,P,0.16939605346341025,0.16939605346341025,0.0,0.0,3
B,P,-0.17048420646292722,-0.16939605346341025,0.001088152999516978,0.0,3
A,P,-0.32190256104936377,0.0,0.32190256104936377,0.0,4
B,P,-0.24850698759654705,-0.0,0.24850698759654705,0.0,4
A,H,0.19488780665577718,0.19308780666635103,0.0,0.0017999999894261487,1
B,H,-0.19308780666635103,-0.19308780666635103,0.0,0.0,1
A,H,-0.020330973393491242,0.0,0.020330973393491242,0.0,2
B,H,-0.09070839497764455,-0.0,0.09070839497764455,0.0,2
A,H,0.1050748448017966,0.10327484484541102,0.0,0.0017999999563855784,3
B,H,-0.10327484484541102,-0.10327484484541102,0.0,0.0,3
A,H,0.19488791908406122,0.19308791909464063,0.0,0.0017999999894205976,4
B,H,-0.19308791909464063,-0.19308791909464063,0.0,0.0,4
