run_id,case,policy,electric,status,model_A1,original_electric_A1,heat_A1,ledger_A1,cost,resource_cost,discomfort_cost,external_cost,switching_cost,objective_bound,relative_gap,certificate_A2,PV_available_MWh,PV_used_MWh,PV_curtailed_MWh,electric_loss_MWh,heat_loss_MWh,electric_actions,valve_actions,electric_checked_saving,electric_checked_saving_fraction,elapsed_sec,budget_sec,input_sha256,unit
open--fixed--socp,open,fixed,socp,solver_optimal,true,false,true,true,164.86480271593794,68.37276902198516,4.75544454753579,91.73658914641699,0.0,164.86470215668672,6.657959696342696e-7,true,0.81,0.8099999991379967,8.620033575823527e-10,0.009032067152695587,0.01439999999999998,0.0,0.0,NaN,NaN,7.990000009536743,600.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823,USD_synthetic
open--fixed--exact,open,fixed,exact,solver_optimal,true,true,true,true,164.86478403240315,68.37318944995013,4.755353528201754,91.73624105425128,0.0,164.86466217611718,7.392645195618489e-7,true,0.81,0.809999999967498,3.250200109050638e-11,0.009031937562214739,0.01439999999999998,0.0,0.0,0.0,0.0,0.4589998722076416,600.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823,USD_synthetic
open--electric--socp,open,electric,socp,solver_optimal,true,false,true,true,164.77107935393246,68.4332199795171,4.742213561565237,91.49564581285014,0.1,164.77093421243745,9.11848465296989e-7,true,0.81,0.8100000015832676,-1.583267517091258e-9,0.006376206626533796,0.01439999999999998,2.0,0.0,NaN,NaN,0.10100007057189941,600.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823,USD_synthetic
open--electric--exact,open,electric,exact,solver_optimal,true,true,true,true,164.7710726613877,68.43357597953633,4.742346791445866,91.49514989040551,0.1,164.77098044151455,5.59820796529464e-7,true,0.81,0.809999999979418,2.058209158661839e-11,0.006376094170228764,0.01439999999999998,2.0,0.0,0.09371137101544491,0.0005684135127185593,0.24000000953674316,600.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823,USD_synthetic
open--heat--socp,open,heat,socp,solver_optimal,true,false,true,true,164.86479228769474,68.37302431522228,4.755214457157212,91.73655351531525,0.0,164.86470912075526,5.311130180388985e-7,true,0.81,0.809999998244112,1.7558881015844463e-9,0.00903200494807045,0.01439999999999998,0.0,0.0,NaN,NaN,0.03399991989135742,600.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823,USD_synthetic
open--heat--exact,open,heat,exact,solver_optimal,true,true,true,true,164.8647839793295,68.37318913288613,4.755353528323527,91.73624131811985,0.0,164.8646396222951,8.757445367447506e-7,true,0.81,0.809999999967498,3.250200109050638e-11,0.009031937618118893,0.01439999999999998,0.0,0.0,5.307364858708752e-8,3.2192228861110944e-10,0.14800000190734863,600.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823,USD_synthetic
open--joint--socp,open,joint,socp,solver_optimal,true,false,true,true,164.771089351673,68.43427115489413,4.741760286901476,91.49505790987739,0.1,164.77102196508605,4.186102459634905e-7,true,0.81,0.8099999974881456,2.51185450217406e-9,0.00637625804440475,0.014400000000000092,2.0,0.0,NaN,NaN,0.13400006294250488,600.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823,USD_synthetic
open--joint--exact,open,joint,exact,solver_optimal,true,true,true,true,164.7710725739141,68.43357596982034,4.742346787699269,91.4951498163945,0.1,164.77091456788708,9.590988935228535e-7,true,0.81,0.81,0.0,0.0063760941808580635,0.01439999999999987,2.0,0.0,0.09371145848905371,0.0005684140432964466,0.3659999370574951,600.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823,USD_synthetic
import--fixed--socp,import,fixed,socp,solver_optimal,true,true,true,true,191.79273961556558,124.30210367569002,4.213310334725338,63.277325605150224,0.0,191.7926483266506,5.220499286511148e-7,true,0.81,0.7152748759419139,0.0947251240580862,0.0034011676865754866,0.014399999999999996,0.0,0.0,0.0,0.0,0.03099989891052246,600.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c,USD_synthetic
import--fixed--exact,import,fixed,exact,solver_optimal,true,true,true,true,191.79273227410408,124.30217313004302,4.213190013134516,63.27736913092653,0.0,191.79258418356545,7.722552208183467e-7,true,0.81,0.7152738681446001,0.09472613185539991,0.0034011329311311534,0.014399999921664186,0.0,0.0,0.0,0.0,0.07199978828430176,600.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c,USD_synthetic
