case,electric,source_policy,target_policy,model_A1,original_electric_A1
open,socp,fixed,electric,true,false
open,socp,fixed,heat,true,false
open,socp,fixed,joint,true,false
open,socp,electric,joint,true,false
open,socp,heat,joint,true,false
open,exact,fixed,electric,true,true
open,exact,fixed,heat,true,true
open,exact,fixed,joint,true,true
open,exact,electric,joint,true,true
open,exact,heat,joint,true,true
import,socp,fixed,electric,true,true
import,socp,fixed,heat,true,true
import,socp,fixed,joint,true,true
import,socp,electric,joint,true,true
import,socp,heat,joint,true,true
import,exact,fixed,electric,true,true
import,exact,fixed,heat,true,true
import,exact,fixed,joint,true,true
import,exact,electric,joint,true,true
import,exact,heat,joint,true,true
electric_bottleneck,socp,fixed,electric,true,true
electric_bottleneck,socp,fixed,heat,true,true
electric_bottleneck,socp,fixed,joint,true,true
electric_bottleneck,socp,electric,joint,true,false
electric_bottleneck,socp,heat,joint,true,true
electric_bottleneck,exact,fixed,electric,true,true
electric_bottleneck,exact,fixed,heat,true,true
electric_bottleneck,exact,fixed,joint,true,true
electric_bottleneck,exact,electric,joint,true,true
electric_bottleneck,exact,heat,joint,true,true
heat_bottleneck,socp,fixed,electric,true,false
heat_bottleneck,socp,fixed,heat,true,false
heat_bottleneck,socp,fixed,joint,true,false
heat_bottleneck,socp,electric,joint,true,true
heat_bottleneck,socp,heat,joint,true,true
heat_bottleneck,exact,fixed,electric,true,true
heat_bottleneck,exact,fixed,heat,true,true
heat_bottleneck,exact,fixed,joint,true,true
heat_bottleneck,exact,electric,joint,true,true
heat_bottleneck,exact,heat,joint,true,true
