record_id,run_id,case,solver,case_sha256,status,model_pass,cost_pass,conditional_kkt_pass,kkt_pass,cost_complete,objective,bound,relative_gap,day_ahead_cost,expected_recourse_cost,elapsed_sec
capacity_denominator--highs,r5-commitment-f67d1d23-4d6b-4229-9d45-30186140b8bc,capacity_denominator.toml,highs,85e8bff60940cde2927cbb1979b423af5d21f54cfaac5e7c0b612109b24e9464,solver_optimal,true,true,true,true,true,2.0850000000000017,2.0849999999999937,3.833863682158811e-15,-6.200000000000004,8.285000000000005,6.1519999504089355
capacity_denominator--clarabel,r5-commitment-7ee483d1-a4ec-466d-883b-c1f05e92bc25,capacity_denominator.toml,clarabel,85e8bff60940cde2927cbb1979b423af5d21f54cfaac5e7c0b612109b24e9464,solver_optimal,true,true,true,true,true,2.085000000000263,2.0850000000065103,0.0,-6.200000000000951,8.285000000001215,5.261000156402588
fixed_feasible--highs,r5-commitment-2a957740-9bb2-40ae-8b36-092b79166970,fixed_feasible.toml,highs,56e92c756925cb9e96bcb25060c3c726016801a8edb2ae41954c1b4106f526db,solver_optimal,true,true,true,true,true,2.085000000000008,2.085000000000001,3.4078788285855995e-15,-6.2,8.285000000000007,0.01699995994567871
fixed_feasible--clarabel,r5-commitment-a5406f6f-5105-40ad-8150-c8c241a6527c,fixed_feasible.toml,clarabel,56e92c756925cb9e96bcb25060c3c726016801a8edb2ae41954c1b4106f526db,solver_optimal,true,true,true,true,true,2.0850000000000946,2.084999999983357,8.027684565586619e-12,-6.199999999999976,8.285000000000071,0.021000146865844727
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,four_period.toml,highs,346c3c3767de57262ab8ff59f4a4421a826379959aded1ab94c64e242ae437bf,solver_optimal,true,true,true,true,true,33.3847878542467,33.384787854246696,2.1283428214737503e-16,21.205025420910253,12.17976243333645,0.06299996376037598
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,four_period.toml,clarabel,346c3c3767de57262ab8ff59f4a4421a826379959aded1ab94c64e242ae437bf,solver_optimal,true,true,true,true,true,33.38478785431137,33.38478785380689,1.511102119815221e-11,20.500775752212782,12.884012102098588,0.05099987983703613
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,four_period_future.toml,highs,67887b872297b4e63551fc470a77746b74539f7ad493284b190693965be5dfaf,solver_optimal,true,true,true,true,true,35.16017277886858,35.16017277886858,0.0,22.006814296720215,13.153358482148363,0.034999847412109375
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,four_period_future.toml,clarabel,67887b872297b4e63551fc470a77746b74539f7ad493284b190693965be5dfaf,solver_optimal,true,true,true,true,true,35.16017277887851,35.16017277879716,2.313698465840379e-12,21.048102619639174,14.112070159239337,0.04800009727478027
hand--highs,r5-commitment-e5a9897e-d56e-4ee1-8172-9186cd85c58a,hand.toml,highs,45916bd87b68387f3354f000f0b5824900de51dd56ab2dccbe6c261205db4b18,solver_optimal,true,true,true,true,true,2.0850000000000017,2.0849999999999937,3.833863682158811e-15,-6.200000000000004,8.285000000000005,0.019999980926513672
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,hand.toml,clarabel,45916bd87b68387f3354f000f0b5824900de51dd56ab2dccbe6c261205db4b18,solver_optimal,true,true,true,true,true,2.0850000000033604,2.0849999998597015,6.890113313351322e-11,-6.200000000034487,8.285000000037847,0.021999835968017578
no_call_only--highs,r5-commitment-5169a5be-40d7-4566-97d2-076fcbe63bf3,no_call_only.toml,highs,b492a5bb20164c995b09dd491db501d51d677636fd7b0fd11692aa48c1f73183,solver_optimal,true,true,true,true,true,-1.7999999999999954,-1.8000000000000114,8.881784197001196e-15,-1.7999999999999954,0.0,0.00800013542175293
no_call_only--clarabel,r5-commitment-7cee245e-90a2-4c4e-a77a-55e58202a2fb,no_call_only.toml,clarabel,b492a5bb20164c995b09dd491db501d51d677636fd7b0fd11692aa48c1f73183,solver_optimal,true,true,true,true,true,-1.7999999999881164,-1.800000000136594,8.248747363545413e-11,-1.8000000000302796,4.2163161850794495e-11,0.010999917984008789
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,no_reserve.toml,highs,85b667aeb893e36edd1293598270df4dfb620dc4862cb14b527846692b025c70,solver_optimal,true,true,true,true,true,14.200000000000005,14.199999999999996,6.254777603522006e-16,14.200000000000005,0.0,0.01699995994567871
no_reserve--clarabel,r5-commitment-638a5750-4636-4e3f-bfe3-12d42e3f2144,no_reserve.toml,clarabel,85b667aeb893e36edd1293598270df4dfb620dc4862cb14b527846692b025c70,solver_optimal,true,true,true,true,true,14.200000000032807,14.199999999721221,2.1942635501969003e-11,14.199999999940342,9.246470256130124e-11,0.020999908447265625
overcommitted--highs,r5-commitment-4f2cdb4d-f5c4-4e12-88eb-ac39b8268567,overcommitted.toml,highs,86bcf7e2a5f5ca8c961154cddd514fcf51df76f9706d48b8f8771cbebfaeb6ef,solver_infeasible,false,false,false,false,false,NaN,0.0,NaN,NaN,NaN,0.009000062942504883
overcommitted--clarabel,r5-commitment-2b1357e7-2ee5-4480-8560-365ab4af41b1,overcommitted.toml,clarabel,86bcf7e2a5f5ca8c961154cddd514fcf51df76f9706d48b8f8771cbebfaeb6ef,solver_infeasible,false,false,false,false,false,NaN,NaN,NaN,NaN,NaN,0.01100015640258789
quarter--highs,r5-commitment-302b05a2-c002-49c7-9a0e-89e83db3e4c2,quarter.toml,highs,0174ecd9ec9344ab9e72863b8e0ad669e240b70f9fe5c45541dbc813253d7e1f,solver_optimal,true,true,true,true,true,0.5212500000000004,0.5212499999999984,1.9984014443252818e-15,-1.550000000000001,2.0712500000000014,0.018000125885009766
quarter--clarabel,r5-commitment-949a7833-e1e5-4509-9108-bafbb6348f7f,quarter.toml,clarabel,0174ecd9ec9344ab9e72863b8e0ad669e240b70f9fe5c45541dbc813253d7e1f,solver_optimal,true,true,true,true,true,0.5212500000009233,0.5212499999680987,3.282452087915999e-11,-1.5500000000074703,2.0712500000083933,0.019999980926513672
unequal_weights--highs,r5-commitment-260a1c2d-2226-42f1-8962-38b95c99f637,unequal_weights.toml,highs,6d748d014b4319994211629faba841d298a19cd8d5026b40270c2e7f1370c1e7,solver_optimal,true,true,true,true,true,3.46,3.460000000000022,0.0,-8.0,11.46,0.018000125885009766
unequal_weights--clarabel,r5-commitment-29ca5398-0d0c-4d36-98cb-2034fbfab316,unequal_weights.toml,clarabel,6d748d014b4319994211629faba841d298a19cd8d5026b40270c2e7f1370c1e7,solver_optimal,true,true,true,true,true,3.4600000000060986,3.4599999996855875,9.263328703956393e-11,-7.9999999999713385,11.459999999977438,0.029999971389770508
hand--gurobi,r5-commitment-de9269fb-9669-4942-9387-b34e51d217dd,hand.toml,gurobi,45916bd87b68387f3354f000f0b5824900de51dd56ab2dccbe6c261205db4b18,solver_optimal,true,true,true,true,true,2.0850000000000017,2.085000000000001,4.259848535732012e-16,-6.200000000000004,8.285000000000005,0.7070000171661377
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,four_period.toml,gurobi,346c3c3767de57262ab8ff59f4a4421a826379959aded1ab94c64e242ae437bf,solver_optimal,true,true,true,true,true,33.3847878542467,33.3847878542467,0.0,20.344075269415754,13.040712584830949,0.03299999237060547
