record_id,run_id,building,t,T_IN_K,T_min_K,T_max_K,H_district_MW,H_local_MW,P_local_MW
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,building,1,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,building,1,293.15,293.15,293.15,0.04199999999999998,-3.366251154153579e-17,-3.366251154153579e-17
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,building,1,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,building,1,293.15,293.15,293.15,0.04199999999999997,-2.6790196399722264e-17,-2.6790196399722264e-17
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,building,1,292.15,292.15,294.15,0.0,0.007000000000000455,0.0073684210526320576
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,building,2,292.15,292.15,294.15,0.029999999999999857,0.0,0.0
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,building,3,292.15,292.15,294.15,0.0,0.026999999999999885,0.028421052631578826
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,building,4,293.15,292.15,294.15,0.04699999999999932,0.0,0.0
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,building,1,292.150000000003,292.15,294.15,4.913489665841743e-13,0.006999999999579008,0.00736842105218843
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,building,2,292.1500000000025,292.15,294.15,0.02999999999995765,3.910619084956516e-14,4.1164411420594904e-14
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,building,3,292.15000000000146,292.15,294.15,2.5962321737634754e-13,0.02699999999972436,0.0284210526312888
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,building,4,293.15,292.15,294.15,0.04699999999994353,2.657799275956691e-14,2.7976834483754643e-14
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,building,1,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,building,1,293.15,293.15,293.15,0.0420000000000001,-7.265979378853204e-17,-7.265979378853204e-17
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,building,1,293.15,293.15,293.15,0.0,0.04199999999999998,0.04199999999999998
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,building,1,293.15,293.15,293.15,1.1296185922487122e-16,0.04199999999999977,0.04199999999999977
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,building,1,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,building,2,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,building,3,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,building,4,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,building,1,293.15,293.15,293.15,0.042000000000000065,-6.395319014218784e-17,-6.395319014218784e-17
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,building,2,293.15,293.15,293.15,0.04200000000000004,-5.120699222130619e-18,-5.120699222130619e-18
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,building,3,293.15,293.15,293.15,0.042000000000000044,-7.315862026610805e-18,-7.315862026610805e-18
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,building,4,293.15,293.15,293.15,0.041999999999999996,6.4053142467204314e-18,6.4053142467204314e-18
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,building,1,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,building,2,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,building,3,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,building,4,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,building,1,293.15,293.15,293.15,0.04200000000000008,-6.434991069535106e-17,-6.434991069535106e-17
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,building,2,293.15,293.15,293.15,0.04200000000000015,-4.749791622486671e-17,-4.749791622486671e-17
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,building,3,293.15,293.15,293.15,0.042000000000000114,-2.253200050174852e-17,-2.253200050174852e-17
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,building,4,293.15,293.15,293.15,0.0420000000000001,-2.2608573258576067e-17,-2.2608573258576067e-17
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,building,1,293.15,293.15,293.15,0.04200000000000004,0.0,0.0
