record_id,run_id,case,solver,case_sha256,status,candidate,model_pass,electric_pass,heat_pass,comfort_pass,delivery_pass,auxiliary_exact_pass,cost_pass,cost_complete,objective,bound,relative_gap,elapsed_sec,mismatch_MWh,mismatch_limit_MWh,maximum_normalized_residual
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,capacity_denominator,highs,36b252a98c28523f19ee55a4c1db70d1fd7f2e12c73c7d42b2fd113050656bdc,solver_optimal,true,true,true,true,true,true,true,true,true,23.70000000000006,23.700000000000045,5.9961412300430245e-16,4.759999990463257,0.010000000000000057,0.010000000000000002,2.39845649201721e-9
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,capacity_denominator,clarabel,36b252a98c28523f19ee55a4c1db70d1fd7f2e12c73c7d42b2fd113050656bdc,solver_optimal,true,true,true,true,true,true,true,true,true,23.699999999989178,23.699999999568192,1.7763118683418362e-11,6.0279998779296875,0.009999999999988955,0.010000000000000002,5.592900732325199e-7
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,down,highs,f78443a069339606fab46248daf5353def584e486f47d99f9035dc683228b19a,solver_optimal,true,true,true,true,true,true,true,true,true,14.16000000000001,14.16,7.526935760170548e-16,0.004000186920166016,1.0408340855860843e-17,0.0,7.526935760170548e-10
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,down,clarabel,f78443a069339606fab46248daf5353def584e486f47d99f9035dc683228b19a,solver_optimal,true,true,true,true,true,true,true,true,true,14.160000000000023,14.159999999997812,1.5618391702353872e-13,0.009000062942504883,1.734723475976807e-17,0.0,1.254489293361757e-9
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,four_period,highs,1f0ec5035a9043999511d5a3d8fb2325e501e3de809deb7795fff398341da369,solver_optimal,true,true,true,true,true,true,true,true,true,57.571300980288285,57.57130098028827,2.4683921456052606e-16,0.03800010681152344,1.3877787807814457e-17,0.024,5.684341886080801e-10
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,four_period,clarabel,1f0ec5035a9043999511d5a3d8fb2325e501e3de809deb7795fff398341da369,solver_optimal,true,true,true,true,true,true,true,true,true,57.57130098028915,57.57130098028226,1.1971701906185334e-13,0.009999990463256836,2.914335439641036e-16,0.024,2.838650967446007e-9
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,hand,highs,c22fb305ef114818a4533bef8555622976480271e67be86948ac5f99a9e67e16,solver_optimal,true,true,true,true,true,true,true,true,true,14.2,14.2,0.0,0.005000114440917969,0.0,0.0,3.404394821604484e-11
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,hand,clarabel,c22fb305ef114818a4533bef8555622976480271e67be86948ac5f99a9e67e16,solver_optimal,true,true,true,true,true,true,true,true,true,14.200000000000003,14.199999999997791,1.5574396232769798e-13,0.006999969482421875,0.0,0.0,5.684341886080801e-10
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,local_heat,highs,5b10fa7400d7755cc0f305b5199ebf2d6cb998cfc7516bf7f521ce1c8bbce81f,solver_optimal,true,true,true,true,true,true,true,true,true,14.2,14.2,0.0,0.003999948501586914,0.0,0.0,3.404394821604484e-11
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,local_heat,clarabel,5b10fa7400d7755cc0f305b5199ebf2d6cb998cfc7516bf7f521ce1c8bbce81f,solver_optimal,true,true,true,true,true,true,true,true,true,14.200000000000019,14.199999999997159,2.014038388334084e-13,0.006999969482421875,2.7755575615628914e-17,0.0,2.6019874830651522e-8
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,market_no_call,highs,17db0e8a80427c3a37327f8b0f9a628ef20b400e2169d50557d4e53f76970f40,solver_optimal,true,true,true,true,true,true,true,true,true,5901.84,5901.8399999999965,6.164143397807655e-16,0.006000041961669922,0.0,0.0,3.165870343657673e-11
