record_id,run_id,case,solver,kind,actor,node,t,dt_h,P_MW,up_MW,down_MW
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,generators,G1,1,1,1.0,40.0,-0.0,-0.0
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,generators,G2,1,1,1.0,60.0,0.0,0.0
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,generators,G1,1,1,1.0,39.99999999999988,-1.5437461102380178e-12,6.176407813657462e-13
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,generators,G2,1,1,1.0,60.000000000000114,1.543882640722718e-12,-6.175700674511366e-13
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,generators,G1,1,1,1.0,80.0,20.0,10.0
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,ies,IES1,1,1,1.0,30.0,-0.0,0.0
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,generators,G1,1,1,1.0,80.00000000002804,20.000000000057682,10.000000000053662
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,ies,IES1,1,1,1.0,30.000000000028038,-5.768035527239566e-11,-5.366191232339707e-11
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,generators,G1,1,1,0.25,80.0,20.0,10.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,ies,IES1,1,1,0.25,30.0,-0.0,0.0
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,generators,G1,1,1,0.25,80.000000000068,19.99999999993013,9.99999999996372
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,ies,IES1,1,1,0.25,30.00000000006801,6.987169257274428e-11,3.628082055230924e-11
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators,G1,1,1,1.0,60.0,15.0,10.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators,G1,1,2,1.0,80.0,15.0,10.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators,G1,1,3,1.0,90.0,10.0,10.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators,G1,1,4,1.0,70.0,15.0,10.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators,G2,2,1,1.0,0.0,0.0,0.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators,G2,2,2,1.0,0.0,0.0,0.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators,G2,2,3,1.0,10.0,5.0,0.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators,G2,2,4,1.0,0.0,0.0,0.0
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,generators,G1,1,1,1.0,59.99999999996671,14.999999999838394,9.999999999987784
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,generators,G1,1,2,1.0,79.9999999999322,14.999999999826224,9.99999999997108
