record_id,run_id,case,solver,component,amount_USD
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,generators_energy,3800.0
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,generators_up,0.0
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,generators_down,0.0
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,ies_energy,0.0
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,ies_up,0.0
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,ies_down,0.0
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,generators_energy,3800.000000000003
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,generators_up,6.826524235017367e-16
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,generators_down,1.4142782921927068e-16
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,ies_energy,0.0
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,ies_up,0.0
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,ies_down,0.0
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,generators_energy,1600.0
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,generators_up,100.0
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,generators_down,20.0
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,ies_energy,-3000.0
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,ies_up,0.0
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,ies_down,0.0
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,generators_energy,1600.0000000005607
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,generators_up,100.00000000028841
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,generators_down,20.000000000107324
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,ies_energy,-3000.000000002804
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,ies_up,-1.1536071054479132e-10
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,ies_down,-1.609857369701912e-10
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,generators_energy,400.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,generators_up,25.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,generators_down,5.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,ies_energy,-750.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,ies_up,0.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,ies_down,0.0
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,generators_energy,400.00000000034
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,generators_up,24.99999999991266
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,generators_down,4.99999999998186
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,ies_energy,-750.0000000017002
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,ies_up,3.493584628637214e-11
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,ies_down,2.7210615414231932e-11
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators_energy,6500.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators_up,310.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,generators_down,40.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,ies_energy,0.0
