record_id,run_id,case,solver,node,t,dt_h,certified,LMP_USD_MWh,up_price_USD_MW_h,down_price_USD_MW_h
bid_cap--highs,r5-market-4f705f6e-cab6-4d26-88cc-505a6c6e62cf,bid_cap,highs,1,1,1.0,true,50.0,5.0,2.0
bid_cap--clarabel,r5-market-969443fd-36ea-455c-afef-fcbc857e5c93,bid_cap,clarabel,1,1,1.0,true,49.999999999995204,-5.562861358113356,-8.532219812390357
hand_hour--highs,r5-market-f049293e-0369-4ae9-a6c5-412ce0ab7d76,hand_hour,highs,1,1,1.0,true,20.0,5.0,2.0
hand_hour--clarabel,r5-market-aeada9dc-e494-4f08-8b53-0230b1a3f3a7,hand_hour,clarabel,1,1,1.0,true,19.99999999998349,4.999999999992773,1.9999999998637772
hand_quarter--highs,r5-market-c918a4a1-cfc1-4ced-8c41-d7bd56290ca0,hand_quarter,highs,1,1,0.25,true,20.0,5.0,2.0
hand_quarter--clarabel,r5-market-e2e01c23-e7b8-4d3c-87ec-badb61585842,hand_quarter,clarabel,1,1,0.25,true,20.00000000005498,4.999999999903337,1.999999999803576
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,1,1,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,1,2,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,1,3,1.0,true,22.0,7.0,1.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,1,4,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,2,1,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,2,2,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,2,3,1.0,true,50.0,7.0,1.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,2,4,1.0,true,20.0,5.0,1.0
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,1,1,1.0,true,10.626172914191772,5.000000000009709,0.9999999999557647
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,1,2,1.0,true,29.37382708595892,5.000000000094043,0.9999999999538198
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,1,3,1.0,true,38.35567355446099,6.99999999988179,0.9999999999978093
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,1,4,1.0,true,3.644326445603676,5.000000000028073,0.999999999955671
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,2,1,1.0,true,10.626172914207292,5.000000000009709,0.9999999999557647
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,2,2,1.0,true,29.373827086013602,5.000000000094043,0.9999999999538198
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,2,3,1.0,true,49.99999999995462,6.99999999988179,0.9999999999978093
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,2,4,1.0,true,3.6443264456276765,5.000000000028073,0.999999999955671
ramp_memory--highs,r5-market-cb9f42da-b552-4060-9f0f-ebff0d0e3b41,ramp_memory,highs,1,1,1.0,true,-10.0,5.0,2.0
ramp_memory--highs,r5-market-cb9f42da-b552-4060-9f0f-ebff0d0e3b41,ramp_memory,highs,1,2,1.0,true,50.0,5.0,2.0
ramp_memory--clarabel,r5-market-657dfd59-01e9-42c9-bf77-5d0cecce47b7,ramp_memory,clarabel,1,1,1.0,true,-10.000000000032648,-5.754336454800931,-4.955346534761023
ramp_memory--clarabel,r5-market-657dfd59-01e9-42c9-bf77-5d0cecce47b7,ramp_memory,clarabel,1,2,1.0,true,50.000000000008285,-5.844863127947643,-8.372337171111784
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,1,1,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,1,2,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,1,3,1.0,true,20.0,2.0,1.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,1,4,1.0,true,20.0,2.0,1.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,2,1,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,2,2,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,2,3,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,2,4,1.0,true,50.0,2.0,1.0
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,1,1,1.0,true,49.99999999978397,2.0000000004765575,0.999999999834946
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,1,2,1.0,true,32.14929531088558,2.0000000004738734,0.9999999998226061
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,1,3,1.0,true,20.0000000003035,2.0000000004546092,0.9999999997955009
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,1,4,1.0,true,20.000000000359616,2.0000000005466174,0.9999999998825916
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,2,1,1.0,true,49.99999999987827,2.0000000004765575,0.999999999834946
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,2,2,1.0,true,49.99999999985177,2.0000000004738734,0.9999999998226061
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,2,3,1.0,true,50.000000000224965,2.0000000004546092,0.9999999997955009
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,2,4,1.0,true,49.99999999959405,2.0000000005466174,0.9999999998825916
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,1,1,1.0,true,50.0,2.0,1.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,1,2,1.0,true,50.0,2.0,1.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,1,3,1.0,true,50.0,2.0,1.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,1,4,1.0,true,20.0,2.0,1.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,2,1,1.0,true,50.0,2.0,1.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,2,2,1.0,true,50.0,2.0,1.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,2,3,1.0,true,50.0,2.0,1.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,2,4,1.0,true,20.0,2.0,1.0
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,1,1,1.0,true,49.999999999946475,2.0000000001399267,0.9999999999553552
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,1,2,1.0,true,49.99999999996873,2.000000000144337,0.9999999999507777
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,1,3,1.0,true,50.00000000005549,2.000000000140556,0.9999999999451902
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,1,4,1.0,true,37.49599638792438,2.0000000001774083,0.9999999999691073
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,2,1,1.0,true,49.9999999999505,2.0000000001399267,0.9999999999553552
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,2,2,1.0,true,49.99999999997338,2.000000000144337,0.9999999999507777
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,2,3,1.0,true,50.000000000061604,2.000000000140556,0.9999999999451902
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,2,4,1.0,true,37.49599638793138,2.0000000001774083,0.9999999999691073
