case,left_record,right_record,comparable,relative_objective_difference,A2_pass
bid_cap,bid_cap--highs,bid_cap--clarabel,true,7.18022132978627e-16,true
capacity_infeasible,capacity_infeasible--highs,capacity_infeasible--clarabel,false,NaN,false
hand_hour,hand_hour--highs,hand_hour--clarabel,true,1.65947255936496e-12,true
hand_hour,hand_hour--highs,hand_hour--gurobi,false,NaN,false
hand_quarter,hand_quarter--highs,hand_quarter--clarabel,true,4.386357943511798e-12,true
no_ies,no_ies--highs,no_ies--clarabel,true,1.1322877104687226e-12,true
ramp_memory,ramp_memory--highs,ramp_memory--clarabel,true,6.002665031697723e-13,true
two_bus,two_bus--highs,two_bus--clarabel,true,1.6032926536995496e-12,true
two_bus,two_bus--highs,two_bus--gurobi,false,NaN,false
wide_line,wide_line--highs,wide_line--clarabel,true,7.977805123770754e-13,true
