record_id,run_id,t,P_DA_MW,R_up_MW,R_down_MW
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,1,0.12,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,2,0.09000000000000002,0.08,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,3,0.0,-0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,4,0.08218919711714823,0.0,0.0
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,1,0.11999999999874533,2.1212606010253233e-13,8.866553809183528e-14
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,2,0.08999999999866429,0.07999999999897996,2.9140783675506674e-13
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,3,2.6576911998798674e-13,1.3755557078228102e-13,2.6791133732698534e-13
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,4,0.08218919703545598,9.417532096944135e-13,1.4833213653985057e-11
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,1,0.108,0.0,0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,2,0.09000000000000002,0.08,0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,3,-0.0,-0.0,-0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,4,0.047668142967202363,0.0,0.0
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,1,0.10800000000233582,4.3295084669542014e-13,1.7756011933350713e-13
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,2,0.08154935451769643,0.07999999999526934,6.150457608730776e-13
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,3,5.103823675860608e-13,2.420210713065009e-13,3.6806529378806023e-13
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,4,0.04517546096691548,1.4800937601788829e-12,7.117673570827881e-12
hard_r020--highs,r5-risk-03af27be-8fde-4133-ab7f-b22d9fd05b2b,1,0.08,0.08,0.062000000000000034
hard_r020--clarabel,r5-risk-enum-4d231a10-791d-4fa4-be38-ce2e8b9db297,1,0.07999999999998421,0.07999999999998389,0.06200000000001556
hard_r100--highs,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,1,0.06200000000000003,0.06200000000000003,0.08
hard_r100--clarabel,r5-risk-enum-fe72dfa0-9cb7-47ab-9aeb-63330fb78432,1,0.06200000000001302,0.06200000000001002,0.07999999999998887
hard_zero--highs,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,1,0.08,0.08,0.06200000000000004
hard_zero--clarabel,r5-risk-enum-e19a12e5-6fb1-490a-9f0c-97013cac8a15,1,0.07999999999972994,0.07999999999972937,0.06200000000028409
quarter--highs,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,1,0.08,0.08,0.06200000000000004
quarter--clarabel,r5-risk-enum-4b5b8253-28c7-48a8-a848-f0d222af4860,1,0.07999999999998991,0.07999999999998872,0.062000000000015806
thermal_e000_r005--highs,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,1,0.08,0.08,0.06199999999999913
thermal_e000_r005--clarabel,r5-risk-enum-230f3a21-1bea-421f-aa8a-15894bf1881a,1,0.07999999999994588,0.07999999999994367,0.06200000000005474
thermal_e025_r000--highs,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,1,0.08,0.08,0.07477999999999914
thermal_e025_r000--clarabel,r5-risk-enum-08cd812b-46ec-41ef-91d9-84e3b8b14f4e,1,0.07999999999994109,0.07999999999994176,0.07478000000005801
thermal_e025_r005--highs,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,1,0.08,0.08,0.06199999999999913
thermal_e025_r005--clarabel,r5-risk-enum-915983bd-1baf-467f-8c23-651014ee31da,1,0.079999999999946,0.079999999999944,0.062000000000049786
thermal_e030_r005--highs,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,1,0.08,0.08,0.07477999999999914
thermal_e030_r005--clarabel,r5-risk-enum-fa91afde-59fb-4835-9dc8-1db610f17136,1,0.07999999999992463,0.07999999999992273,0.07478000000006718
thermal_e100_r000--highs,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,1,0.08,0.08,0.07477999999999914
thermal_e100_r000--clarabel,r5-risk-enum-f86afcc5-1af2-4b7b-9189-8354b2b5818b,1,0.07999999999990529,0.07999999999990501,0.07478000000009312
thermal_hard--highs,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,1,0.08,0.08,0.061999999999999125
thermal_hard--clarabel,r5-risk-enum-124e3514-accd-4a57-8dbd-9ffa4f994a37,1,0.07999999999970998,0.07999999999971426,0.06200000000029932
hard_zero--gurobi,r5-risk-b1767fa5-00cd-4141-a1f2-f4bce05eba28,1,0.08000000000000007,0.08000000000000007,0.06199999999999997
thermal_e030_r005--gurobi,r5-risk-2999aa21-f3b5-47fd-b9d0-c6a935abc002,1,0.08000000000000007,0.08000000000000007,0.0747799999999993
