record_id,run_id,case,case_sha256,route,status,model_pass,risk_pass,cost_pass,evidence_pass,independent_market_pass,cost_complete,restricted_stopping,upper_bound,net_payment_USD,worst_recourse_USD,full_lower_bound,full_relative_gap,final_bound_scope,final_scoped_lower,scoped_relative_gap,iterations,cuts,selected_iteration,elapsed_sec,budget_sec,budget_overrun_sec,reference_run_id,reference_status,reference_cost,candidate_comparable,candidate_cost_difference,candidate_relative_difference,A2_pass,infeasibility_scope,unboundedness_scope
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,competitive_future_e030_r005.toml,05d5ce41e6bdaa49005812870c7aefc405febe80f2068a7012959f59724e391b,cuts,declared_domain_gap,true,true,true,true,true,true,false,-13.550890621602825,-31.999999999999993,18.449109378397168,-13.550890621602896,5.243513180066183e-15,full_optimistic_MPEC,-13.550890621602896,5.243513180066183e-15,10,19,10,61.254000186920166,600.0,0.0,r5-strategic-4ae82280-25a1-4acd-a245-7b59575cdf2a,solver_optimal,-13.550890621602786,true,-3.907985046680551e-14,2.8839322490364158e-15,true,not_proved,not_proved
competitive_future_e030_r005--critical,r5-strategic-benders-aceb6b28-13cd-48a4-97be-6073f30719a7,competitive_future_e030_r005.toml,05d5ce41e6bdaa49005812870c7aefc405febe80f2068a7012959f59724e391b,critical,declared_domain_gap,true,true,true,true,true,true,false,-13.55089062160286,-32.0,18.44910937839714,-13.550890621602935,5.505688839069476e-15,full_optimistic_MPEC,-13.550890621602935,5.505688839069476e-15,9,15,9,31.83899998664856,600.0,0.0,r5-strategic-4ae82280-25a1-4acd-a245-7b59575cdf2a,solver_optimal,-13.550890621602786,true,-7.460698725481052e-14,5.505688839069507e-15,true,not_proved,not_proved
competitive_future_e030_r005--paper_critical,r5-strategic-benders-ca2c4896-2a59-42f4-b543-a80b738bb5e8,competitive_future_e030_r005.toml,05d5ce41e6bdaa49005812870c7aefc405febe80f2068a7012959f59724e391b,paper_critical,restricted_domain_gap,true,true,true,true,true,false,true,-13.55089062160286,-32.0,18.44910937839714,-Inf,Inf,restricted_comfort_domain,-13.550890621602935,5.505688839069476e-15,9,14,9,26.888999938964844,600.0,0.0,r5-strategic-4ae82280-25a1-4acd-a245-7b59575cdf2a,solver_optimal,-13.550890621602786,true,-7.460698725481052e-14,5.505688839069507e-15,false,not_proved,not_proved
competitive_hard_zero--cuts,r5-strategic-benders-d05df392-3561-40ed-bdbe-382a63a6b51e,competitive_hard_zero.toml,791191f19bedcd27e54b0615f892bdfc19051f9097afdbbf94dd0b3889b2bd4f,cuts,declared_domain_gap,true,true,true,true,true,true,false,2.0849999999999795,-6.2000000000000295,8.285000000000009,2.0849999999999387,1.9595303264367465e-14,full_optimistic_MPEC,2.0849999999999387,1.9595303264367465e-14,3,7,3,3.674999952316284,600.0,0.0,r5-strategic-db21a41d-7d57-4f76-8ddb-95187c41628d,solver_optimal,2.085,true,-2.042810365310288e-14,9.797651632183636e-15,true,not_proved,not_proved
competitive_hard_zero--critical,r5-strategic-benders-35b03606-4742-4c40-82e0-43917ffb8d05,competitive_hard_zero.toml,791191f19bedcd27e54b0615f892bdfc19051f9097afdbbf94dd0b3889b2bd4f,critical,declared_domain_gap,true,true,true,true,true,true,false,2.085,-6.200000000000004,8.285000000000004,2.084999999999968,1.5335454728635255e-14,full_optimistic_MPEC,2.084999999999968,1.5335454728635255e-14,3,4,3,2.927999973297119,600.0,0.0,r5-strategic-db21a41d-7d57-4f76-8ddb-95187c41628d,solver_optimal,2.085,true,0.0,0.0,true,not_proved,not_proved
competitive_hard_zero--paper_critical,r5-strategic-benders-45b2a6ee-0b99-42cc-a783-6def2c1a4e55,competitive_hard_zero.toml,791191f19bedcd27e54b0615f892bdfc19051f9097afdbbf94dd0b3889b2bd4f,paper_critical,restricted_domain_gap,true,true,true,true,true,false,true,2.085,-6.200000000000004,8.285000000000004,-Inf,Inf,restricted_comfort_domain,2.084999999999968,1.5335454728635255e-14,3,4,3,2.5340001583099365,600.0,0.0,r5-strategic-db21a41d-7d57-4f76-8ddb-95187c41628d,solver_optimal,2.085,true,0.0,0.0,false,not_proved,not_proved
competitive_physical_infeasible--cuts,r5-strategic-benders-325a24c4-fd32-4c60-8ae6-2354c4e0154f,competitive_physical_infeasible.toml,0ef0c1af0ba24e02f85dd96d511579ec234d5d54220fdbcc49ece53b6285f782,cuts,declared_domain_infeasible,false,false,false,true,false,false,false,Inf,NaN,NaN,-88.0000000106,Inf,full_optimistic_MPEC,-88.0000000106,Inf,3,6,0,2.182999849319458,600.0,0.0,r5-strategic-c8569610-de9a-4e69-a471-8284e954b375,solver_infeasible,Inf,false,NaN,NaN,false,full_optimistic_MPEC,not_proved
competitive_physical_infeasible--critical,r5-strategic-benders-10aeb645-abcb-418c-8ece-5f4a4761b623,competitive_physical_infeasible.toml,0ef0c1af0ba24e02f85dd96d511579ec234d5d54220fdbcc49ece53b6285f782,critical,declared_domain_infeasible,false,false,false,true,false,false,false,Inf,NaN,NaN,-88.0000000106,Inf,full_optimistic_MPEC,-88.0000000106,Inf,2,0,0,0.809999942779541,600.0,0.0,r5-strategic-c8569610-de9a-4e69-a471-8284e954b375,solver_infeasible,Inf,false,NaN,NaN,false,full_optimistic_MPEC,not_proved
competitive_physical_infeasible--paper_critical,r5-strategic-benders-695c8fac-45a2-4339-bc5f-efe9f1390d77,competitive_physical_infeasible.toml,0ef0c1af0ba24e02f85dd96d511579ec234d5d54220fdbcc49ece53b6285f782,paper_critical,restricted_domain_infeasible,false,false,false,true,false,false,false,Inf,NaN,NaN,-Inf,Inf,restricted_comfort_domain,-Inf,Inf,2,0,0,0.875,600.0,0.0,r5-strategic-c8569610-de9a-4e69-a471-8284e954b375,solver_infeasible,Inf,false,NaN,NaN,false,restricted_comfort_domain,not_proved
competitive_quarter--cuts,r5-strategic-benders-4497f027-30c4-40da-9f37-269184ccc5a6,competitive_quarter.toml,caf4e19e0645b3af812276b1ab059197dddb67aabd221ce5a2897a2f349e5b31,cuts,declared_domain_gap,true,true,true,true,true,true,false,0.5212499999999949,-1.5500000000000074,2.0712500000000023,0.5212499999999847,1.021405182655144e-14,full_optimistic_MPEC,0.5212499999999847,1.021405182655144e-14,3,7,3,3.062999963760376,600.0,0.0,r5-strategic-1958dce7-9460-4c76-a23b-d6c4080947af,solver_optimal,0.52125,true,-5.10702591327572e-15,5.10702591327572e-15,true,not_proved,not_proved
