record_id,run_id,case,case_sha256,solver,method,status,model_pass,selected_kkt_pass,independent_market_pass,risk_pass,cost_complete,total_cost_USD,net_payment_USD,worst_recourse_USD,bound,bound_scope,relative_gap,worst_risk,epsilon,radius,external_energy_bid_cost_USD,nominal_internal_device_cost_USD,nominal_energy_resource_proxy_USD,elapsed_sec
competitive_hard_zero-sos1,r5-strategic-db21a41d-7d57-4f76-8ddb-95187c41628d,competitive_hard_zero.toml,791191f19bedcd27e54b0615f892bdfc19051f9097afdbbf94dd0b3889b2bd4f,gurobi,sos1,solver_optimal,true,true,true,true,true,2.085,-6.200000000000004,8.285000000000004,2.085,full_optimistic_MPEC,0.0,0.0,0.0,0.0,108.0,8.645000000000003,116.64500000000001,22.53500008583069
competitive_hard_zero-branch,r5-strategic-09c293ea-1ec0-490a-b058-bf63f33fb228,competitive_hard_zero.toml,791191f19bedcd27e54b0615f892bdfc19051f9097afdbbf94dd0b3889b2bd4f,highs,fixed_complementarity,solver_optimal,true,true,true,true,true,2.085000000000007,-6.199999999999997,8.285000000000004,2.085000000000001,declared_fixed_branch,2.9818939750124006e-15,0.0,0.0,0.0,108.0,8.645000000000003,116.64500000000001,0.5559999942779541
competitive_quarter-sos1,r5-strategic-1958dce7-9460-4c76-a23b-d6c4080947af,competitive_quarter.toml,caf4e19e0645b3af812276b1ab059197dddb67aabd221ce5a2897a2f349e5b31,gurobi,sos1,solver_optimal,true,true,true,true,true,0.52125,-1.550000000000001,2.071250000000001,0.52125,full_optimistic_MPEC,0.0,0.0,0.0,0.0,27.0,2.161250000000001,29.161250000000003,0.1380000114440918
competitive_quarter-branch,r5-strategic-24c3949a-814b-4742-92eb-c5b7fb9d30fc,competitive_quarter.toml,caf4e19e0645b3af812276b1ab059197dddb67aabd221ce5a2897a2f349e5b31,highs,fixed_complementarity,solver_optimal,true,true,true,true,true,0.5212500000000018,-1.5499999999999992,2.071250000000001,0.5212500000000002,declared_fixed_branch,1.5543122344752192e-15,0.0,0.0,0.0,27.0,2.161250000000001,29.161250000000003,0.10100007057189941
competitive_thermal_e030_r005-sos1,r5-strategic-34589db1-3375-4776-b049-46aeb980c9c0,competitive_thermal_e030_r005.toml,b2dcbdfcf5d68eec21513c4196706620b9a9ed37b0128ea06c521f7514925972,gurobi,sos1,solver_optimal,true,true,true,true,true,1.36648000000001,-7.477999999999893,8.844479999999903,1.3664800000000064,full_optimistic_MPEC,2.5999017027695064e-15,0.3,0.3,0.05,108.0,8.644999999999925,116.64499999999992,0.10299992561340332
competitive_thermal_e030_r005-branch,r5-strategic-b5b1ec21-fb7a-41e7-8010-f92ab4031bf8,competitive_thermal_e030_r005.toml,b2dcbdfcf5d68eec21513c4196706620b9a9ed37b0128ea06c521f7514925972,highs,fixed_complementarity,solver_optimal,true,true,true,true,true,1.3664799999999895,-7.4779999999999065,8.844479999999896,1.3664799999999853,declared_fixed_branch,3.087383272038835e-15,0.3,0.3,0.05,108.0,8.644999999999916,116.64499999999991,0.0970001220703125
competitive_future_e030_r005-sos1,r5-strategic-4ae82280-25a1-4acd-a245-7b59575cdf2a,competitive_future_e030_r005.toml,05d5ce41e6bdaa49005812870c7aefc405febe80f2068a7012959f59724e391b,gurobi,sos1,solver_optimal,true,true,true,true,true,-13.550890621602786,-32.0,18.449109378397214,-13.550890621602786,full_optimistic_MPEC,0.0,0.3,0.3,0.05,431.2514078466539,16.757758801275774,448.00916664792965,0.17300009727478027
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,competitive_future_e030_r005.toml,05d5ce41e6bdaa49005812870c7aefc405febe80f2068a7012959f59724e391b,highs,fixed_complementarity,solver_optimal,true,true,true,true,true,-13.550890621602676,-31.99999999999998,18.449109378397303,-13.550890621602719,declared_fixed_branch,3.146107908039751e-15,0.3,0.3,0.05,431.2514078466538,16.757758801275777,448.0091666479296,0.13699984550476074
competitive_physical_infeasible-sos1,r5-strategic-c8569610-de9a-4e69-a471-8284e954b375,competitive_physical_infeasible.toml,0ef0c1af0ba24e02f85dd96d511579ec234d5d54220fdbcc49ece53b6285f782,gurobi,sos1,solver_infeasible,false,false,false,false,false,NaN,NaN,NaN,NaN,no_candidate,NaN,NaN,1.0,0.0,NaN,NaN,NaN,0.09600019454956055
merit_strategic-sos1,r5-strategic-cc4a0e90-3c71-4796-bf73-f06bb983aab4,merit_strategic.toml,a7b03af509302bba32324826025bee6a40241fe97ff0e2488caa83d62ac23bf4,gurobi,sos1,solver_optimal,true,true,true,true,true,7.460000000000016,2.0,5.460000000000016,7.460000000000015,full_optimistic_MPEC,1.1905876939679936e-16,0.0,0.0,0.0,4.0,5.460000000000016,9.460000000000015,0.1119999885559082
merit_strategic-branch,r5-strategic-90c032c2-718a-40fc-a456-eb81190abfb1,merit_strategic.toml,a7b03af509302bba32324826025bee6a40241fe97ff0e2488caa83d62ac23bf4,highs,fixed_complementarity,solver_optimal,true,true,true,true,true,7.460000000000004,2.0,5.460000000000004,7.460000000000004,declared_fixed_branch,0.0,0.0,0.0,0.0,4.0,5.460000000000004,9.460000000000004,0.11100006103515625
merit_fixed_bid-sos1,r5-strategic-17f63035-b818-4eb6-9185-928c9cca9ebe,merit_fixed_bid.toml,0bc9966677f31592e03066ad70b93a671a7ee10ad829add4f08561e59e21b0ec,gurobi,sos1,solver_optimal,true,true,true,true,true,14.200000000000005,14.200000000000005,0.0,14.200000000000003,full_optimistic_MPEC,1.2509555207044013e-16,0.0,0.0,0.0,8.200000000000003,0.0,8.200000000000003,0.09000015258789062
