method_a,method_b,direction,n,missing_pairs,status,mean_difference_USD,lower_USD,upper_USD,seed,replicates,confidence
D,SP,A_minus_B,1000,0,complete_pairs,1.605895597039875,1.2598804660537408,1.9506847208049976,2026091904,2000,0.95
D,RO,A_minus_B,1000,0,complete_pairs,-2.4693187219810886,-2.821443707359569,-2.103868950657642,2026091904,2000,0.95
D,DRO,A_minus_B,1000,0,complete_pairs,1.6247089415046267,1.2805882900949783,1.9683225608661146,2026091904,2000,0.95
D,CCP,A_minus_B,1000,0,complete_pairs,1.8108905059410763,1.4618708650091885,2.1572953330956914,2026091904,2000,0.95
D,DRJCC,A_minus_B,1000,0,complete_pairs,1.5508979876692512,1.189341186313414,1.908968153974189,2026091904,2000,0.95
SP,RO,A_minus_B,1000,0,complete_pairs,-4.075214319020965,-4.275884046503857,-3.8533486203319116,2026091904,2000,0.95
SP,DRO,A_minus_B,1000,0,complete_pairs,0.018813344464751785,0.010317537964100183,0.028234274388913305,2026091904,2000,0.95
SP,CCP,A_minus_B,1000,0,complete_pairs,0.20499490890120128,0.13057632945949152,0.30080755534506537,2026091904,2000,0.95
SP,DRJCC,A_minus_B,1000,0,complete_pairs,-0.05499760937062387,-0.08972307463362032,-0.0223295172232617,2026091904,2000,0.95
RO,DRO,A_minus_B,1000,0,complete_pairs,4.094027663485717,3.8769638418621257,4.290628718374617,2026091904,2000,0.95
RO,CCP,A_minus_B,1000,0,complete_pairs,4.280209227922166,4.075874297965275,4.470884058080994,2026091904,2000,0.95
RO,DRJCC,A_minus_B,1000,0,complete_pairs,4.020216709650342,3.777246237051416,4.242381277062007,2026091904,2000,0.95
DRO,CCP,A_minus_B,1000,0,complete_pairs,0.18618156443644948,0.11520092236821977,0.277270609332163,2026091904,2000,0.95
DRO,DRJCC,A_minus_B,1000,0,complete_pairs,-0.07381095383537566,-0.11548703627058265,-0.03585631016877564,2026091904,2000,0.95
CCP,DRJCC,A_minus_B,1000,0,complete_pairs,-0.25999251827182507,-0.3693622207441435,-0.16925508776323234,2026091904,2000,0.95
