record_id,run_id,t,energy_bid,up_bid,down_bid,energy_price,up_price,down_price,P_DA_MW,R_up_MW,R_down_MW
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,1,70.0,100.0,100.0,70.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,2,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,3,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,4,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,5,70.0,100.0,100.0,70.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,6,80.0,100.0,100.0,80.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,7,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,8,120.0,100.0,100.0,120.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,9,110.0,100.0,100.0,110.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,10,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,11,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,12,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,13,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,14,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,15,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,16,110.0,100.0,100.0,110.0,100.0,100.0,0.08688444907194372,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,17,130.0,100.0,100.0,130.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,18,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,19,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,20,140.0,100.0,100.0,140.0,100.0,100.0,0.08,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,21,120.0,100.0,100.0,120.0,100.0,100.0,0.11461583552244212,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,22,100.0,100.0,100.0,100.0,100.0,100.0,0.09222775294641405,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,23,85.0,100.0,100.0,85.0,100.0,100.0,0.12,0.08,0.08
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,24,75.0,100.0,100.0,75.0,100.0,100.0,0.11,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,1,70.0,100.0,100.0,70.0,100.0,100.0,0.08660391052617888,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,2,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
