record,parent_run_id,new_run_id,parent_model_pass,new_model_pass,parent_loss_MWh,new_loss_MWh,new_minus_parent_MWh,battery_rule_only_changed
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,r7-transport-44e61e0c-45ff-42df-b21e-2271a2d36c19,true,true,0.04444444444444445,0.04444444444444445,0.0,true
hand_parent_fault0_gurobi_n16,r7-transport-22b8d32a-7ae0-4d24-8f36-f1c34e7f1e95,r7-transport-dabe92b3-e573-48e4-ae9c-743ce35592d2,true,true,0.044444444444444446,0.044444444444444446,0.0,true
hand_parent_fault1_highs_n16,r7-transport-b340615b-af65-4b6e-b1ea-7b972c02f8e2,r7-transport-36c6a38c-6ecb-4676-bc1d-bb9d8f7ab803,false,false,,,,true
hand_parent_fault1_gurobi_n16,r7-transport-841004c0-3701-4d39-b79e-2ecb6d034527,r7-transport-69f71a3a-4843-40ed-ba3a-6d6713e2cb41,false,false,,,,true
hand_reference_fault0_highs_n16,r7-transport-114601b0-cdb0-4a0e-8cc1-f75451c3813e,r7-transport-02f31685-ba4c-443f-ae30-17af1ac8178c,true,true,-4.3819115003175315e-18,-4.3819115003175315e-18,0.0,true
hand_reference_fault0_gurobi_n16,r7-transport-3fd43866-254b-43b3-a515-0f344ce76065,r7-transport-3a454ad2-17a5-4af6-a30f-70607a670ded,true,true,0.0,0.0,0.0,true
hand_reference_fault1_highs_n16,r7-transport-f3c71a50-008f-4e53-8d39-b6ffc78efc00,r7-transport-f7b122ea-c037-480f-8372-c841366b5d5f,false,false,,,,true
hand_reference_fault1_gurobi_n16,r7-transport-deddbaf0-3186-4e1c-8db5-24e14c30554a,r7-transport-d9c175e1-4f1c-4593-9c62-ff5782b04f15,false,false,,,,true
reserve_event_1_parent_fault0_highs_n16,r7-transport-0632cee2-7988-472b-aede-c3dba87d1a1e,r7-transport-d2d4f9c6-97ba-4df6-8086-68b18c0b4d62,true,true,0.012549999999999728,0.012549999999999728,0.0,true
reserve_event_1_parent_fault0_gurobi_n16,r7-transport-787da9d6-c8ae-41ef-b643-3b4e4d18d002,r7-transport-19596ddf-f3a9-4f3d-867b-29215bfdf621,true,true,0.012549999999999617,0.012549999999999617,0.0,true
reserve_event_1_parent_fault1_highs_n16,r7-transport-a46ae7dd-9791-49eb-a5d2-2cd65a5d973f,r7-transport-ddeffdcf-5830-462a-a03c-0a5f5891916b,false,false,,,,true
reserve_event_1_parent_fault1_gurobi_n16,r7-transport-267c8c73-704a-48f5-9ba0-511f100b8c4c,r7-transport-0bdae8cf-48b7-4dab-9dfc-0acc1fe8904e,false,false,,,,true
reserve_event_1_reference_fault0_highs_n16,r7-transport-424472af-ddad-4909-a89d-faab66a5a382,r7-transport-b1ad548e-7967-456c-b4bb-c052d052e37f,true,true,0.0,0.0,0.0,true
reserve_event_1_reference_fault0_gurobi_n16,r7-transport-a2fc4626-5d61-40f5-b0ce-674e992875eb,r7-transport-86711261-03a9-424a-8b30-2051c873b146,true,true,0.0,0.0,0.0,true
reserve_event_1_reference_fault1_highs_n16,r7-transport-b3c854ba-1ffa-4a18-bab3-e865cb5ca9aa,r7-transport-89e97510-34af-42bb-853c-1b4f50834992,false,false,,,,true
reserve_event_1_reference_fault1_gurobi_n16,r7-transport-69601c09-017b-43f1-a789-5d763f65d6d7,r7-transport-1c42a4a3-4d08-4685-8393-af93d60b0d4e,false,false,,,,true
reserve_event_2_parent_fault0_highs_n16,r7-transport-3eccc7e4-db8d-465a-8b44-70a250f6eb68,r7-transport-d2bf72c2-be1f-48a6-b417-68b400df5080,true,true,0.01049999999999962,0.01049999999999962,0.0,true
reserve_event_2_parent_fault0_gurobi_n16,r7-transport-0b441de1-18b9-4458-992a-2d2cbde5f2b5,r7-transport-8053a604-652a-4cbb-8cd7-d8ed5adaf5fb,true,true,0.01049999999999951,0.01049999999999951,0.0,true
reserve_event_2_parent_fault1_highs_n16,r7-transport-cea805e1-39e2-4d88-ac5b-29acb924692b,r7-transport-42dabc50-7cbd-4397-88b2-84f582a6f136,false,false,,,,true
reserve_event_2_parent_fault1_gurobi_n16,r7-transport-3d41d37e-4881-4c23-8f97-46b9b097f077,r7-transport-4712cf65-dab0-4fe1-8485-1d367c195e06,false,false,,,,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,r7-transport-bfb0dd52-8147-4746-9533-22a53fed4e57,true,true,0.0,0.0,0.0,true
reserve_event_2_reference_fault0_gurobi_n16,r7-transport-eb66529f-b304-4e10-8787-990e1f73632a,r7-transport-0432bf1f-2ee4-4b59-8ce3-d985a083537e,true,true,0.0,0.0,0.0,true
reserve_event_2_reference_fault1_highs_n16,r7-transport-00edd313-dc76-4630-a633-b240d8072faf,r7-transport-7e45cbb9-2548-4916-b5a2-bc6e4b513835,false,false,,,,true
reserve_event_2_reference_fault1_gurobi_n16,r7-transport-268b00f0-91e8-485d-a177-0705e830edc6,r7-transport-ba9f9edf-120b-4245-a8ee-7d688828f8e5,false,false,,,,true
