record,group,flow,fault,kind,solver,run_id,status,model_pass,mutual_exclusivity_pass,loss_MWh,lower_bound_MWh,conditional_optimality,elapsed_sec
hand_parent_fault0_highs_n16,hand,parent,0,main,HiGHS,r7-transport-44e61e0c-45ff-42df-b21e-2271a2d36c19,solver_optimal,true,true,0.04444444444444445,0.04444444444444445,true,13.879999876022339
hand_parent_fault0_gurobi_n16,hand,parent,0,main,Gurobi,r7-transport-dabe92b3-e573-48e4-ae9c-743ce35592d2,solver_optimal,true,true,0.044444444444444446,0.04444444444444384,true,13.535000085830688
hand_parent_fault1_highs_n16,hand,parent,1,main,HiGHS,r7-transport-36c6a38c-6ecb-4676-bc1d-bb9d8f7ab803,infeasible_certified,false,false,,0.0,false,0.03500008583068848
hand_parent_fault1_gurobi_n16,hand,parent,1,main,Gurobi,r7-transport-69f71a3a-4843-40ed-ba3a-6d6713e2cb41,infeasible_certified,false,false,,,false,0.08299994468688965
hand_reference_fault0_highs_n16,hand,reference,0,main,HiGHS,r7-transport-02f31685-ba4c-443f-ae30-17af1ac8178c,solver_optimal,true,true,-4.3819115003175315e-18,-4.3819115003175315e-18,true,0.039999961853027344
hand_reference_fault0_gurobi_n16,hand,reference,0,main,Gurobi,r7-transport-3a454ad2-17a5-4af6-a30f-70607a670ded,solver_optimal,true,true,0.0,0.0,true,0.017000198364257812
hand_reference_fault1_highs_n16,hand,reference,1,main,HiGHS,r7-transport-f7b122ea-c037-480f-8372-c841366b5d5f,infeasible_certified,false,false,,0.0,false,0.019999980926513672
hand_reference_fault1_gurobi_n16,hand,reference,1,main,Gurobi,r7-transport-d9c175e1-4f1c-4593-9c62-ff5782b04f15,infeasible_certified,false,false,,,false,0.014000177383422852
hand_reference_fault0_clarabel_n16_mode0,hand,reference,0,mode_enumeration,Clarabel,r7-transport-b5d0905d-3310-4f38-a0ab-30414b9ac7ca,solver_optimal,true,true,1.6245191641023197e-11,,false,8.174999952316284
hand_reference_fault0_clarabel_n16_mode1,hand,reference,0,mode_enumeration,Clarabel,r7-transport-40dcb9a4-05fa-4a5f-983e-6153f2fe4cf9,solver_optimal,true,true,0.0666666666854354,,false,0.03699994087219238
hand_reference_fault0_clarabel_n16_reconstructed,hand,reference,0,ideal_reconstruction,Clarabel,r7-battery-reconstruction-0bf615d1-4d57-498c-91e7-735d49fbc55a,algebraic_reconstruction,true,true,3.1383361759916704e-12,,false,0.14400005340576172
reserve_event_1_parent_fault0_highs_n16,reserve_event_1,parent,0,main,HiGHS,r7-transport-d2d4f9c6-97ba-4df6-8086-68b18c0b4d62,solver_optimal,true,true,0.012549999999999728,0.012549999999999728,true,0.04699993133544922
reserve_event_1_parent_fault0_gurobi_n16,reserve_event_1,parent,0,main,Gurobi,r7-transport-19596ddf-f3a9-4f3d-867b-29215bfdf621,solver_optimal,true,true,0.012549999999999617,0.012549999999999617,true,0.03299999237060547
reserve_event_1_parent_fault1_highs_n16,reserve_event_1,parent,1,main,HiGHS,r7-transport-ddeffdcf-5830-462a-a03c-0a5f5891916b,infeasible_certified,false,false,,0.0,false,0.031999826431274414
reserve_event_1_parent_fault1_gurobi_n16,reserve_event_1,parent,1,main,Gurobi,r7-transport-0bdae8cf-48b7-4dab-9dfc-0acc1fe8904e,infeasible_certified,false,false,,,false,0.01900005340576172
reserve_event_1_reference_fault0_highs_n16,reserve_event_1,reference,0,main,HiGHS,r7-transport-b1ad548e-7967-456c-b4bb-c052d052e37f,solver_optimal,true,true,0.0,0.0,true,0.03400015830993652
reserve_event_1_reference_fault0_gurobi_n16,reserve_event_1,reference,0,main,Gurobi,r7-transport-86711261-03a9-424a-8b30-2051c873b146,solver_optimal,true,true,0.0,0.0,true,0.0279998779296875
reserve_event_1_reference_fault1_highs_n16,reserve_event_1,reference,1,main,HiGHS,r7-transport-89e97510-34af-42bb-853c-1b4f50834992,infeasible_certified,false,false,,0.0,false,0.07300019264221191
reserve_event_1_reference_fault1_gurobi_n16,reserve_event_1,reference,1,main,Gurobi,r7-transport-1c42a4a3-4d08-4685-8393-af93d60b0d4e,infeasible_certified,false,false,,,false,0.023999929428100586
reserve_event_1_reference_fault0_clarabel_n16_mode0,reserve_event_1,reference,0,mode_enumeration,Clarabel,r7-transport-4c5dfc9e-dd49-4f9d-b0bc-01d1b2255b30,solver_optimal,true,true,1.3324624286750174e-12,,false,0.06299996376037598
reserve_event_1_reference_fault0_clarabel_n16_mode1,reserve_event_1,reference,0,mode_enumeration,Clarabel,r7-transport-f64a01b6-e873-479e-a5ef-4caf4b8c2da0,solver_optimal,true,true,0.04225000034257469,,false,0.05900001525878906
reserve_event_1_reference_fault0_clarabel_n16_mode2,reserve_event_1,reference,0,mode_enumeration,Clarabel,r7-transport-e670e036-6db1-409a-ae28-c04b5a71ee05,solver_optimal,true,true,0.12675000001477124,,false,0.07700014114379883
reserve_event_1_reference_fault0_clarabel_n16_mode3,reserve_event_1,reference,0,mode_enumeration,Clarabel,r7-transport-cbc5ba37-912d-47bd-9928-494ab3b02a3e,solver_optimal,true,true,0.1690000006061056,,false,0.04500007629394531
