id,group,control,solver,run_id,status,model_pass,cost_complete,cost_USD,lower_bound_USD,relative_gap,elapsed_sec,model_class,nonsimultaneous_pass
healthy_zero_loss_prescribed_highs,healthy_zero_loss,prescribed,HiGHS,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,candidate,true,true,192.0284999999999,192.0284999999999,0.0,25.6489999294281,MILP,true
healthy_zero_loss_prescribed_gurobi,healthy_zero_loss,prescribed,Gurobi,r7-flow-planning-5f7c3455-4676-4cc4-a001-9644b0b639fe,candidate,true,true,192.02850000000038,192.02850000000038,0.0,25.296000003814697,MILP,true
healthy_zero_loss_recovery_continuous_gurobi,healthy_zero_loss,recovery_continuous,Gurobi,r7-flow-planning-235706c5-e17b-4f66-ac26-6e78c929e03e,candidate,true,true,192.00000000000014,192.0000000000001,1.4802973661668743e-16,1.5989999771118164,nonconvex_MIQCP,true
healthy_zero_loss_joint_continuous_gurobi,healthy_zero_loss,joint_continuous,Gurobi,r7-flow-planning-b723ff7a-db64-47d6-b9e3-134def33934d,candidate,true,true,192.00000000035718,192.0000000000001,1.859697581111986e-12,1.7300000190734863,nonconvex_MIQCP,true
all_faults_heat_limit_prescribed_highs,all_faults_heat_limit,prescribed,HiGHS,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,candidate,true,true,193.27499999999978,193.27499999999975,1.470532113848353e-16,0.08500003814697266,MILP,true
all_faults_heat_limit_prescribed_gurobi,all_faults_heat_limit,prescribed,Gurobi,r7-flow-planning-754b73a5-a037-457d-8a4e-d8bf7038cc5e,candidate,true,true,193.27500000000106,193.27500000000134,-1.4705321138483432e-15,0.06599998474121094,MILP,true
all_faults_heat_limit_recovery_continuous_gurobi,all_faults_heat_limit,recovery_continuous,Gurobi,r7-flow-planning-718c141d-82b0-477a-a0f4-1849fd540ef0,candidate,true,true,193.27500000800438,193.27500000800455,-8.823192682724699e-16,0.05900001525878906,nonconvex_MIQCP,false
all_faults_heat_limit_joint_continuous_gurobi,all_faults_heat_limit,joint_continuous,Gurobi,r7-flow-planning-ca8dd2d0-616d-426e-acc8-a6af867da279,candidate,true,true,193.27500001100447,193.27500000000035,5.693503300825907e-11,0.746999979019165,nonconvex_MIQCP,false
all_faults_zero_loss_prescribed_highs,all_faults_zero_loss,prescribed,HiGHS,r7-flow-planning-ba642444-9d03-44ef-b463-8d3e8d931599,infeasible_certified,false,false,,0.0,,0.04399991035461426,MILP,false
all_faults_zero_loss_prescribed_gurobi,all_faults_zero_loss,prescribed,Gurobi,r7-flow-planning-17493e54-23c9-4a9b-ba01-59f3a648fcfa,infeasible_certified,false,false,,,,0.07800006866455078,MILP,false
all_faults_zero_loss_recovery_continuous_gurobi,all_faults_zero_loss,recovery_continuous,Gurobi,r7-flow-planning-96f84b0d-8808-412f-a2da-f57806a474df,infeasible_certified,false,false,,,,0.037999868392944336,nonconvex_MIQCP,false
all_faults_zero_loss_joint_continuous_gurobi,all_faults_zero_loss,joint_continuous,Gurobi,r7-flow-planning-7baac0b9-2f67-4381-a5ba-9d3c3a1f6bd8,infeasible_certified,false,false,,,,0.042999982833862305,nonconvex_MIQCP,false
