case,run_id,iteration,restricted_value_MWh,cap_MWh,lower_bound_MWh,upper_bound_MWh,fault,topology_count
inner-tie-bottleneck,r7-adversary-16c994b4-a7ef-4b25-8d3b-5e184e1e5aad,1,3.0,3.0,0.19999999999999996,Inf,0;0;0,0
inner-tie-bottleneck,r7-adversary-16c994b4-a7ef-4b25-8d3b-5e184e1e5aad,2,3.0,3.0,0.19999999999999996,Inf,0;1;0,1
inner-tie-bottleneck,r7-adversary-16c994b4-a7ef-4b25-8d3b-5e184e1e5aad,3,3.0,3.0,0.19999999999999996,Inf,1;0;0,2
inner-tie-bottleneck,r7-adversary-16c994b4-a7ef-4b25-8d3b-5e184e1e5aad,4,0.2000000001200002,3.0,0.19999999999999996,0.2000000001200002,0;0;0,3
inner-tie-two-fault,r7-adversary-63e837b4-3ccf-4acb-955f-c9bdd57ef60b,1,3.0,3.0,0.0,Inf,0;0;0,0
inner-tie-two-fault,r7-adversary-63e837b4-3ccf-4acb-955f-c9bdd57ef60b,2,3.0,3.0,0.19999999999999385,Inf,1;1;0,1
inner-tie-two-fault,r7-adversary-63e837b4-3ccf-4acb-955f-c9bdd57ef60b,3,3.0,3.0,Inf,Inf,1;0;1,2
inner-tie-two-hour,r7-adversary-a786443f-26a4-4941-ac68-4b9bf152bdd9,1,3.0,3.0,0.0,Inf,0;0;0,0
inner-tie-two-hour,r7-adversary-a786443f-26a4-4941-ac68-4b9bf152bdd9,2,3.0,3.0,0.0,Inf,0;1;0,1
inner-tie-two-hour,r7-adversary-a786443f-26a4-4941-ac68-4b9bf152bdd9,3,3.0,3.0,0.0,Inf,1;0;0,2
inner-tie-two-hour,r7-adversary-a786443f-26a4-4941-ac68-4b9bf152bdd9,4,0.0,3.0,0.0,-0.0,0;0;0,3
