record,run_id,iteration,key,pipe,side,scenario,segment,mass_kg,base_K,amplitude_K,rate_per_kg,from_left
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","1","1:0","1","S","1","1","18000.0","293.15","41.90476190476181","0.0","true"
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","1","1:0","1","S","2","1","18000.0","293.15","41.90476190476181","0.0","true"
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","1","1:0","1","R","1","1","18000.0","293.15","20.0","0.0","true"
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","1","1:0","1","R","2","1","18000.0","293.15","20.0","0.0","true"
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","1","1:1","1","S","1","1","18000.0","293.15","41.90476190476181","0.0","true"
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","1","1:1","1","S","2","1","18000.0","293.15","41.90476190476181","0.0","true"
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","1","1:1","1","R","1","1","18000.0","293.15","20.0","0.0","true"
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","1","1:1","1","R","2","1","18000.0","293.15","20.0","0.0","true"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","1","1:0","1","S","1","1","18000.0","293.15","58.09523809523813","0.0","true"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","1","1:0","1","S","2","1","18000.0","293.15","58.09523809523813","0.0","true"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","1","1:0","1","R","1","1","18000.0","293.15","20.0","0.0","true"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","1","1:0","1","R","2","1","18000.0","293.15","20.0","0.0","true"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","1","1:1","1","S","1","1","18000.0","293.15","58.09523809523813","0.0","true"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","1","1:1","1","S","2","1","18000.0","293.15","58.09523809523813","0.0","true"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","1","1:1","1","R","1","1","18000.0","293.15","20.0","0.0","true"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","1","1:1","1","R","2","1","18000.0","293.15","20.0","0.0","true"
"reserve_zero_finite_fault_ccg_highs_n4","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","1","1:0","1","S","1","1","18000.0","293.15","49.04761904761904","0.0","true"
"reserve_zero_finite_fault_ccg_highs_n4","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","1","1:0","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_zero_finite_fault_ccg_highs_n4","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","1","1:0","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
