record,run_id,scenario,quantity,index,time_h,value,unit
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","E_BES","2","0.0","0.2","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","E_BES","2","0.0","0.15","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","E_BES","2","1.0","0.8","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","E_BES","2","1.0","0.8","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","E_BES","2","2.0","0.8","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","E_BES","2","2.0","0.8","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","E_BES","2","3.0","0.39899999999999936","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","E_BES","2","3.0","0.39899999999999936","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","E_BES","2","4.0","0.2","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","E_BES","2","4.0","0.15","MWh"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_S","1","1.0","342.197619047619","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_S","1","1.0","342.197619047619","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_S","1","2.0","333.15000000000003","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_S","1","2.0","342.197619047619","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_S","1","3.0","342.1499999999999","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_S","1","3.0","342.1499999999999","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_S","1","4.0","342.14999999999986","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_S","1","4.0","342.14999999999986","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_S","2","1.0","342.15","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_S","2","1.0","342.15","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_S","2","2.0","342.197619047619","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_S","2","2.0","342.197619047619","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_S","2","3.0","333.15000000000003","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_S","2","3.0","342.197619047619","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_S","2","4.0","342.1499999999999","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_S","2","4.0","342.1499999999999","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_R","1","1.0","323.10238095238094","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_R","1","1.0","323.10238095238094","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_R","1","2.0","323.10238095238094","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_R","1","2.0","323.10238095238094","K"
