record,group,method,solver,substeps,run_id,status,model_pass,cost_USD,lower_bound_USD,cost_complete,iterations,elapsed_sec
"original_hand_extensive_highs_n4","original_hand","extensive","HiGHS","4","r7-linked-abfbb0f0-bc40-4b18-a8bd-2ff07f648cac","infeasible_certified","false","","0.0","false","1","22.461999893188477"
"original_hand_extensive_gurobi_n4","original_hand","extensive","Gurobi","4","r7-linked-3c6d2709-3422-4f19-8667-63c37f90087b","infeasible_certified","false","","","false","1","21.84000015258789"
"original_hand_finite_fault_ccg_highs_n4","original_hand","finite_fault_ccg","HiGHS","4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","infeasible_certified","false","","118.40000000000038","false","2","14.214999914169312"
"original_hand_finite_fault_ccg_gurobi_n4","original_hand","finite_fault_ccg","Gurobi","4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","infeasible_certified","false","","118.40000000000049","false","2","14.441999912261963"
"reserve_zero_extensive_highs_n4","reserve_zero","extensive","HiGHS","4","r7-linked-6aa6aba6-fa15-4fb3-ae0a-f04378ae4723","infeasible_certified","false","","0.0","false","1","0.10399985313415527"
"reserve_zero_extensive_gurobi_n4","reserve_zero","extensive","Gurobi","4","r7-linked-c8fc2388-0e64-4ac8-9b73-c812e95ef1dd","infeasible_certified","false","","","false","1","0.10699987411499023"
"reserve_zero_finite_fault_ccg_highs_n4","reserve_zero","finite_fault_ccg","HiGHS","4","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","infeasible_certified","false","","192.00000000000017","false","2","0.28800010681152344"
"reserve_zero_finite_fault_ccg_gurobi_n4","reserve_zero","finite_fault_ccg","Gurobi","4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","infeasible_certified","false","","192.00000000000006","false","2","0.2780001163482666"
"reserve_heat_limit_extensive_highs_n4","reserve_heat_limit","extensive","HiGHS","4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","robust_candidate","true","193.27500000000015","193.2750000000002","true","1","0.9520001411437988"
"reserve_heat_limit_extensive_gurobi_n4","reserve_heat_limit","extensive","Gurobi","4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","robust_candidate","true","193.2750000000003","193.27500000000066","true","1","0.9230000972747803"
"reserve_heat_limit_finite_fault_ccg_highs_n4","reserve_heat_limit","finite_fault_ccg","HiGHS","4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","robust_candidate","true","193.27500000000006","193.27500000000006","true","2","0.4939999580383301"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","reserve_heat_limit","finite_fault_ccg","Gurobi","4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","robust_candidate","true","193.27500000000006","193.27500000000003","true","2","0.4830000400543213"
"healthy_diagnostic_extensive_highs_n4","healthy_diagnostic","extensive","HiGHS","4","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","robust_candidate","true","192.02850000000018","192.02850000000018","true","1","0.13700008392333984"
"healthy_diagnostic_extensive_gurobi_n4","healthy_diagnostic","extensive","Gurobi","4","r7-linked-d21821e0-e33c-4e2d-90a7-ac3ed8db0212","robust_candidate","true","192.0285000000003","192.02850000000046","true","1","0.11900019645690918"
"healthy_diagnostic_finite_fault_ccg_highs_n4","healthy_diagnostic","finite_fault_ccg","HiGHS","4","r7-linked-1ef71646-4318-4891-bfa1-035cddc2e948","robust_candidate","true","192.02850000000018","192.02850000000018","true","3","0.5639998912811279"
"healthy_diagnostic_finite_fault_ccg_gurobi_n4","healthy_diagnostic","finite_fault_ccg","Gurobi","4","r7-linked-0a2eaa45-81f0-499e-b9af-f71aba23ee9d","robust_candidate","true","192.0285000000001","192.02850000000035","true","2","0.2630000114440918"
"reserve_heat_limit_extensive_highs_n1","reserve_heat_limit","extensive","HiGHS","1","r7-linked-dd5fa170-9213-410e-a3ca-484396856250","robust_candidate","true","193.27500000000015","193.2750000000002","true","1","0.18199992179870605"
"reserve_heat_limit_finite_fault_ccg_highs_n1","reserve_heat_limit","finite_fault_ccg","HiGHS","1","r7-linked-473a183a-9532-42e9-84b0-a06fa470a343","robust_candidate","true","193.27500000000006","193.27500000000006","true","2","0.4330000877380371"
"reserve_heat_limit_extensive_highs_n16","reserve_heat_limit","extensive","HiGHS","16","r7-linked-59e4816e-15dd-4edc-8c36-6bf3bce3025e","robust_candidate","true","193.27500000000015","193.2750000000002","true","1","0.2739999294281006"
"reserve_heat_limit_finite_fault_ccg_highs_n16","reserve_heat_limit","finite_fault_ccg","HiGHS","16","r7-linked-07c66c8c-61b7-4d0f-bec2-7045a75922d0","robust_candidate","true","193.27500000000006","193.27500000000006","true","2","0.7419998645782471"
"healthy_diagnostic_extensive_highs_n1","healthy_diagnostic","extensive","HiGHS","1","r7-linked-13e4e706-9b6c-4a9a-9bc6-5974b0bffa16","robust_candidate","true","192.02850000000018","192.02850000000018","true","1","0.11699986457824707"
"healthy_diagnostic_finite_fault_ccg_highs_n1","healthy_diagnostic","finite_fault_ccg","HiGHS","1","r7-linked-d6ef8cee-dded-4560-ae55-f60d900ab9a4","robust_candidate","true","192.02850000000018","192.02850000000018","true","3","0.8469998836517334"
"healthy_diagnostic_extensive_highs_n16","healthy_diagnostic","extensive","HiGHS","16","r7-linked-f6b99a87-8173-4caf-99e4-e58009aa1cf6","robust_candidate","true","192.02850000000018","192.02850000000018","true","1","0.18700003623962402"
"healthy_diagnostic_finite_fault_ccg_highs_n16","healthy_diagnostic","finite_fault_ccg","HiGHS","16","r7-linked-4e5a5231-1310-41dc-b354-6c0ff5ea895d","robust_candidate","true","192.02850000000018","192.02850000000018","true","3","0.9179999828338623"
