factor,left_record,right_record,left_run_id,right_run_id,same_input,both_pass,cost_difference_USD,relative_difference,A2_pass
"method","original_hand_extensive_highs_n4","original_hand_finite_fault_ccg_highs_n4","r7-linked-abfbb0f0-bc40-4b18-a8bd-2ff07f648cac","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","true","false","","","false"
"solver","original_hand_extensive_gurobi_n4","original_hand_extensive_highs_n4","r7-linked-3c6d2709-3422-4f19-8667-63c37f90087b","r7-linked-abfbb0f0-bc40-4b18-a8bd-2ff07f648cac","true","false","","","false"
"method","original_hand_extensive_gurobi_n4","original_hand_finite_fault_ccg_gurobi_n4","r7-linked-3c6d2709-3422-4f19-8667-63c37f90087b","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","true","false","","","false"
"solver","original_hand_finite_fault_ccg_gurobi_n4","original_hand_finite_fault_ccg_highs_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","true","false","","","false"
"method","reserve_zero_extensive_highs_n4","reserve_zero_finite_fault_ccg_highs_n4","r7-linked-6aa6aba6-fa15-4fb3-ae0a-f04378ae4723","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","true","false","","","false"
"solver","reserve_zero_extensive_gurobi_n4","reserve_zero_extensive_highs_n4","r7-linked-c8fc2388-0e64-4ac8-9b73-c812e95ef1dd","r7-linked-6aa6aba6-fa15-4fb3-ae0a-f04378ae4723","true","false","","","false"
"method","reserve_zero_extensive_gurobi_n4","reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-c8fc2388-0e64-4ac8-9b73-c812e95ef1dd","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","true","false","","","false"
"solver","reserve_zero_finite_fault_ccg_gurobi_n4","reserve_zero_finite_fault_ccg_highs_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","true","false","","","false"
"method","reserve_heat_limit_extensive_highs_n4","reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","true","true","-8.526512829121202e-14","4.41159634154505e-16","true"
"solver","reserve_heat_limit_extensive_gurobi_n4","reserve_heat_limit_extensive_highs_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","true","true","-1.4210854715202004e-13","7.352660569241745e-16","true"
"method","reserve_heat_limit_extensive_gurobi_n4","reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","true","true","-2.2737367544323206e-13","1.1764256910786792e-15","true"
"solver","reserve_heat_limit_finite_fault_ccg_gurobi_n4","reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","true","true","0.0","0.0","true"
"method","healthy_diagnostic_extensive_highs_n4","healthy_diagnostic_finite_fault_ccg_highs_n4","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","r7-linked-1ef71646-4318-4891-bfa1-035cddc2e948","true","true","0.0","0.0","true"
"solver","healthy_diagnostic_extensive_gurobi_n4","healthy_diagnostic_extensive_highs_n4","r7-linked-d21821e0-e33c-4e2d-90a7-ac3ed8db0212","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","true","true","-1.1368683772161603e-13","5.920310668552629e-16","true"
"method","healthy_diagnostic_extensive_gurobi_n4","healthy_diagnostic_finite_fault_ccg_gurobi_n4","r7-linked-d21821e0-e33c-4e2d-90a7-ac3ed8db0212","r7-linked-0a2eaa45-81f0-499e-b9af-f71aba23ee9d","true","true","-1.9895196601282805e-13","1.03605436699671e-15","true"
"solver","healthy_diagnostic_finite_fault_ccg_gurobi_n4","healthy_diagnostic_finite_fault_ccg_highs_n4","r7-linked-0a2eaa45-81f0-499e-b9af-f71aba23ee9d","r7-linked-1ef71646-4318-4891-bfa1-035cddc2e948","true","true","8.526512829121202e-14","4.4402330014144765e-16","true"
"method","reserve_heat_limit_extensive_highs_n1","reserve_heat_limit_finite_fault_ccg_highs_n1","r7-linked-dd5fa170-9213-410e-a3ca-484396856250","r7-linked-473a183a-9532-42e9-84b0-a06fa470a343","true","true","-8.526512829121202e-14","4.41159634154505e-16","true"
"method","reserve_heat_limit_extensive_highs_n16","reserve_heat_limit_finite_fault_ccg_highs_n16","r7-linked-59e4816e-15dd-4edc-8c36-6bf3bce3025e","r7-linked-07c66c8c-61b7-4d0f-bec2-7045a75922d0","true","true","-8.526512829121202e-14","4.41159634154505e-16","true"
"method","healthy_diagnostic_extensive_highs_n1","healthy_diagnostic_finite_fault_ccg_highs_n1","r7-linked-13e4e706-9b6c-4a9a-9bc6-5974b0bffa16","r7-linked-d6ef8cee-dded-4560-ae55-f60d900ab9a4","true","true","0.0","0.0","true"
"method","healthy_diagnostic_extensive_highs_n16","healthy_diagnostic_finite_fault_ccg_highs_n16","r7-linked-f6b99a87-8173-4caf-99e4-e58009aa1cf6","r7-linked-4e5a5231-1310-41dc-b354-6c0ff5ea895d","true","true","0.0","0.0","true"
