id,run_id,stage,event,fault,pipe,time,flow_kg_s
ua0_healthy_zero_loss_prescribed_highs,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,normal,0,none,1,1,5.0
ua0_healthy_zero_loss_prescribed_highs,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,normal,0,none,1,2,5.0
ua0_healthy_zero_loss_prescribed_highs,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,normal,0,none,1,3,5.0
ua0_healthy_zero_loss_prescribed_highs,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,normal,0,none,1,4,5.0
ua0_healthy_zero_loss_prescribed_highs,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,recovery,1,0,1,2,5.0
ua0_healthy_zero_loss_prescribed_highs,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,recovery,2,0,1,3,5.0
ua0_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,normal,0,none,1,1,5.0
ua0_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,normal,0,none,1,2,5.0
ua0_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,normal,0,none,1,3,5.0
ua0_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,normal,0,none,1,4,5.0
ua0_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,recovery,1,0,1,2,5.0
ua0_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,recovery,2,0,1,3,5.0
ua0_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-52a29a9e-739d-4396-a265-7c6962184f73,normal,0,none,1,1,5.0
ua0_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-52a29a9e-739d-4396-a265-7c6962184f73,normal,0,none,1,2,5.0
