id,run_id,UA_W_K,safety_group,control,solver,heat_load_MWh,electric_load_MWh,normal_heat_MWh,CHP_electric_MWh,grid_purchase_MWh,normal_loss_MWh,thermal_inventory_change_MWh,battery_inventory_change_MWh,battery_throughput_MWh,base_cost_USD,loss_effect_USD,battery_cost_USD,startup_cost_USD,identity_cost_USD,cost_USD,cost_identity_residual_USD,heat_balance_residual_MWh,electric_balance_residual_MWh,recovery_max_loss_MWh,elapsed_sec,validation_sec,budget_overrun_sec
ua0_healthy_zero_loss_prescribed_highs,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,0.0,healthy_zero_loss,prescribed,HiGHS,1.6,3.2,1.6000000000000023,1.6000000000000023,1.5999999999999968,0.0,-2.3869795029440866e-15,0.0,0.0284999999999984,192.0,-0.0,0.0284999999999984,0.0,192.0285000000002,192.02849999999972,4.831690603168681e-13,4.6074255521944e-15,8.881784197001252e-16,0.0,23.680999994277954,6.697999954223633,0.0
ua0_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,0.0,healthy_zero_loss,prescribed,Gurobi,1.6,3.2,1.599999999999999,1.599999999999999,1.6000000000000012,0.0,4.163336342344337e-17,0.0,0.0285000000000019,192.0,-0.0,0.0285000000000019,0.0,192.0285,192.02850000000012,1.1368683772161603e-13,1.1518563880486e-15,0.0,0.0,23.53500008583069,6.672000169754028,0.0
ua0_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-52a29a9e-739d-4396-a265-7c6962184f73,0.0,healthy_zero_loss,recovery_continuous,Gurobi,1.6,3.2,1.600000000000005,1.600000000000005,1.5999999999999952,0.0,6.938893903907228e-17,0.0,3.016344115073895e-9,192.0,-0.0,3.016344115073895e-9,0.0,192.00000000301634,192.00000000301597,3.694822225952521e-13,4.8155923693116165e-15,0.0,0.0,2.0510001182556152,0.015000104904174805,0.0
ua0_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-382ddd3a-4a9b-44fd-af74-eaaf5514e0f1,0.0,healthy_zero_loss,joint_continuous,Gurobi,1.6,3.2,1.6000000000000034,1.6000000000000034,1.5999999999999943,1.0186340659856794e-16,1.657007864253046e-14,0.0,0.0,192.0,-8.149072527885435e-15,0.0,0.0,191.99999999999866,191.9999999999995,8.242295734817162e-13,1.334127297525356e-14,2.6645352591003757e-15,0.0,1.6180000305175781,0.014999866485595703,0.0
ua0_all_faults_heat_limit_prescribed_highs,r7-flow-planning-069ce620-6e39-44c7-869f-9decd9fb2613,0.0,all_faults_heat_limit,prescribed,HiGHS,1.6,3.2,1.6000000000000023,1.6000000000000023,1.599999999999997,0.0,-2.3869795029440866e-15,0.0,1.2750000000000001,192.0,-0.0,1.2750000000000001,0.0,193.2750000000002,193.27499999999975,4.547473508864641e-13,4.6074255521944e-15,8.881784197001252e-16,0.0,0.07800006866455078,0.026000022888183594,0.0
ua0_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,0.0,all_faults_heat_limit,prescribed,Gurobi,1.6,3.2,1.5999999999999992,1.5999999999999992,1.6000000000000087,0.0,5.551115123125783e-17,0.0,1.2750000000000001,192.0,-0.0,1.2750000000000001,0.0,193.275,193.27500000000086,8.526512829121202e-13,9.43689570931383e-16,7.993605777301127e-15,0.0,0.06200003623962402,0.029000043869018555,0.0
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,0.0,all_faults_heat_limit,recovery_continuous,Gurobi,1.6,3.2,1.600000000000005,1.600000000000005,1.5999999999999952,0.0,5.551115123125783e-17,0.0,1.275,192.0,-0.0,1.275,0.0,193.275,193.27499999999964,3.694822225952521e-13,4.829470157119431e-15,0.0,0.0,0.06700015068054199,0.019999980926513672,0.0
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,0.0,all_faults_heat_limit,joint_continuous,Gurobi,1.6,3.2,1.6000000000000003,1.6000000000000003,1.5999999999999994,1.0186340659856795e-16,7.494005416219807e-16,0.0,1.275000006,192.0,-8.149072527885436e-15,1.275000006,0.0,193.27500000599994,193.27500000599997,2.842170943040401e-14,6.292193432955173e-16,4.440892098500626e-16,0.0,0.7860000133514404,0.020000219345092773,0.0
ua10_healthy_zero_loss_prescribed_highs,r7-flow-planning-d7792b9a-dfe6-46be-a79e-074fcb9372d8,10.0,healthy_zero_loss,prescribed,HiGHS,1.6,3.2,1.603159170280641,1.603159170280641,1.5968408297193575,0.003159170280641838,-2.4980018054066022e-15,0.0,0.027683554498484572,192.0,-0.25273362245134706,0.027683554498484572,0.0,191.77494993204732,191.77494993204706,2.5579538487363607e-13,1.4927295510780425e-15,1.7763568394002505e-15,0.0008444170417331152,0.18400001525878906,0.016000032424926758,0.0
ua10_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-e1027475-654e-40f3-ada7-b65e7652d3e9,10.0,healthy_zero_loss,prescribed,Gurobi,1.6,3.2,1.6031591702806467,1.6031591702806467,1.5968408297193535,0.003159170280642079,-5.551115123125783e-17,0.0,0.027683554498488236,192.0,-0.2527336224513663,0.027683554498488236,0.0,191.77494993204712,191.77494993204675,3.694822225952521e-13,4.58270574266173e-15,0.0,0.000843132471087533,0.15799999237060547,0.014999866485595703,0.0
ua10_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-08ab1fad-13b9-4b09-8c2b-9c6a994e78d7,10.0,healthy_zero_loss,recovery_continuous,Gurobi,1.6,3.2,1.6031591702144858,1.6031591702144858,1.5968408297855141,0.003159170214480282,-5.551115123125783e-17,0.0,0.027683554498488968,192.0,-0.2527336171584226,0.027683554498488968,0.0,191.77494993734007,191.7749499373396,4.547473508864641e-13,5.5250942709861306e-15,0.0,0.0008444170184941618,2.5290000438690186,0.015000104904174805,0.0
ua10_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-c656828b-a748-4c9f-81b4-020fb12e34dc,10.0,healthy_zero_loss,joint_continuous,Gurobi,1.6,3.2,1.6032515958152693,1.6032515958152693,1.5967484041847282,0.0032515958149834942,3.939626402882368e-13,0.0,0.0,192.0,-0.2601276651986795,0.0,0.0,191.7398723347698,191.7398723347782,8.384404281969182e-12,1.0821985668707512e-13,2.6645352591003757e-15,0.0008388179438740878,268.79100012779236,0.01699995994567871,0.0
ua10_all_faults_heat_limit_prescribed_highs,r7-flow-planning-c452c23b-85c8-4c02-945f-70634d0bfa3f,10.0,all_faults_heat_limit,prescribed,HiGHS,1.6,3.2,1.6031600595386144,1.6031600595386144,1.5968399404613847,0.003160059538615341,-2.4980018054066022e-15,0.0,1.2750000000000001,192.0,-0.2528047630892273,1.2750000000000001,0.0,193.022195236911,193.02219523691082,1.7053025658242404e-13,1.4697444650213498e-15,8.881784197001252e-16,0.0007903333822760613,0.0690000057220459,0.019999980926513672,0.0
ua10_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-312ad926-1a9c-43d9-bdb6-28ea24589b2e,10.0,all_faults_heat_limit,prescribed,Gurobi,1.6,3.2,1.6031600595386182,1.6031600595386182,1.5968399404613818,0.0031600595386154784,-5.551115123125783e-17,0.0,1.275,192.0,-0.25280476308923827,1.275,0.0,193.02219523691076,193.02219523691056,1.9895196601282805e-13,2.6645352591003757e-15,0.0,0.0008448616707114626,0.056999921798706055,0.019999980926513672,0.0
ua10_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-d0adbbcf-9589-4976-b3e9-617ec1d8b442,10.0,all_faults_heat_limit,recovery_continuous,Gurobi,1.6,3.2,1.6031600595386184,1.6031600595386184,1.596839940461382,0.0031600595386154793,-5.551115123125783e-17,0.0,1.2750000000000004,192.0,-0.2528047630892383,1.2750000000000004,0.0,193.02219523691076,193.0221952369106,1.7053025658242404e-13,2.8857125022874186e-15,0.0,0.0007903333822760613,0.21399998664855957,0.0410001277923584,0.0
ua10_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-92a0c734-b060-4806-bf2d-f19b78b0fd5e,10.0,all_faults_heat_limit,joint_continuous,Gurobi,1.6,3.2,1.6033583142381813,1.6033583142381813,1.596641684761819,0.003358314227390009,3.267237869142292e-11,0.0,1.275000001,192.0,-0.26866513819120075,1.275000001,0.0,193.00633486019498,193.00633476194554,9.824944413594494e-8,2.188116181300881e-11,1.000000082740371e-9,0.0008992478829140406,540.1150000095367,0.042999982833862305,0.0
