id,run_id,event,fault,loss_limit_MWh,loss_MWh,model_pass,threshold_pass,initial_profiles_sha256
ua0_healthy_zero_loss_prescribed_highs,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,1,0,0.0,0.0,true,true,2b24014af6f424fb9873e95b5d4ac18ec2b97805fb0415c06b1c46bd9cd9449d
ua0_healthy_zero_loss_prescribed_highs,r7-flow-planning-c327f4a4-e3cc-4100-ac5a-c2387a6a7f33,2,0,0.0,0.0,true,true,5bd4307df62117adab0d6656e12f120e76ff7c430a32fd0f4e45985c10add3ed
ua0_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,1,0,0.0,0.0,true,true,6d7e2fa03bcf8b0b23df78a6625df7abd5387a1712e66707e4e5ff2f2c52c1ec
ua0_healthy_zero_loss_prescribed_gurobi,r7-flow-planning-74e6d73e-9dc9-406d-988e-6c0a516b3571,2,0,0.0,0.0,true,true,62d836e08ac90d9bb09912f873d1f7ad89fe24786ffabb6aac3c170b4dd6c956
ua0_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-52a29a9e-739d-4396-a265-7c6962184f73,1,0,0.0,0.0,true,true,d388e4778fbfeaf2455bc77bdfdadb884cb3bd8d957e30c17560685a2074f380
ua0_healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-52a29a9e-739d-4396-a265-7c6962184f73,2,0,0.0,0.0,true,true,224fe182d69b514abe57456d4f4e345c0b63666f8c646e24cfe5b084ed002d46
ua0_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-382ddd3a-4a9b-44fd-af74-eaaf5514e0f1,1,0,0.0,0.0,true,true,62cd05b3632ea07bd3afe0e20020a6553639bb50c6f61c315c372fa93bc6df3b
ua0_healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-382ddd3a-4a9b-44fd-af74-eaaf5514e0f1,2,0,0.0,0.0,true,true,d29e0850f61f18da94886b487ad38ff6e5f14915f6c98242d0f2b7f71bffe396
ua0_all_faults_heat_limit_prescribed_highs,r7-flow-planning-069ce620-6e39-44c7-869f-9decd9fb2613,1,0,0.4,0.0,true,true,54080ff8c3dc8fcf76c738a99436bb7fda985943835bcb5fca6ab0a0a4ba55ed
ua0_all_faults_heat_limit_prescribed_highs,r7-flow-planning-069ce620-6e39-44c7-869f-9decd9fb2613,1,1,0.4,0.4,true,true,54080ff8c3dc8fcf76c738a99436bb7fda985943835bcb5fca6ab0a0a4ba55ed
ua0_all_faults_heat_limit_prescribed_highs,r7-flow-planning-069ce620-6e39-44c7-869f-9decd9fb2613,2,0,0.4,0.0,true,true,59f16c2359d16699683ecffd0f182a9244fdd9947ead3b16bc2585ffddef597b
ua0_all_faults_heat_limit_prescribed_highs,r7-flow-planning-069ce620-6e39-44c7-869f-9decd9fb2613,2,1,0.4,0.4,true,true,59f16c2359d16699683ecffd0f182a9244fdd9947ead3b16bc2585ffddef597b
ua0_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,1,0,0.4,0.16900000000000126,true,true,91921f79d9c2edb212656f87fb1f5e15fc1c57d07693d4476968e91c49251f28
ua0_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,1,1,0.4,0.4,true,true,91921f79d9c2edb212656f87fb1f5e15fc1c57d07693d4476968e91c49251f28
ua0_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,2,0,0.4,0.4,true,true,216d5f5ab9471bf7a04175fbe75eae903996117259fbe86fd1c9b351b387db90
ua0_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-6e803d90-8c31-4cde-8a4d-ad3194fe286d,2,1,0.4,0.4,true,true,216d5f5ab9471bf7a04175fbe75eae903996117259fbe86fd1c9b351b387db90
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,1,0,0.4,0.4,true,true,91921f79d9c2edb212656f87fb1f5e15fc1c57d07693d4476968e91c49251f28
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,1,1,0.4,0.4,true,true,91921f79d9c2edb212656f87fb1f5e15fc1c57d07693d4476968e91c49251f28
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,2,0,0.4,0.4,true,true,e3a86b0823f2602942ac445ff77e8bd70dafdfd9d569cea55b283569dfd4aa51
ua0_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-06d5e4d9-3198-4c07-bfa6-1d0cc211d070,2,1,0.4,0.4,true,true,e3a86b0823f2602942ac445ff77e8bd70dafdfd9d569cea55b283569dfd4aa51
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,1,0,0.4,0.35290025783539297,true,true,9d7ee65e8f62d952e9e66607f908fccf4435295afb2988e268084fd3e6914c01
ua0_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-6487d229-fb73-4427-b3c1-2dfffb232bbc,1,1,0.4,0.4,true,true,9d7ee65e8f62d952e9e66607f908fccf4435295afb2988e268084fd3e6914c01
