record,run_id,group,control,solver,pipe,time_h,scenario,flow_kg_s,outlet_S_K,outlet_R_K,inventory_S_MWh,inventory_R_MWh
"original_hand_prescribed_highs","r7-normal-flow-a3161cbf-a5aa-4153-b7b5-7132767b97a6","original_hand","prescribed","HiGHS","1","1","1","5.0","343.15","313.15","0.03999999999999999","0.21000000000000174"
"original_hand_prescribed_highs","r7-normal-flow-a3161cbf-a5aa-4153-b7b5-7132767b97a6","original_hand","prescribed","HiGHS","1","1","2","5.0","343.15","313.15","0.03999999999999999","0.21000000000000174"
"original_hand_prescribed_highs","r7-normal-flow-a3161cbf-a5aa-4153-b7b5-7132767b97a6","original_hand","prescribed","HiGHS","1","2","1","5.0","335.0547619047618","313.15","0.03999999999999999","0.03999999999999999"
"original_hand_prescribed_highs","r7-normal-flow-a3161cbf-a5aa-4153-b7b5-7132767b97a6","original_hand","prescribed","HiGHS","1","2","2","5.0","335.0547619047618","313.15","0.03999999999999999","0.03999999999999999"
"original_hand_prescribed_highs","r7-normal-flow-a3161cbf-a5aa-4153-b7b5-7132767b97a6","original_hand","prescribed","HiGHS","1","3","1","5.0","335.0547619047618","305.0547619047618","0.20999999999999958","0.03999999999999999"
"original_hand_prescribed_highs","r7-normal-flow-a3161cbf-a5aa-4153-b7b5-7132767b97a6","original_hand","prescribed","HiGHS","1","3","2","5.0","335.0547619047618","305.0547619047618","0.20999999999999958","0.03999999999999999"
"original_hand_prescribed_highs","r7-normal-flow-a3161cbf-a5aa-4153-b7b5-7132767b97a6","original_hand","prescribed","HiGHS","1","4","1","5.0","343.14999999999986","305.0547619047618","0.21","0.21"
"original_hand_prescribed_highs","r7-normal-flow-a3161cbf-a5aa-4153-b7b5-7132767b97a6","original_hand","prescribed","HiGHS","1","4","2","5.0","343.14999999999986","305.0547619047618","0.21","0.21"
"original_hand_prescribed_gurobi","r7-normal-flow-93f05671-cce1-486a-8447-2ea69509bb88","original_hand","prescribed","Gurobi","1","1","1","5.0","343.15","313.15","0.38000000000000256","0.21000000000000174"
"original_hand_prescribed_gurobi","r7-normal-flow-93f05671-cce1-486a-8447-2ea69509bb88","original_hand","prescribed","Gurobi","1","1","2","5.0","343.15","313.15","0.38000000000000256","0.21000000000000174"
"original_hand_prescribed_gurobi","r7-normal-flow-93f05671-cce1-486a-8447-2ea69509bb88","original_hand","prescribed","Gurobi","1","2","1","5.0","351.2452380952381","313.15","0.040000000000000036","0.38000000000000256"
"original_hand_prescribed_gurobi","r7-normal-flow-93f05671-cce1-486a-8447-2ea69509bb88","original_hand","prescribed","Gurobi","1","2","2","5.0","351.2452380952381","313.15","0.040000000000000036","0.38000000000000256"
"original_hand_prescribed_gurobi","r7-normal-flow-93f05671-cce1-486a-8447-2ea69509bb88","original_hand","prescribed","Gurobi","1","3","1","5.0","335.0547619047619","321.2452380952381","0.20999999999999996","0.040000000000000036"
"original_hand_prescribed_gurobi","r7-normal-flow-93f05671-cce1-486a-8447-2ea69509bb88","original_hand","prescribed","Gurobi","1","3","2","5.0","335.0547619047619","321.2452380952381","0.20999999999999996","0.040000000000000036"
"original_hand_prescribed_gurobi","r7-normal-flow-93f05671-cce1-486a-8447-2ea69509bb88","original_hand","prescribed","Gurobi","1","4","1","5.0","343.15","305.0547619047619","0.21","0.21"
"original_hand_prescribed_gurobi","r7-normal-flow-93f05671-cce1-486a-8447-2ea69509bb88","original_hand","prescribed","Gurobi","1","4","2","5.0","343.15","305.0547619047619","0.21","0.21"
"original_hand_continuous_gurobi","r7-normal-flow-23588492-fd79-461a-bf57-1a55b9335aa6","original_hand","continuous","Gurobi","1","1","1","5.997182874093818","343.0564186673434","313.96386316072096","0.198180993211957","0.3127881777525787"
"original_hand_continuous_gurobi","r7-normal-flow-23588492-fd79-461a-bf57-1a55b9335aa6","original_hand","continuous","Gurobi","1","1","2","5.997182874093818","342.7553737597052","313.9138068544205","0.16016003537619847","0.30646623464659084"
