record,group,run_id,solver,substeps,mode,status,thermal_pass,same_dispatch,heat_unserved_MWh,lower_bound_MWh,conditional_optimality,port_conflicts,elapsed_sec
thermal-steady_n1_same_dispatch,thermal-steady,r7-thermal-f996dccd-6f35-45c0-ab73-e1dfb420ec28,HiGHS,1,same_dispatch,solver_optimal,true,true,0.0,0.0,true,0,1.3909997940063477
thermal-steady_n1_curtail_heat,thermal-steady,r7-thermal-3154aaea-4a61-4772-a97e-502ca710666b,HiGHS,1,curtail_heat,solver_optimal,true,true,0.0,0.0,true,0,0.006000041961669922
thermal-steady_n4_same_dispatch,thermal-steady,r7-thermal-b7d0824c-dfeb-4217-ab30-37d65f0f6167,HiGHS,4,same_dispatch,solver_optimal,true,true,0.0,2.7755575615628914e-17,true,0,0.032000064849853516
thermal-steady_n4_curtail_heat,thermal-steady,r7-thermal-60c0f597-5bcd-4b43-a5d1-12f41bba34e6,HiGHS,4,curtail_heat,solver_optimal,true,true,0.0,2.7755575615628914e-17,true,0,0.006999969482421875
thermal-steady_n16_same_dispatch,thermal-steady,r7-thermal-f1bf0eee-31aa-4c27-9914-70b467c1c184,HiGHS,16,same_dispatch,solver_optimal,true,true,0.0,6.938893903907228e-18,true,0,0.015000104904174805
thermal-steady_n16_curtail_heat,thermal-steady,r7-thermal-2bf7cb8a-c659-4e95-8d17-39269c5da060,HiGHS,16,curtail_heat,solver_optimal,true,true,0.0,6.938893903907228e-18,true,0,0.01399993896484375
hot_outlet_n1_same_dispatch,hot_outlet,r7-thermal-a2386ecf-7884-44f5-9d03-b64c4d8c7500,HiGHS,1,same_dispatch,solver_optimal,true,true,0.0,0.0,true,0,0.006000041961669922
hot_outlet_n1_curtail_heat,hot_outlet,r7-thermal-6bd88d66-1deb-40ef-876c-d38f6083c5f2,HiGHS,1,curtail_heat,solver_optimal,true,true,0.0,0.0,true,0,0.006999969482421875
hot_outlet_n4_same_dispatch,hot_outlet,r7-thermal-f941425d-703d-4321-b478-690b0a021249,HiGHS,4,same_dispatch,solver_optimal,true,true,0.0,1.3877787807814457e-17,true,0,0.006999969482421875
hot_outlet_n4_curtail_heat,hot_outlet,r7-thermal-2762ed3a-8d54-4950-ac2e-61ec0f0de17b,HiGHS,4,curtail_heat,solver_optimal,true,true,0.0,1.3877787807814457e-17,true,0,0.007999897003173828
