id,run_id,family,UA_W_K,model,mode,solver,primary_status,primary_pass,primary_complete,normal_cost_USD,solver_objective,objective_kind,evaluation_status,evaluation_pass,risk_complete,worst_upper_MWh,worst_lower_MWh,elapsed_sec,wall_budget_pass
legacy_ua10_energy_economic_highs,r8-energy-41647084-fe10-439c-bc86-3120b16794a3,legacy,10.0,energy,economic,HiGHS,candidate,true,true,191.7473523809524,191.7473523809524,expected_normal_cost_USD,infeasible_certified,false,false,,,16.461999893188477,true
legacy_ua10_energy_economic_gurobi,r8-energy-98efc3bc-5c1d-40af-8dd6-5d3d518a15c3,legacy,10.0,energy,economic,Gurobi,candidate,true,true,191.7473523809524,191.7473523809524,expected_normal_cost_USD,infeasible_certified,false,false,,,16.572999954223633,true
legacy_ua10_energy_threshold_highs,r8-energy-bc1b1984-e66c-4a8e-9fbf-221affa21448,legacy,10.0,energy,threshold,HiGHS,infeasible_certified,false,false,,,expected_normal_cost_USD,not_run,false,false,,,0.03299999237060547,true
legacy_ua10_energy_threshold_gurobi,r8-energy-721d162f-502f-4392-857a-31ffa757bbc7,legacy,10.0,energy,threshold,Gurobi,infeasible_certified,false,false,,,expected_normal_cost_USD,not_run,false,false,,,0.029000043869018555,true
legacy_ua10_energy_penalty_highs,r8-energy-573d3662-f6eb-468a-bf72-e91d7e7cec57,legacy,10.0,energy,penalty,HiGHS,infeasible_certified,false,false,,,normal_cost_plus_event_unserved_penalty_USD,not_run,false,false,,,0.032000064849853516,true
legacy_ua10_energy_penalty_gurobi,r8-energy-9d9a9b23-ee01-416a-96e7-858759a7e089,legacy,10.0,energy,penalty,Gurobi,infeasible_certified,false,false,,,normal_cost_plus_event_unserved_penalty_USD,not_run,false,false,,,0.029000043869018555,true
tie_three_ua10_energy_economic_highs,r8-energy-b6eed093-ea37-473e-98c3-e2715fc8ab23,tie_three,10.0,energy,economic,HiGHS,candidate,true,true,191.7473523809524,191.7473523809524,expected_normal_cost_USD,candidate,true,true,0.0,0.0,2.0799999237060547,true
tie_three_ua10_energy_economic_gurobi,r8-energy-bfff1dbe-659a-4bb0-920f-ea40ebebf7d7,tie_three,10.0,energy,economic,Gurobi,candidate,true,true,191.7473523809524,191.7473523809524,expected_normal_cost_USD,candidate,true,true,0.0,0.0,2.072000026702881,true
tie_three_ua10_energy_threshold_highs,r8-energy-a7cf6860-85f0-49bf-bea9-7956f16ed73c,tie_three,10.0,energy,threshold,HiGHS,candidate,true,true,191.7473523809524,191.7473523809524,expected_normal_cost_USD,candidate,true,true,0.0,0.0,0.22899985313415527,true
tie_three_ua10_energy_threshold_gurobi,r8-energy-faeb863d-35af-4a40-b4bf-014c1a206742,tie_three,10.0,energy,threshold,Gurobi,candidate,true,true,191.7473523809524,191.74735238095246,expected_normal_cost_USD,candidate,true,true,0.0,0.0,0.15000009536743164,true
tie_three_ua10_energy_penalty_highs,r8-energy-4013a06b-65cd-4c8d-93d5-334f471e2cb0,tie_three,10.0,energy,penalty,HiGHS,candidate,true,true,191.7473523809524,191.7473523809524,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.0,0.0,0.18499994277954102,true
tie_three_ua10_energy_penalty_gurobi,r8-energy-a5c05bb2-5fae-42e5-9aee-51382df0fa7f,tie_three,10.0,energy,penalty,Gurobi,candidate,true,true,191.7473523809524,191.74735238095246,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.0,0.0,0.1510000228881836,true
shift_four_ua0_detailed_economic_highs,r8-f4f49375-9b0b-4ff1-aee9-510fd8703e1b,shift_four,0.0,detailed,economic,HiGHS,candidate,true,true,206.94736842105286,206.94736842105286,expected_normal_cost_USD,candidate,true,true,2.0056738016447997e-15,8.881784197001252e-16,9.251000165939331,true
shift_four_ua0_detailed_economic_gurobi,r8-65e95b1b-b36c-4555-a609-3c7c19ceea40,shift_four,0.0,detailed,economic,Gurobi,candidate,true,true,206.94736842105297,206.94736842105297,expected_normal_cost_USD,candidate,true,true,0.0,0.0,9.251000165939331,true
shift_four_ua0_detailed_threshold_highs,r8-08e5a0bb-eb1e-447d-a248-58d59a2ad936,shift_four,0.0,detailed,threshold,HiGHS,candidate,true,true,206.94736842105286,206.94736842105286,expected_normal_cost_USD,candidate,true,true,2.0056738016447997e-15,8.881784197001252e-16,0.21899986267089844,true
shift_four_ua0_detailed_threshold_gurobi,r8-ee2be879-8b78-4566-a4f5-52fd8143bebb,shift_four,0.0,detailed,threshold,Gurobi,candidate,true,true,206.94736842105294,206.94736842105291,expected_normal_cost_USD,candidate,true,true,0.0,0.0,0.18600010871887207,true
shift_four_ua0_detailed_penalty_highs,r8-7af2b250-2893-47b1-991a-7681ed72c314,shift_four,0.0,detailed,penalty,HiGHS,candidate,true,true,206.947368421053,206.94736842105343,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,2.0056738016447997e-15,8.881784197001252e-16,0.2590000629425049,true
shift_four_ua0_detailed_penalty_gurobi,r8-ae773bd0-65dd-4756-8924-2fc77cb79cf9,shift_four,0.0,detailed,penalty,Gurobi,candidate,true,true,206.947368421053,206.947368421053,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.0,0.0,0.21499991416931152,true
shift_four_ua0_energy_economic_highs,r8-energy-8231bd2a-c84b-4156-9e77-ae93db1bb2e6,shift_four,0.0,energy,economic,HiGHS,candidate,true,true,206.94736842105263,206.94736842105266,expected_normal_cost_USD,candidate,true,true,0.20000000000000823,0.20000000000000007,0.10199999809265137,true
shift_four_ua0_energy_economic_gurobi,r8-energy-222048e1-ecf5-44b9-ae22-ecc37f2d989e,shift_four,0.0,energy,economic,Gurobi,candidate,true,true,206.94736842105263,206.94736842105263,expected_normal_cost_USD,candidate,true,true,0.2,0.20000000000000007,0.10700011253356934,true
shift_four_ua0_energy_threshold_highs,r8-energy-3feacb72-1262-4017-a02e-77f81dec4020,shift_four,0.0,energy,threshold,HiGHS,infeasible_certified,false,false,,,expected_normal_cost_USD,not_run,false,false,,,0.04800009727478027,true
shift_four_ua0_energy_threshold_gurobi,r8-energy-e86e6cea-681b-4bf7-8583-0fb716f042e6,shift_four,0.0,energy,threshold,Gurobi,infeasible_certified,false,false,,,expected_normal_cost_USD,not_run,false,false,,,0.040000200271606445,true
shift_four_ua0_energy_penalty_highs,r8-energy-01d58b04-e6b5-483d-b401-50012570f34e,shift_four,0.0,energy,penalty,HiGHS,candidate,true,true,206.94736842105263,306.9473684210527,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.20000000000000823,0.20000000000000007,0.18899989128112793,true
shift_four_ua0_energy_penalty_gurobi,r8-energy-be199839-0781-4864-b5b8-f61851ece50f,shift_four,0.0,energy,penalty,Gurobi,candidate,true,true,206.94736842105263,306.94736842105266,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.2,0.20000000000000007,0.14899992942810059,true
shift_four_ua10_detailed_economic_highs,r8-884fce54-6774-4f87-a165-714fe0544f1f,shift_four,10.0,detailed,economic,HiGHS,candidate,true,true,207.2134446645153,207.21344466451527,expected_normal_cost_USD,candidate,true,true,5.135551870826935e-16,0.0,0.2950000762939453,true
shift_four_ua10_detailed_economic_gurobi,r8-97b2c440-9f45-4366-aa84-9a50054ebcd1,shift_four,10.0,detailed,economic,Gurobi,candidate,true,true,207.21344466451495,207.21344466451495,expected_normal_cost_USD,candidate,true,true,0.0,0.0,0.2569999694824219,true
