kind,left,right,left_value,right_value,relative_difference,judgement
same_model_solver,legacy_all_fixed_economic_L0p4_highs,legacy_all_fixed_economic_L0p4_gurobi,191.74719523691073,191.7471952369107,1.48224903082874e-16,supported
same_model_solver,legacy_all_fixed_penalty_L0p4_highs,legacy_all_fixed_penalty_L0p4_gurobi,593.0221952369108,593.0221952369106,1.9170755940458256e-16,supported
same_model_solver,legacy_all_fixed_threshold_L0p0_highs,legacy_all_fixed_threshold_L0p0_gurobi,,,,both_infeasible
nested_threshold,legacy_all_fixed_threshold_L0p0_highs,legacy_all_fixed_threshold_L0p2_highs,,,,both_infeasible
same_model_solver,legacy_all_fixed_threshold_L0p2_highs,legacy_all_fixed_threshold_L0p2_gurobi,,,,both_infeasible
nested_threshold,legacy_all_fixed_threshold_L0p2_highs,legacy_all_fixed_threshold_L0p4_highs,,193.02219523691082,,strict_infeasible_loose_feasible
same_model_solver,legacy_all_fixed_threshold_L0p4_highs,legacy_all_fixed_threshold_L0p4_gurobi,193.02219523691082,193.02219523691053,1.472458097138512e-15,supported
nested_threshold,legacy_all_fixed_threshold_L0p4_highs,legacy_all_fixed_threshold_L0p6_highs,193.02219523691082,192.6221952369107,0.002072300542998016,supported
same_model_solver,legacy_all_fixed_threshold_L0p6_highs,legacy_all_fixed_threshold_L0p6_gurobi,192.6221952369107,192.6221952369105,1.0328610665460033e-15,supported
nested_threshold,legacy_all_fixed_threshold_L0p6_highs,legacy_all_fixed_threshold_L0p8_highs,192.6221952369107,192.22219523691072,0.002076603890366879,supported
same_model_solver,legacy_all_fixed_threshold_L0p8_highs,legacy_all_fixed_threshold_L0p8_gurobi,192.22219523691072,192.2221952369105,1.1828689978438635e-15,supported
nested_threshold,legacy_all_fixed_threshold_L0p8_highs,legacy_all_fixed_threshold_L1p0_highs,192.22219523691072,191.82219523691074,0.002080925147623997,supported
same_model_solver,legacy_all_fixed_threshold_L1p0_highs,legacy_all_fixed_threshold_L1p0_gurobi,191.82219523691074,191.8221952369106,7.408347453041517e-16,supported
nested_threshold,legacy_all_fixed_threshold_L1p0_highs,legacy_all_fixed_threshold_L1p2_highs,191.82219523691074,191.74719523691073,0.0003909870800268343,supported
same_model_solver,legacy_all_fixed_threshold_L1p2_highs,legacy_all_fixed_threshold_L1p2_gurobi,191.74719523691073,191.74719523691036,1.926923740077362e-15,supported
nested_threshold,legacy_all_fixed_threshold_L0p0_gurobi,legacy_all_fixed_threshold_L0p2_gurobi,,,,both_infeasible
nested_threshold,legacy_all_fixed_threshold_L0p2_gurobi,legacy_all_fixed_threshold_L0p4_gurobi,,193.02219523691053,,strict_infeasible_loose_feasible
nested_threshold,legacy_all_fixed_threshold_L0p4_gurobi,legacy_all_fixed_threshold_L0p6_gurobi,193.02219523691053,192.6221952369105,0.0020723005429975775,supported
nested_threshold,legacy_all_fixed_threshold_L0p6_gurobi,legacy_all_fixed_threshold_L0p8_gurobi,192.6221952369105,192.2221952369105,0.0020766038903670286,supported
nested_threshold,legacy_all_fixed_threshold_L0p8_gurobi,legacy_all_fixed_threshold_L1p0_gurobi,192.2221952369105,191.8221952369106,0.002080925147623556,supported
nested_threshold,legacy_all_fixed_threshold_L1p0_gurobi,legacy_all_fixed_threshold_L1p2_gurobi,191.8221952369106,191.74719523691036,0.00039098708002801994,supported
nested_threshold,tie_three_all_fixed_threshold_L0p0_gurobi,tie_three_all_fixed_threshold_L0p2_gurobi,191.7471952369105,191.74719523691044,2.964498061657483e-16,supported
nested_threshold,tie_three_all_fixed_threshold_L0p2_gurobi,tie_three_all_fixed_threshold_L0p4_gurobi,191.74719523691044,191.74719523691044,0.0,supported
nested_threshold,tie_three_all_fixed_threshold_L0p4_gurobi,tie_three_all_fixed_threshold_L0p6_gurobi,191.74719523691044,191.74719523691044,0.0,supported
same_model_solver,tie_three_no_battery_fixed_threshold_L0p4_highs,tie_three_no_battery_fixed_threshold_L0p4_gurobi,191.7471952369108,191.74719523691047,1.778698836994487e-15,supported
same_model_solver,tie_three_no_net_heat_charge_fixed_threshold_L0p4_highs,tie_three_no_net_heat_charge_fixed_threshold_L0p4_gurobi,,,,both_infeasible
same_model_solver,tie_three_no_reconfiguration_fixed_threshold_L0p4_highs,tie_three_no_reconfiguration_fixed_threshold_L0p4_gurobi,191.74719523691098,191.74719523691044,2.816273158574602e-15,supported
