index,id,run_id,residual_ratio
1,legacy_all_fixed_economic_L0p4_highs,r8-db1244bf-4929-4258-8b75-f8d6c02c2ea2,5.6843418860808015e-8
2,legacy_all_fixed_penalty_L0p4_highs,r8-0e4777ef-328a-4521-9a1c-a62bb14ed27b,1.3877787807814457e-9
5,legacy_all_fixed_threshold_L0p4_highs,r8-3185aa97-3647-42cf-ae9d-0b9f708d9736,1.3877787807814457e-9
6,legacy_all_fixed_threshold_L0p6_highs,r8-6f95824c-b023-4843-b281-b8c6f9acb05e,1.3877787807814457e-9
7,legacy_all_fixed_threshold_L0p8_highs,r8-df47800b-5368-4ca7-8e2d-265ad0e58ccc,1.3877787807814457e-9
8,legacy_all_fixed_threshold_L1p0_highs,r8-3bbed2dd-f15f-4364-81dd-1f708c5a2f3d,1.3877787807814457e-9
9,legacy_all_fixed_threshold_L1p2_highs,r8-f93ec23f-b31b-42f3-b825-ebbde2242f81,1.3877787807814457e-9
10,legacy_all_fixed_economic_L0p4_gurobi,r8-71fa2d9d-492d-4a83-bc91-71bc5dd2630d,4.619134935657243e-9
11,legacy_all_fixed_penalty_L0p4_gurobi,r8-fc4d480e-4e7f-4c85-a34e-e52da401f883,2.398081733190338e-8
14,legacy_all_fixed_threshold_L0p4_gurobi,r8-6ef535a4-2d45-4274-9982-6543e1db778b,2.398081733190338e-8
15,legacy_all_fixed_threshold_L0p6_gurobi,r8-b37c6cd4-3b07-47d8-8a14-b2e5308d8775,2.398081733190338e-8
16,legacy_all_fixed_threshold_L0p8_gurobi,r8-4eab3d21-228b-4dd1-923f-5dd7d259a73e,3.1912406744938338e-9
17,legacy_all_fixed_threshold_L1p0_gurobi,r8-5776a828-347c-4613-a789-bb96d41b2091,3.1912406744938338e-9
18,legacy_all_fixed_threshold_L1p2_gurobi,r8-57131445-2aa6-4fcb-8dd2-70ae5cfea487,3.552713678800501e-9
19,tie_three_all_fixed_economic_L0p4_gurobi,r8-fe012aad-6284-4efe-b636-2a60048a3ff6,2.3392746073547244e-9
20,tie_three_all_fixed_penalty_L0p4_gurobi,r8-73067907-0b72-4a91-8ed6-c7983ec32adf,4.337676051680006e-9
21,tie_three_all_fixed_threshold_L0p0_gurobi,r8-f61e248f-3dc6-4858-993c-86833f301d85,8.049116928532385e-9
22,tie_three_all_fixed_threshold_L0p2_gurobi,r8-090388d7-8652-4909-b8e5-2b8da01fbd3e,4.060120295523717e-9
23,tie_three_all_fixed_threshold_L0p4_gurobi,r8-56e5fec6-c9bc-4cdb-8885-b74e2089b03e,4.060120295523717e-9
24,tie_three_all_fixed_threshold_L0p6_gurobi,r8-1f46a093-b2b2-484a-9ffc-137464221558,5.562824506588626e-9
25,tie_three_no_battery_fixed_threshold_L0p4_highs,r8-4b64c17b-432e-4f59-95eb-eafc418d17f2,2.308338705366471e-8
26,tie_three_no_battery_fixed_threshold_L0p4_gurobi,r8-ad94935f-ae4d-4c2d-bd3a-48c71f10e2e4,9.004515882926611e-9
29,tie_three_no_reconfiguration_fixed_threshold_L0p4_highs,r8-f29c2171-5c42-4b38-80b1-f75485034d9d,2.464283117842303e-9
30,tie_three_no_reconfiguration_fixed_threshold_L0p4_gurobi,r8-c061e652-37a1-46ce-9d39-372fcd78f672,5.662137425588298e-9
