group,normalized,display,count,failed
physical/auxiliary/MW,2.927654783558825e-9,2.927654783558825e-9,2400,0
physical/comfort/K,1.2221335055073723e-7,1.2221335055073723e-7,176400,0
physical/comfort/MWh,1.247661696179847e-7,1.247661696179847e-7,86400,0
physical/cost/CNY,2.1416473774819616e-8,2.1416473774819616e-8,100,0
physical/delivery/MW,1.0509383362017374e-10,1.0509383362017374e-10,4800,0
physical/delivery/MWh,2.9736333349760633e-9,2.9736333349760633e-9,100,0
physical/electric/MW,1.038313002028902e-8,1.038313002028902e-8,314400,0
physical/electric/Mvar,2.708216164987267e-9,2.708216164987267e-9,225600,0
physical/electric/pu,5.519362744621503e-6,5.519362744621503e-6,211200,0
physical/heat/1,1.7763568394002505e-9,1.7763568394002505e-9,177600,0
physical/heat/K,2.5011104298755527e-8,2.5011104298755527e-8,633600,0
physical/heat/MW,2.434052959188193e-7,2.434052959188193e-7,177600,0
physical/heat/kg/s,1.541997669751509e-10,1.541997669751509e-10,91200,0
risk/branch/1,0.0,1.0e-12,1,0
risk/comfort_link/K,0.0,1.0e-12,86400,0
risk/cost/CNY,0.0,1.0e-12,2,0
risk/embedded/1,0.0,1.0e-12,4,0
risk/first_stage/MW,0.0,1.0e-12,96,0
risk/risk/1,0.0,1.0e-12,3,0
