hour,P_PCC_MW,R_up_MW,R_down_MW,T_min_K,T_max_K,lower_K,upper_K
1,23.12008865612402,9.540203055203617e-14,9.531087218083284e-14,293.15000000458605,293.3887900380891,293.15,295.15
2,22.635178104083298,9.541418157034232e-14,9.530599881436513e-14,293.1500000028271,293.15000000549816,293.15,295.15
3,21.896075947353328,9.542795737543683e-14,9.529780183968086e-14,293.1500000023946,293.1500000037852,293.15,295.15
4,20.130591694250963,9.551276255964718e-14,9.528263983015809e-14,293.15000000213246,293.15000000464886,293.15,295.15
5,21.319540204926117,9.523552123083192e-14,9.528630480319298e-14,293.15000000189553,293.1500000054709,293.15,295.15
6,21.899648067767455,9.516969485397818e-14,9.5283978970975e-14,293.150000002149,293.1500000056056,293.15,295.15
7,23.360798037688593,9.546819085142888e-14,9.53817803968563e-14,293.15000000347675,293.15000000554875,293.15,295.15
8,27.524901158367133,9.538690538901674e-14,9.532989388538954e-14,293.1500000039334,293.1500000052233,293.15,295.15
9,30.83151537009876,9.535212114838212e-14,9.537085454479984e-14,293.15000000343593,293.150000005565,293.15,295.15
10,32.44497642738279,9.535749322550244e-14,9.539780031859408e-14,293.150000003142,293.1500000057617,293.15,295.15
11,33.20873648008603,9.539289509915364e-14,9.541095823859145e-14,293.1500000029432,293.1500000059922,293.15,295.15
12,31.50917427497256,9.534759515380375e-14,9.538557279430445e-14,293.15000000277706,293.1500000072845,293.15,295.15
13,32.607093941429135,9.534037137212483e-14,9.539415923372659e-14,293.1500000032662,293.1500000051352,293.15,295.15
14,31.60268725523031,9.535244993119305e-14,9.536049093794852e-14,293.15000000274904,293.1500000054117,293.15,295.15
15,32.39242464871702,9.535722458957754e-14,9.5384530891026e-14,293.15000000299926,293.15000000556864,293.15,295.15
16,30.662204981859432,9.535365644746104e-14,9.535898294521738e-14,293.15000000442456,293.15000000611036,293.15,295.15
17,32.36817830097734,9.533095246113524e-14,9.538640341143166e-14,293.15000000389165,293.15000000809374,293.15,295.15
18,33.24277183379317,9.533646746485754e-14,9.540896092251025e-14,293.1500000029897,293.15000001037765,293.15,295.15
19,31.604170383935916,9.536243569170157e-14,9.5393076842175e-14,293.1500000023682,293.15000001442496,293.15,295.15
20,29.23807575329084,9.535135490618e-14,9.537000709633373e-14,293.15000000203224,293.15000007260693,293.15,295.15
21,29.491684153360282,9.536870770226632e-14,9.537404684641144e-14,293.1500000017698,293.15000001064897,293.15,295.15
22,25.840171001577115,9.53792866327318e-14,9.53371268988583e-14,293.15000000137286,293.1500000062994,293.15,295.15
23,23.05224093352998,9.539934267698616e-14,9.531317340976281e-14,293.553387856926,293.69166666911525,293.15,295.15
24,23.289658713924158,9.547409115240419e-14,9.531659281692084e-14,294.15,294.1500000000013,293.15,295.15
