scheme,representation,stage,seconds,run_id
3A,original,build_sec,50.9210000038147,r9-seeded-d3eac88a-5515-4d55-b8d4-e5f2fb906806
3A,original,mapping_and_audit_sec,9.200000047683716,r9-seeded-d3eac88a-5515-4d55-b8d4-e5f2fb906806
3A,original,native_start_sec,4.416000127792358,r9-seeded-d3eac88a-5515-4d55-b8d4-e5f2fb906806
3A,original,optimization_sec,331.12099981307983,r9-seeded-d3eac88a-5515-4d55-b8d4-e5f2fb906806
3A,original,validation_sec,0.5060000419616699,r9-seeded-d3eac88a-5515-4d55-b8d4-e5f2fb906806
3A,original,preparation_sec,21.21753899997566,r9-seeded-d3eac88a-5515-4d55-b8d4-e5f2fb906806
3A,original,save_and_read_sec,0.8531932000769302,r9-seeded-d3eac88a-5515-4d55-b8d4-e5f2fb906806
3A,r9_compact_v1,build_sec,32.35099983215332,r9-seeded-444ca03d-1191-43fb-ba0b-48b1f9f7d660
3A,r9_compact_v1,mapping_and_audit_sec,8.40500020980835,r9-seeded-444ca03d-1191-43fb-ba0b-48b1f9f7d660
3A,r9_compact_v1,native_start_sec,3.506999969482422,r9-seeded-444ca03d-1191-43fb-ba0b-48b1f9f7d660
3A,r9_compact_v1,optimization_sec,351.39800000190735,r9-seeded-444ca03d-1191-43fb-ba0b-48b1f9f7d660
3A,r9_compact_v1,validation_sec,0.23599982261657715,r9-seeded-444ca03d-1191-43fb-ba0b-48b1f9f7d660
3A,r9_compact_v1,preparation_sec,20.712444000062533,r9-seeded-444ca03d-1191-43fb-ba0b-48b1f9f7d660
3A,r9_compact_v1,save_and_read_sec,0.5384546000277624,r9-seeded-444ca03d-1191-43fb-ba0b-48b1f9f7d660
3B,original,build_sec,57.17700004577637,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,extraction_sec,2.1519999504089355,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,independent_scores_sec,15.77999997138977,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,mapping_and_audit_sec,8.958999872207642,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,native_start_sec,4.389000177383423,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,optimization_sec,308.7669999599457,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,validation_sec,13.592000007629395,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,preparation_sec,34.97415329993237,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,save_and_read_sec,9.623666899977252,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,r9_compact_v1,build_sec,30.799000024795532,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,extraction_sec,2.380000114440918,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,independent_scores_sec,12.819000005722046,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,mapping_and_audit_sec,9.900000095367432,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,native_start_sec,4.674999952316284,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,optimization_sec,350.52999997138977,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,validation_sec,13.664999961853027,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,preparation_sec,20.635904200025834,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,save_and_read_sec,8.166529100039043,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3C,original,build_sec,51.80900001525879,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,extraction_sec,5.733999967575073,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,independent_scores_sec,21.375999927520752,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,mapping_and_audit_sec,8.804999828338623,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
