scheme,representation,group,count,failed,normalized,run_id
3B,original,physical/auxiliary/MW,2400,0,2.927654783558825e-9,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/comfort/K,176400,0,1.2221335055073723e-7,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/comfort/MWh,86400,0,1.247661696179847e-7,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/cost/CNY,100,0,2.1416473774819616e-8,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/delivery/MW,4800,0,1.0509383362017374e-10,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/delivery/MWh,100,0,2.9736333349760633e-9,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/electric/MW,314400,0,1.038313002028902e-8,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/electric/Mvar,225600,0,2.708216164987267e-9,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/electric/pu,211200,0,5.519362744621503e-6,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/heat/1,177600,0,1.7763568394002505e-9,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/heat/K,633600,0,2.5011104298755527e-8,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/heat/MW,177600,0,2.434052959188193e-7,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,physical/heat/kg/s,91200,0,1.541997669751509e-10,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,risk/branch/1,1,0,0.0,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,risk/comfort_link/K,86400,0,0.0,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,risk/cost/CNY,2,0,4.400645296195718e-10,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,risk/embedded/1,4,0,1.3890468730604998e-10,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,risk/first_stage/MW,96,0,0.0,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,original,risk/risk/1,3,0,0.0,r9-seeded-b8e626a2-a330-4dfc-9770-ae1563498363
3B,r9_compact_v1,physical/auxiliary/MW,2400,0,2.927654783558825e-9,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/comfort/K,176400,0,1.2221335055073723e-7,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/comfort/MWh,86400,0,1.247661696179847e-7,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/cost/CNY,100,0,2.1416473774819616e-8,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/delivery/MW,4800,0,1.0509383362017374e-10,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/delivery/MWh,100,0,2.9736333349760633e-9,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/electric/MW,314400,0,1.038313002028902e-8,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/electric/Mvar,225600,0,2.708216164987267e-9,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/electric/pu,211200,0,5.519362744621503e-6,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/heat/1,177600,0,1.7763568394002505e-9,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/heat/K,633600,0,2.5011104298755527e-8,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/heat/MW,177600,0,2.434052959188193e-7,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,physical/heat/kg/s,91200,0,1.541997669751509e-10,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,risk/branch/1,1,0,0.0,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,risk/comfort_link/K,86400,0,0.0,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,risk/cost/CNY,2,0,4.400645296195718e-10,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,risk/embedded/1,4,0,1.3890468730604998e-10,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,risk/first_stage/MW,96,0,0.0,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,risk/risk/1,3,0,0.0,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3C,original,physical/auxiliary/MW,2400,0,2.927654783558825e-9,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/comfort/K,176400,0,1.2221335055073723e-7,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/comfort/MWh,86400,0,1.247661696179847e-7,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/cost/CNY,100,0,2.1416473774819616e-8,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/delivery/MW,4800,0,1.0509383362017374e-10,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/delivery/MWh,100,0,2.9736333349760633e-9,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/electric/MW,314400,0,1.038313002028902e-8,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/electric/Mvar,225600,0,2.708216164987267e-9,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/electric/pu,211200,0,5.519362744621503e-6,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/heat/1,177600,0,1.7763568394002505e-9,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/heat/K,633600,0,2.5011104298755527e-8,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/heat/MW,177600,0,2.434052959188193e-7,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,physical/heat/kg/s,91200,0,1.541997669751509e-10,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,risk/branch/1,1,0,0.0,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,risk/comfort_link/K,86400,0,0.0,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,risk/cost/CNY,2,0,4.400645296195718e-10,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,risk/embedded/1,4,0,1.3890468730604998e-10,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,risk/first_stage/MW,96,0,0.0,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,risk/risk/1,3,0,0.0,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,r9_compact_v1,physical/auxiliary/MW,2400,0,2.927654783558825e-9,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/comfort/K,176400,0,1.2221335055073723e-7,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/comfort/MWh,86400,0,1.247661696179847e-7,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/cost/CNY,100,0,2.1416473774819616e-8,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/delivery/MW,4800,0,1.0509383362017374e-10,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/delivery/MWh,100,0,2.9736333349760633e-9,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/electric/MW,314400,0,1.038313002028902e-8,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/electric/Mvar,225600,0,2.708216164987267e-9,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/electric/pu,211200,0,5.519362744621503e-6,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/heat/1,177600,0,1.7763568394002505e-9,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/heat/K,633600,0,2.5011104298755527e-8,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/heat/MW,177600,0,2.434052959188193e-7,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,physical/heat/kg/s,91200,0,1.541997669751509e-10,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,risk/branch/1,1,0,0.0,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,risk/comfort_link/K,86400,0,0.0,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,risk/cost/CNY,2,0,4.400645296195718e-10,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,risk/embedded/1,4,0,1.3890468730604998e-10,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,risk/first_stage/MW,96,0,0.0,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,risk/risk/1,3,0,0.0,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
