method,equation,scope,entity,t,residual,unit,tolerance,pass
fixed-mip-central,R9-T4-grid,model,5,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,5,13,3.121548370265889e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,6,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,6,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,6,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,6,13,4.2469547911522416e-13,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,6,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,6,13,2.2576791103940883e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,7,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,7,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,7,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,7,13,5.26888374510065e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,7,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,7,13,9.730573375592126e-12,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,8,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,8,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,8,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,8,13,9.064404085383135e-13,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,8,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,8,13,2.1488110076017808e-10,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,9,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,9,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,9,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,9,13,9.049920190444419e-13,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,9,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,9,13,3.387465893726904e-10,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,10,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,10,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,10,13,0.0,pu²,1.0e-6,true
