method,iteration,cost_CNY,model_pass,original_pass,primal,dual,model_ratio,original_ratio,elapsed_sec
fixed-mip-admm,1,786421.0942126922,false,false,0.47582160907111637,0.818539882114959,18170.2375755189,2186.352886102388,13.993776499992236
fixed-mip-admm,2,777758.1620734587,false,false,0.319218769854107,0.2505621193287193,12180.716323139055,1656.5886071227508,16.137328800046816
fixed-mip-admm,3,761261.9351978635,false,false,0.1508807428971617,0.024615941263793784,5919.860166290727,6201.624732023941,17.712552300072275
fixed-mip-admm,4,740186.7557286717,false,false,0.008265223913485192,0.014082596410737544,282.07042266180025,4068.5745407701756,19.362875599996187
fixed-mip-admm,5,725923.2591325515,false,false,0.008093884795179224,0.00827470571682054,276.7533900590672,3216.2909914345355,20.995978999999352
fixed-mip-admm,6,715405.9325630653,false,false,0.0014075316346187083,0.007143499312188162,55.360678429403215,2933.795364984053,22.699746300000697
fixed-mip-admm,7,706844.5992996957,false,false,0.002617033558916848,0.006355966608440622,102.68008560334141,1675.4458871029183,24.304339400026947
fixed-mip-admm,8,700148.0438302055,false,false,0.0006222114200210571,0.0054955578469160216,19.9490650983444,1861.8437788378073,26.351545099983923
fixed-mip-admm,9,694778.8772320021,false,false,0.002798488419386347,0.004618662149724506,174.3143828224667,1852.495762248717,28.131170200067572
fixed-mip-admm,10,690706.119726622,false,false,0.0038124347455046337,0.0061605162882363285,174.34762650697292,3542.3330245337243,30.527670399984345
fixed-mip-admm,11,687111.9692263837,false,false,0.0038119944504978465,0.0047419223536543376,149.78163312754836,3413.6361476387324,32.36538390000351
fixed-mip-admm,12,684461.2725909047,false,false,0.003676355497969519,0.005015882913366854,142.4409056188733,2943.707014834849,34.51885009999387
fixed-mip-admm,13,682315.4732250537,false,false,0.0034828093576612096,0.00762204404590228,133.2113660108109,3600.4342615693977,37.37567570002284
fixed-mip-admm,14,680714.1198694259,false,false,0.0011389228261911022,0.002737323967276939,51.43135709852564,1515.5339630713895,39.28155069996137
fixed-mip-admm,15,679524.1573104686,false,false,0.0006081801498151705,0.0025709201322828834,24.330932696071734,4713.744826028693,41.30582070001401
fixed-mip-admm,16,678513.4527234049,false,false,0.0005672956712385602,0.002560717387565581,23.998407648837425,2843.3899607605485,43.30762069998309
fixed-mip-admm,17,677637.6425063014,false,false,0.00279886860492351,0.004153067731728632,109.95137657374583,4026.826840401945,45.84884650004096
fixed-mip-admm,18,676855.3754313092,false,false,0.00277651604513085,0.002549743309997743,109.06852104381501,3572.0617971656347,48.111950500053354
fixed-mip-admm,19,676184.2805033928,false,false,0.0007187792049764274,0.002565691345290444,20.82500869157587,2359.0455603411283,50.21089270000812
fixed-mip-admm,20,675611.2510061034,false,false,0.0017145175390969047,0.002556857635679005,67.36715920408506,4468.765859813299,52.04169860004913
fixed-mip-admm,21,675106.6989646279,false,false,0.0006049505887154583,0.002560983114065829,30.72645485333475,5080.683969832984,54.22749379999004
fixed-mip-admm,22,674655.4428353388,false,false,0.000597114199628157,0.0025822259728923297,24.03790486115253,3867.2377840379586,56.23790950002149
fixed-mip-admm,23,674251.086292306,false,false,0.0008007139846607503,0.0025819679715230748,14.193746757543295,3971.059615948954,58.131141699966975
fixed-mip-admm,24,673854.5920296884,false,false,0.0007762501351035456,0.002578399553156252,22.9354090482197,3557.268149907482,60.659069500048645
fixed-mip-admm,25,673505.5934287845,false,false,0.0006232495799165794,0.0025731466546841664,20.19256909049916,7717.478460623523,62.55180450004991
fixed-mip-admm,26,673188.9206463351,false,false,0.0007141099579555422,0.0026811539452099575,18.097913637667713,2324.926087830202,64.43038160004653
fixed-mip-admm,27,672876.4134946985,false,false,0.0011022190483048755,0.0025485190427665255,43.33271615273042,2767.0357379716443,66.91213099996094
fixed-mip-admm,28,672591.3911158884,false,false,0.0008258014648923062,0.0025491055224553527,37.291455625137736,2945.5060959974276,68.79106780001894
fixed-mip-admm,29,672339.9079183696,false,false,0.0005272734419070613,0.002558148383761158,16.603201396374264,2502.6270684059973,70.57653890002985
fixed-mip-admm,30,672090.3913560953,false,false,0.0009403603078025347,0.004265734708022522,34.89076896018587,2369.45272657178,72.88477969996165
fixed-mip-admm,31,671859.9384024019,false,false,0.0008975514455065933,0.0025511926805291685,22.27816590655004,3674.4091312081287,75.04161029995885
fixed-mip-admm,32,671642.0728696857,false,false,0.003557236151112697,0.00393901013063247,135.73664260825205,7732.453186535826,77.09426160005387
fixed-mip-admm,33,671407.630958985,false,false,0.0035570001675365726,0.0037642332951949705,135.72763797179306,3352.8899098759875,78.85966229997575
fixed-mip-admm,34,671187.7465359659,false,false,0.0013204367871916256,0.0025529605330741056,59.62814544265078,3329.5098591488577,80.80829610000364
fixed-mip-admm,35,671000.9574759698,false,false,0.0006824082596662562,0.002547794240528811,28.78605663984627,6753.499005793505,82.92214310006239
fixed-mip-admm,36,670821.0383226849,false,false,0.0012279564846482405,0.002548489539153459,48.19268084138866,3257.993028893954,85.01376060000621
fixed-mip-admm,37,670648.2939003074,false,false,0.0007359970012570764,0.002555311648271122,20.67944958867775,3300.916690847507,86.72708400001284
fixed-mip-admm,38,670460.977380459,false,false,0.0007131238040287251,0.002549048062887166,13.027071934635035,1807.05787387352,88.60944000002928
fixed-mip-admm,39,670302.6842423895,false,false,0.0005124753923179126,0.002546872903500183,20.136283563851773,8865.24994043,90.60991999995895
fixed-mip-admm,40,670136.9638769046,false,false,0.0030723405863846143,0.003469010706763642,120.52467518840278,5446.809790344571,92.79521380004007
fixed-mip-admm,41,669962.6435648953,false,false,0.0031356766896872834,0.0026552973134650326,123.04903968621713,4069.757779417892,95.09184250002727
fixed-mip-admm,42,669798.0046073882,false,false,0.0005212756236707694,0.0025903369248173325,20.493876022628793,2408.886731110966,97.07822859997395
fixed-mip-admm,43,669638.0485686245,false,false,0.0017880174495090028,0.0030024300333814464,32.08188849139994,2864.630636984902,100.01813260000199
fixed-mip-admm,44,669493.3828695341,false,false,0.0007540045238426663,0.0025370688109972034,31.79720802182499,2856.3113051778696,102.31056510005146
fixed-mip-admm,45,669347.4953111988,false,false,0.0007300571833235292,0.0027260411422587727,27.669945261980438,2848.916505476764,104.34942890005186
fixed-mip-admm,46,669227.0386606707,false,false,0.0004752632043127985,0.0025468703351655964,16.60885186927086,2838.6289225200717,106.1085744999582
