method,equation,scope,entity,t,residual,unit,tolerance,pass
fixed-mip-central,R9-T5-m-minus,model,9,11,0.0,kg/s,0.0001284494047619048,true
fixed-mip-central,R9-T5-H-minusin,model,9,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,9,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-H-minusout,model,9,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,9,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-loss,model,9,11,4.683753385137379e-17,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-direction,model,10,11,0.0,1,1.0e-6,true
fixed-mip-central,R9-T5-integer,model,10,11,0.0,1,1.0e-6,true
fixed-mip-central,R9-T5-m-plus,model,10,11,0.0,kg/s,0.0001284494047619048,true
fixed-mip-central,R9-T5-H-plusin,model,10,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,10,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-H-plusout,model,10,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,10,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-loss,model,10,11,1.734723475976807e-18,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-m-minus,model,10,11,0.0,kg/s,0.0001284494047619048,true
fixed-mip-central,R9-T5-H-minusin,model,10,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,10,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-H-minusout,model,10,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,10,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-loss,model,10,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-direction,model,11,11,0.0,1,1.0e-6,true
fixed-mip-central,R9-T5-integer,model,11,11,0.0,1,1.0e-6,true
fixed-mip-central,R9-T5-m-plus,model,11,11,0.0,kg/s,0.0001284494047619048,true
fixed-mip-central,R9-T5-H-plusin,model,11,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,11,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-H-plusout,model,11,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,11,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-loss,model,11,11,1.734723475976807e-18,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-m-minus,model,11,11,0.0,kg/s,0.0001284494047619048,true
fixed-mip-central,R9-T5-H-minusin,model,11,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,11,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-H-minusout,model,11,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,11,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-loss,model,11,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-direction,model,12,11,0.0,1,1.0e-6,true
fixed-mip-central,R9-T5-integer,model,12,11,0.0,1,1.0e-6,true
fixed-mip-central,R9-T5-m-plus,model,12,11,0.0,kg/s,0.0001284494047619048,true
fixed-mip-central,R9-T5-H-plusin,model,12,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,12,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-H-plusout,model,12,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,12,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-loss,model,12,11,3.469446951953614e-17,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-m-minus,model,12,11,0.0,kg/s,0.0001284494047619048,true
fixed-mip-central,R9-T5-H-minusin,model,12,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,12,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-H-minusout,model,12,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,12,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-loss,model,12,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-direction,model,13,11,0.0,1,1.0e-6,true
fixed-mip-central,R9-T5-integer,model,13,11,0.0,1,1.0e-6,true
fixed-mip-central,R9-T5-m-plus,model,13,11,0.0,kg/s,0.0001284494047619048,true
fixed-mip-central,R9-T5-H-plusin,model,13,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-envelope,model,13,11,0.0,MW,7.599999999999999e-5,true
fixed-mip-central,R9-T5-H-plusout,model,13,11,0.0,MW,7.599999999999999e-5,true
