fault,parent_run_id,time,scenario,hour,dt_h,probability,critical_MW,internal_generation_upper_MW,boundary_import_upper_MW,loss_lower_MW,weighted_energy_lower_MWh
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,1,1,10.0,0.25,1.0,8.020833333333332,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,2,1,10.25,0.25,1.0,8.020833333333332,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,3,1,10.5,0.25,1.0,8.020833333333332,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,4,1,10.75,0.25,1.0,8.020833333333332,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,5,1,11.0,0.25,1.0,7.699999999999999,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,6,1,11.25,0.25,1.0,7.699999999999999,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,7,1,11.5,0.25,1.0,7.699999999999999,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,8,1,11.75,0.25,1.0,7.699999999999999,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,9,1,12.0,0.25,1.0,7.21875,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,10,1,12.25,0.25,1.0,7.21875,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,11,1,12.5,0.25,1.0,7.21875,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,12,1,12.75,0.25,1.0,7.21875,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,13,1,13.0,0.25,1.0,6.9781249999999995,0.0,79.2700563995514,0.0,0.0
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,14,1,13.25,0.25,1.0,6.9781249999999995,0.0,79.2700563995514,0.0,0.0
