method,equation,scope,entity,t,residual,unit,tolerance,pass
equipment-fixed-central-exact,R9-T4-grid,model,39,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-original-grid,electric_original,39,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-P,model,40,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-Q,model,40,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-ell,model,40,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-032,model,40,1,1.2954958646670697e-17,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-grid,model,40,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-original-grid,electric_original,40,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-P,model,41,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-Q,model,41,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-ell,model,41,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-032,model,41,1,3.011922105494204e-17,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-grid,model,41,1,5.421010862427522e-20,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-original-grid,electric_original,41,1,5.421010862427522e-20,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-P,model,42,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-Q,model,42,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-ell,model,42,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-032,model,42,1,3.2302263188032786e-17,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-grid,model,42,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-original-grid,electric_original,42,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-P,model,43,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-Q,model,43,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-ell,model,43,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-032,model,43,1,8.357621150998978e-18,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-grid,model,43,1,1.3552527156068805e-20,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-original-grid,electric_original,43,1,1.3552527156068805e-20,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-P,model,44,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-Q,model,44,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-ell,model,44,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-032,model,44,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-grid,model,44,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-original-grid,electric_original,44,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-P,model,45,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-Q,model,45,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-ell,model,45,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-032,model,45,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-grid,model,45,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-original-grid,electric_original,45,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-P,model,46,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-Q,model,46,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-ell,model,46,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-032,model,46,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-grid,model,46,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-original-grid,electric_original,46,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-P,model,47,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-Q,model,47,1,0.0,pu,1.0e-6,true
equipment-fixed-central-exact,R9-T4-ell,model,47,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-032,model,47,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-grid,model,47,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-original-grid,electric_original,47,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,R9-T4-voltage,model,1,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,1,1,0.0,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,1,1,8.881784197001252e-16,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,2,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,2,1,0.0,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,2,1,0.0,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,3,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,3,1,2.220446049250313e-16,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,3,1,1.1102230246251565e-16,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,4,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,4,1,0.0,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,4,1,0.0,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,5,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,5,1,5.551115123125783e-17,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,5,1,2.7755575615628914e-17,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,6,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,6,1,5.551115123125783e-17,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,6,1,0.0,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,7,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,7,1,0.0,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,7,1,4.440892098500626e-16,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,8,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,8,1,2.470774695950695e-8,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,8,1,2.220446049250313e-16,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,9,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,9,1,2.220446049250313e-16,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,9,1,1.1102230246251565e-16,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,10,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,10,1,1.1102230246251565e-16,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,10,1,0.0,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,11,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,11,1,5.551115123125783e-17,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,11,1,0.0,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,12,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,12,1,1.635840778901887e-5,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,12,1,1.266389535969914e-5,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,13,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,13,1,1.4017002659461042e-5,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,13,1,7.005121876124676e-6,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,14,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,14,1,1.1102230246251565e-16,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,14,1,5.551115123125783e-17,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,15,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,15,1,5.551115123125783e-17,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,15,1,0.0,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,16,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,16,1,4.440892098500626e-16,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,16,1,2.220446049250313e-16,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,17,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,17,1,1.1102230246251565e-16,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,17,1,8.326672684688674e-17,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,18,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,18,1,5.551115123125783e-17,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,18,1,0.0,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,19,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,19,1,5.551115123125783e-17,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,19,1,0.0,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,20,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,20,1,3.552713678800501e-15,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,20,1,8.881784197001252e-16,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,21,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,21,1,0.0,MW,7.599999999999999e-5,true
equipment-fixed-central-exact,ch04-030:031-Q,model,21,1,1.1102230246251565e-16,Mvar,7.599999999999999e-5,true
equipment-fixed-central-exact,R9-T4-voltage,model,22,1,0.0,pu²,1.0e-6,true
equipment-fixed-central-exact,ch04-030:031-P,model,22,1,8.51099724030746e-9,MW,7.599999999999999e-5,true
