method,stage_index,stage,actor,termination,model_pass,objective_kind,objective
legacy-fixed-independent-socp,1,local,2,OPTIMAL,true,local_resource_plus_retail,16356.91627193412
legacy-fixed-independent-socp,2,local,3,OPTIMAL,true,local_resource_plus_retail,22195.927279909825
legacy-fixed-independent-socp,3,local,4,OPTIMAL,true,local_resource_plus_retail,50440.53787381387
legacy-fixed-independent-socp,4,local,5,OPTIMAL,true,local_resource_plus_retail,63882.00577367133
legacy-fixed-independent-socp,5,local,6,OPTIMAL,true,local_resource_plus_retail,44436.30399399525
legacy-fixed-independent-socp,6,local,7,OPTIMAL,true,local_resource_plus_retail,61114.69241452617
legacy-fixed-independent-socp,7,local,8,OPTIMAL,true,local_resource_plus_retail,62933.853868327584
legacy-fixed-independent-socp,8,local,9,OPTIMAL,true,local_resource_plus_retail,8165.115005495514
legacy-fixed-independent-socp,9,network,0,INFEASIBLE,false,system_resource_cost,NaN
legacy-fixed-independent-exact,1,local,2,OPTIMAL,true,local_resource_plus_retail,16356.91627193412
legacy-fixed-independent-exact,2,local,3,OPTIMAL,true,local_resource_plus_retail,22195.927279909825
legacy-fixed-independent-exact,3,local,4,OPTIMAL,true,local_resource_plus_retail,50440.53787381387
legacy-fixed-independent-exact,4,local,5,OPTIMAL,true,local_resource_plus_retail,63882.00577367133
legacy-fixed-independent-exact,5,local,6,OPTIMAL,true,local_resource_plus_retail,44436.30399399525
legacy-fixed-independent-exact,6,local,7,OPTIMAL,true,local_resource_plus_retail,61114.69241452617
legacy-fixed-independent-exact,7,local,8,OPTIMAL,true,local_resource_plus_retail,62933.853868327584
legacy-fixed-independent-exact,8,local,9,OPTIMAL,true,local_resource_plus_retail,8165.115005495514
legacy-fixed-independent-exact,9,network,0,INFEASIBLE,false,system_resource_cost,NaN
legacy-fixed-central-socp,1,central,0,INFEASIBLE,false,system_resource_cost,NaN
legacy-fixed-central-exact,1,central,0,INFEASIBLE,false,system_resource_cost,NaN
legacy-joint-independent-socp,1,local,2,OPTIMAL,true,local_resource_plus_retail,16356.91627193412
legacy-joint-independent-socp,2,local,3,OPTIMAL,true,local_resource_plus_retail,22195.927279909825
legacy-joint-independent-socp,3,local,4,OPTIMAL,true,local_resource_plus_retail,50440.53787381387
legacy-joint-independent-socp,4,local,5,OPTIMAL,true,local_resource_plus_retail,63882.00577367133
legacy-joint-independent-socp,5,local,6,OPTIMAL,true,local_resource_plus_retail,44436.30399399525
legacy-joint-independent-socp,6,local,7,OPTIMAL,true,local_resource_plus_retail,61114.69241452617
legacy-joint-independent-socp,7,local,8,OPTIMAL,true,local_resource_plus_retail,62933.853868327584
legacy-joint-independent-socp,8,local,9,OPTIMAL,true,local_resource_plus_retail,8165.115005495514
legacy-joint-independent-socp,9,network,0,INFEASIBLE,false,system_resource_cost,NaN
legacy-joint-independent-exact,1,local,2,OPTIMAL,true,local_resource_plus_retail,16356.91627193412
legacy-joint-independent-exact,2,local,3,OPTIMAL,true,local_resource_plus_retail,22195.927279909825
legacy-joint-independent-exact,3,local,4,OPTIMAL,true,local_resource_plus_retail,50440.53787381387
legacy-joint-independent-exact,4,local,5,OPTIMAL,true,local_resource_plus_retail,63882.00577367133
legacy-joint-independent-exact,5,local,6,OPTIMAL,true,local_resource_plus_retail,44436.30399399525
legacy-joint-independent-exact,6,local,7,OPTIMAL,true,local_resource_plus_retail,61114.69241452617
legacy-joint-independent-exact,7,local,8,OPTIMAL,true,local_resource_plus_retail,62933.853868327584
legacy-joint-independent-exact,8,local,9,OPTIMAL,true,local_resource_plus_retail,8165.115005495514
legacy-joint-independent-exact,9,network,0,INFEASIBLE,false,system_resource_cost,NaN
legacy-joint-central-socp,1,central,0,INFEASIBLE,false,system_resource_cost,NaN
legacy-joint-central-exact,1,central,0,INFEASIBLE,false,system_resource_cost,NaN
equipment-fixed-independent-socp,1,local,2,OPTIMAL,true,local_resource_plus_retail,16356.91627193412
equipment-fixed-independent-socp,2,local,3,OPTIMAL,true,local_resource_plus_retail,22195.927279909825
equipment-fixed-independent-socp,3,local,4,OPTIMAL,true,local_resource_plus_retail,50440.53787381387
equipment-fixed-independent-socp,4,local,5,OPTIMAL,true,local_resource_plus_retail,63882.00577367133
equipment-fixed-independent-socp,5,local,6,OPTIMAL,true,local_resource_plus_retail,44436.30399399525
equipment-fixed-independent-socp,6,local,7,OPTIMAL,true,local_resource_plus_retail,61114.69241452617
equipment-fixed-independent-socp,7,local,8,OPTIMAL,true,local_resource_plus_retail,62933.853868327584
equipment-fixed-independent-socp,8,local,9,OPTIMAL,true,local_resource_plus_retail,8165.115005495514
equipment-fixed-independent-socp,9,network,0,INFEASIBLE,false,system_resource_cost,NaN
equipment-fixed-independent-exact,1,local,2,OPTIMAL,true,local_resource_plus_retail,16356.91627193412
equipment-fixed-independent-exact,2,local,3,OPTIMAL,true,local_resource_plus_retail,22195.927279909825
equipment-fixed-independent-exact,3,local,4,OPTIMAL,true,local_resource_plus_retail,50440.53787381387
