step,equation,derived_variable,terms,rhs,derived_or_residual_value
1,3-17,aux_18048,"1.0 * H_port[2,24] + -0.0042 * aux_18048",0.0,38.25396825396826
2,R3-operation,"tau_S_port[1,23]","1.0 * tau_S_port[1,23]",363.15,363.15
3,R9-P6,"tau_S_in[1,24]","1.0 * tau_S_in[1,24]",363.15,363.15
4,R9-P6,"tau_R_in[1,24]","1.0 * tau_R_in[1,24]",321.9773456915223,321.9773456915223
5,3-40,"tau_R_mix[2,24]","1.0 * tau_R_in[1,24] + -1.0 * tau_R_mix[2,24]",0.0,321.9773456915223
6,3-35,"tau_S_mix[1,23]","1.0 * tau_S_mix[1,23] + -1.0 * tau_S_port[1,23]",0.0,363.15
7,3-36,"tau_R_port[2,24]","1.0 * tau_R_mix[2,24] + -1.0 * tau_R_port[2,24]",0.0,321.9773456915223
8,3-17,"tau_S_port[2,24]","-0.9563492063492065 * tau_S_port[2,24] + 0.9563492063492065 * tau_R_port[2,24] + 1.0 * aux_18048",0.0,361.9773456915223
9,3-39,"tau_S_in[1,23]","1.0 * tau_S_in[1,23] + -1.0 * tau_S_mix[1,23]",0.0,363.15
10,3-38,"tau_S_mix[2,24]","-1.0 * tau_S_mix[2,24] + 1.0 * tau_S_port[2,24]",0.0,361.9773456915223
11,3-35,"tau_S_out[1,24]","-1.0 * tau_S_out[1,24] + 1.0 * tau_S_mix[2,24]",0.0,361.9773456915223
12,3-33,"tau_S_star[1,24]","-0.15939153439153442 * tau_S_in[1,23] + -0.7969576719576721 * tau_S_in[1,24] + 0.9563492063492065 * tau_S_star[1,24]",0.0,363.15
13,3-34,contradiction,"1.0 * tau_S_out[1,24] + -0.985341821144029 * tau_S_star[1,24]",4.150463343068168,-3.2494034316866633e-14
