coordinate,free_column,numerator,denominator,approximate
1,1,1,1,1.0
1,2,0,1,0.0
1,25,0,1,0.0
1,26,0,1,0.0
1,27,0,1,0.0
1,28,0,1,0.0
1,29,0,1,0.0
1,30,0,1,0.0
1,31,0,1,0.0
1,32,0,1,0.0
1,33,0,1,0.0
1,34,0,1,0.0
1,35,0,1,0.0
1,36,0,1,0.0
1,37,0,1,0.0
1,38,0,1,0.0
2,1,0,1,0.0
2,2,1,1,1.0
2,25,0,1,0.0
2,26,0,1,0.0
2,27,0,1,0.0
2,28,0,1,0.0
2,29,0,1,0.0
2,30,0,1,0.0
2,31,0,1,0.0
2,32,0,1,0.0
2,33,0,1,0.0
2,34,0,1,0.0
2,35,0,1,0.0
2,36,0,1,0.0
2,37,0,1,0.0
2,38,0,1,0.0
3,1,0,1,0.0
3,2,0,1,0.0
3,25,0,1,0.0
3,26,0,1,0.0
3,27,0,1,0.0
3,28,0,1,0.0
3,29,0,1,0.0
3,30,0,1,0.0
3,31,0,1,0.0
3,32,0,1,0.0
3,33,-26597155074591625216,1092085967089023,-24354.45182533283
3,34,206504565773190145422770954864951296,282637670317546541600174325507,730633.5547599865
3,35,-4211038660802342187924052831056936786121940038320128,329345372997988681643617278589786555538974551,-1.27860872082999e7
3,36,431948844210632633829218319542029845636215704648953582899100743892992,2533704235551215163416526304538632621228019097058749306195207,1.704811627773361e8
3,37,-1298065660437297781242332928616721874998061899238086890273757785716270849337925304320,676811516189538973050944027428190691963438126082392743502099211938346321209,-1.9179130812451756e9
3,38,4697980378855424667507532013486147672454751895390118016062232640686829514673595580724916095069192192,244952726210333071909728274330936604786256724230199279422712801118254306489122545456387835,1.9179130812454887e10
4,1,0,1,0.0
4,2,0,1,0.0
4,25,0,1,0.0
4,26,0,1,0.0
4,27,0,1,0.0
4,28,0,1,0.0
4,29,0,1,0.0
4,30,0,1,0.0
4,31,0,1,0.0
4,32,0,1,0.0
4,33,0,1,0.0
4,34,-69333681656336678912,2846858642255199,-24354.45182533283
4,35,2423745626771016357618528828532719616,3317320441937843964967967930307,730633.5547599865
4,36,-326309289939545691294846870602750034089875681520386048,25520652614329803708480677908376496375281058099,-1.2786087208299821e7
4,37,1162197661283973906398858794370408145104347415021836111274288040902656,6817161745910470538492137297980601258764908496482211211712013,1.704811627773335e8
4,38,-4732025291483790813885564882507755787459518711692414396408367381939208258081360183296,2467278281668479013189295939784886879881823425924923094267473893545437383095,-1.9179130812450523e9
5,1,0,1,0.0
5,2,0,1,0.0
5,25,0,1,0.0
5,26,0,1,0.0
5,27,0,1,0.0
5,28,0,1,0.0
5,29,0,1,0.0
5,30,0,1,0.0
5,31,0,1,0.0
5,32,0,1,0.0
5,33,0,1,0.0
5,34,0,1,0.0
5,35,-28379182476150743040,1165256466443293,-24354.45182533283
5,36,6549761502956637549652329010109612032,8964495895768495737055445117101,730633.5547599857
5,37,-30617896969849909466968174718245636484827640749883392,2394626008023395344920878874235350211301050387,-1.2786087208299784e7
5,38,147750388484653121772703291056386528316735719917619639061978317586432,866666944767574615512488682773422819118227471130184257972905,1.704811627773311e8
6,1,0,1,0.0
6,2,0,1,0.0
6,25,0,1,0.0
6,26,0,1,0.0
6,27,0,1,0.0
6,28,0,1,0.0
6,29,0,1,0.0
6,30,0,1,0.0
6,31,0,1,0.0
6,32,0,1,0.0
6,33,0,1,0.0
6,34,0,1,0.0
6,35,0,1,0.0
6,36,-187362516080499654656,7693152669755857,-24354.451825332828
6,37,1501466984262378118184839903907938304,2055020570134660047725643787759,730633.5547599852
6,38,-9509734084696607004504735552817747273737588522876928,743756391597549490372908324661933409219001085,-1.278608720829975e7
7,1,0,1,0.0
7,2,0,1,0.0
7,25,0,1,0.0
7,26,0,1,0.0
7,27,0,1,0.0
7,28,0,1,0.0
7,29,0,1,0.0
7,30,0,1,0.0
7,31,0,1,0.0
7,32,0,1,0.0
7,33,0,1,0.0
7,34,0,1,0.0
7,35,0,1,0.0
7,36,0,1,0.0
7,37,-6505642306069155840,267123331402687,-24354.451825332828
7,38,211907939278795921724959668918157312,290033133433637945783105542215,730633.554759985
8,1,0,1,0.0
8,2,0,1,0.0
8,25,0,1,0.0
8,26,0,1,0.0
8,27,0,1,0.0
8,28,0,1,0.0
8,29,0,1,0.0
8,30,0,1,0.0
8,31,0,1,0.0
8,32,0,1,0.0
8,33,0,1,0.0
8,34,0,1,0.0
8,35,0,1,0.0
8,36,0,1,0.0
8,37,0,1,0.0
8,38,-8814402868852523008,361921628623315,-24354.451825332824
9,1,0,1,0.0
9,2,0,1,0.0
9,25,0,1,0.0
9,26,0,1,0.0
9,27,0,1,0.0
9,28,0,1,0.0
9,29,0,1,0.0
9,30,0,1,0.0
9,31,0,1,0.0
9,32,0,1,0.0
9,33,0,1,0.0
9,34,0,1,0.0
9,35,0,1,0.0
9,36,0,1,0.0
9,37,0,1,0.0
9,38,0,1,0.0
10,1,0,1,0.0
10,2,0,1,0.0
10,25,0,1,0.0
10,26,0,1,0.0
10,27,0,1,0.0
10,28,0,1,0.0
10,29,0,1,0.0
10,30,0,1,0.0
10,31,0,1,0.0
10,32,0,1,0.0
10,33,0,1,0.0
10,34,0,1,0.0
10,35,0,1,0.0
10,36,0,1,0.0
10,37,0,1,0.0
10,38,0,1,0.0
11,1,0,1,0.0
11,2,0,1,0.0
11,25,0,1,0.0
11,26,0,1,0.0
11,27,0,1,0.0
11,28,0,1,0.0
11,29,0,1,0.0
11,30,0,1,0.0
11,31,0,1,0.0
11,32,0,1,0.0
11,33,0,1,0.0
11,34,0,1,0.0
11,35,0,1,0.0
11,36,0,1,0.0
11,37,0,1,0.0
11,38,0,1,0.0
12,1,0,1,0.0
12,2,0,1,0.0
12,25,0,1,0.0
12,26,0,1,0.0
12,27,0,1,0.0
12,28,0,1,0.0
12,29,0,1,0.0
12,30,0,1,0.0
12,31,0,1,0.0
12,32,0,1,0.0
12,33,0,1,0.0
12,34,0,1,0.0
12,35,0,1,0.0
12,36,0,1,0.0
12,37,0,1,0.0
12,38,0,1,0.0
13,1,0,1,0.0
13,2,0,1,0.0
13,25,0,1,0.0
13,26,0,1,0.0
13,27,0,1,0.0
13,28,0,1,0.0
13,29,0,1,0.0
13,30,0,1,0.0
13,31,0,1,0.0
13,32,0,1,0.0
13,33,0,1,0.0
13,34,0,1,0.0
13,35,0,1,0.0
13,36,0,1,0.0
