i,singular_value,relative
1,4.481049871971422,1.0
2,1.8463689430452044,0.41203936483592424
3,0.890652727659474,0.19875983376807063
4,0.4783552862443,0.10675071688810492
5,0.2121036242623872,0.04733346655860203
6,0.11743817507973627,0.026207736676688617
7,0.0392740498568456,0.008764475062529737
8,0.022326565284581053,0.0049824407052980555
9,0.00595039069521273,0.0013279010198998023
10,0.003456484539766406,0.0007713559631162369
11,0.0006645427966446367,0.0001483006919430409
12,0.00043499712799954343,9.707482407647653e-5
13,6.413739353267375e-5,1.431302827800413e-5
14,4.524504329367389e-5,1.0096973831217034e-5
15,5.367584781614833e-6,1.197840893311322e-6
16,3.6642809002735954e-6,8.177282121302319e-7
17,4.118965055641087e-7,9.191964323818078e-8
18,2.566343302781267e-7,5.7271027462415035e-8
19,2.6943339206860478e-8,6.01272915425216e-9
20,1.500401176297218e-8,3.3483251005129337e-9
21,1.5883312550916189e-9,3.544551612840761e-10
22,6.888586491672567e-10,1.537270659440788e-10
23,8.276021923915384e-11,1.846893509416439e-11
24,2.6178416948731747e-11,5.8420275820796984e-12
25,3.2573290652714938e-12,7.269120314071496e-13
26,8.073252616293271e-13,1.8016431075205758e-13
27,1.2049295495933313e-13,2.6889447429051416e-14
28,1.465530815251974e-14,3.27050770940699e-15
29,1.4939681503529313e-15,3.333969031894897e-16
30,3.720601641633136e-16,8.302968607658612e-17
31,3.720601641633136e-16,8.302968607658612e-17
32,3.720601641633136e-16,8.302968607658612e-17
33,3.720601641633136e-16,8.302968607658612e-17
34,3.720601641633136e-16,8.302968607658612e-17
35,3.720601641633136e-16,8.302968607658612e-17
36,3.720601641633136e-16,8.302968607658612e-17
37,3.720601641633136e-16,8.302968607658612e-17
38,3.720601641633136e-16,8.302968607658612e-17
39,3.720601641633136e-16,8.302968607658612e-17
40,3.720601641633136e-16,8.302968607658612e-17
41,3.720601641633136e-16,8.302968607658612e-17
42,3.720601641633136e-16,8.302968607658612e-17
43,3.720601641633136e-16,8.302968607658612e-17
44,3.720601641633136e-16,8.302968607658612e-17
45,3.720601641633136e-16,8.302968607658612e-17
46,3.5482090995138847e-16,7.918253982638366e-17
47,3.0378585199608543e-16,6.779345480982919e-17
48,1.198110243899348e-16,2.6737266447165063e-17
