mode,stage,run_id,time_h,t,critical_MW,chp_cap_MW,gt_cap_MW,pv_cap_MW,generation_upper_MW,unserved_lower_MW
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
