mode,parent_run_id,pipe,side,scenario,mass_kg,mean_K,relative_heat_MWh
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,1,S,1,1147.6190476190477,363.77580224855507,0.027615657455009886
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,1,R,1,1147.6190476190477,317.9071640990839,0.03314709193266233
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,2,S,1,11476.190476190479,364.3390159129539,0.28369737972343867
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,2,R,1,11476.190476190479,313.5753478519561,0.2734727129067457
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,3,S,1,4590.476190476191,363.06723740845877,0.10666787145419053
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,3,R,1,4590.476190476191,314.97608731402875,0.11689082317068754
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,4,S,1,3442.8571428571436,361.7549884906175,0.07473003710398046
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,4,R,1,3442.8571428571436,315.03708733437406,0.08791313412640252
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,5,S,1,1147.6190476190477,360.25572166129814,0.022902660668738094
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,5,R,1,1147.6190476190477,314.8890147111611,0.029106125252165736
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,6,S,1,1147.6190476190477,360.25572166129814,0.022902660668738094
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,6,R,1,1147.6190476190477,314.8890147111611,0.029106125252165736
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,7,S,1,5738.095238095239,363.1035502276396,0.133577933468365
