mode,stage,run_id,status,model_pass,thermal_replay,normal_cost_CNY,critical_MWh,critical_unserved_MWh,ordinary_unserved_MWh,heat_unserved_MWh,analytic_lower_MWh,solver_lower_MWh,relative_gap,conditional_optimality,exact_exchange_check,wall_sec,budget_pass,critical_limit_pass
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,candidate,true,true,497483.59787383664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,not_applicable,93.21600008010864,true,false
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,solver_optimal,true,not_checked,NaN,51.28750000000001,7.255499999999932,102.0266900000001,1.5814674013723364,7.255499999999999,7.25549999999993,2.448290041210485e-16,true,false,93.21600008010864,true,false
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,solver_optimal,true,true,NaN,51.28750000000001,9.521441123589586,102.02669000000006,2.185707170026795,7.255499999999999,9.521441123589582,3.73127726431934e-16,true,not_applicable,93.21600008010864,true,false
economic,aggregate-single_1_2,r7-recovery-5e842ab0-4eb2-4591-aa51-0dda6fc93846,solver_optimal,true,not_checked,NaN,51.28750000000001,9.88391793381035,99.39827206618966,2.821375000000002,7.255499999999999,9.883917933810348,1.7972193327544626e-16,true,false,93.21600008010864,true,false
economic,detailed-single_1_2,r7-transport-cd6653e7-dab4-4e17-8b0c-e67f7b1059c2,solver_optimal,true,true,NaN,51.28750000000001,10.416971247091507,102.02669000000006,1.3205464906075743,7.255499999999999,10.416971247091503,3.410505409422575e-16,true,not_applicable,93.21600008010864,true,false
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,solver_optimal,true,not_checked,NaN,51.28750000000001,10.319838401908148,99.77371966607043,1.1395081706506613,7.255499999999999,10.319838401908147,1.7213029605888017e-16,true,false,93.21600008010864,true,false
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,solver_optimal,true,true,NaN,51.28750000000001,10.682203848858894,101.9703986350554,2.9500608031836966,7.255499999999999,10.682203848858894,0.0,true,not_applicable,93.21600008010864,true,false
penalty,normal,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,candidate,true,true,497483.5978738365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,not_applicable,119.0,true,false
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,solver_optimal,true,not_checked,NaN,51.28750000000001,7.255499999999932,102.0266900000001,1.5814674013718877,7.255499999999999,7.25549999999993,2.448290041210485e-16,true,false,119.0,true,false
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,solver_optimal,true,true,NaN,51.28750000000001,9.521441123589737,102.02669000000006,2.1857071700267308,7.255499999999999,9.521441123589735,1.8656386321596403e-16,true,not_applicable,119.0,true,false
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,solver_optimal,true,not_checked,NaN,51.28750000000001,9.88391793381035,99.39827206618966,2.8213750000000024,7.255499999999999,9.883917933810348,1.7972193327544626e-16,true,false,119.0,true,false
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,solver_optimal,true,true,NaN,51.28750000000001,10.416971247091494,102.02669000000004,1.3205464906075948,7.255499999999999,10.41697124709149,3.410505409422579e-16,true,not_applicable,119.0,true,false
penalty,aggregate-author_event1,r7-recovery-0b910b21-ae9a-4c84-b37a-e52f2309b1f5,solver_optimal,true,not_checked,NaN,51.28750000000001,10.319838401908148,99.77371966607043,1.1395081706501853,7.255499999999999,10.319838401908147,1.7213029605888017e-16,true,false,119.0,true,false
penalty,detailed-author_event1,r7-transport-758042c4-835f-4c76-9aca-9c50ccea4aec,solver_optimal,true,true,NaN,51.28750000000001,10.682203848858865,101.74822858303978,2.7216673642725717,7.255499999999999,10.682203848858864,1.662912320840995e-16,true,not_applicable,119.0,true,false
