mode,stage,run_id,time_h,generation_MW,pcc_MW,critical_MW,critical_served_MW,critical_unserved_MW,heat_unserved_MW
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,0.0,3.4,22.464722988177517,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,0.25,3.4,22.464722988177236,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,0.5,3.4,22.47348236518355,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,0.75,3.4,22.482241742189863,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,1.0,3.4,21.255188968353533,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,1.25,3.4,21.262883732177706,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,1.5,3.4,21.270340750047648,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,1.75,3.4,21.277322276009127,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,2.0,3.4,20.463757213749982,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,2.25,3.4,20.473755769077314,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,2.5,3.4,20.48731598672708,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,2.75,3.4,20.50259473153799,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,3.0,3.4,20.10585084966579,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,3.25,3.4,20.733407394446985,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,3.5,3.4,20.51877334622452,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,3.75,3.4,20.27380329866657,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,4.0,3.4,21.95232243031882,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,4.25,3.4,21.663366016882016,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,4.5,3.4,21.461980414593796,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,4.75,4.5,20.391441142148672,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,5.0,6.0,21.29783893663667,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,5.25,6.0,21.30879315148173,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,5.5,6.0,21.486840895951083,NaN,NaN,NaN,NaN
economic,normal,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,5.75,6.0,21.399122091989042,NaN,NaN,NaN,NaN
