equation,scope,entity,t,residual,unit,tolerance,pass
R9-P2-pu,input,1,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,1,0,1.734723475976807e-18,1,1.0e-12,true
R9-P2-pu,input,2,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,2,0,0.0,1,1.0e-12,true
R9-P2-pu,input,3,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,3,0,0.0,1,1.0e-12,true
R9-P2-pu,input,4,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,4,0,0.0,1,1.0e-12,true
R9-P2-pu,input,5,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,5,0,0.0,1,1.0e-12,true
R9-P2-pu,input,6,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,6,0,0.0,1,1.0e-12,true
R9-P2-pu,input,7,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,7,0,0.0,1,1.0e-12,true
R9-P2-pu,input,8,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,8,0,0.0,1,1.0e-12,true
R9-P2-pu,input,9,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,9,0,0.0,1,1.0e-12,true
R9-P2-pu,input,10,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,10,0,0.0,1,1.0e-12,true
R9-P2-pu,input,11,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,11,0,0.0,1,1.0e-12,true
R9-P2-pu,input,12,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,12,0,0.0,1,1.0e-12,true
R9-P2-pu,input,13,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,13,0,0.0,1,1.0e-12,true
R9-P2-pu,input,14,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,14,0,0.0,1,1.0e-12,true
R9-P2-pu,input,15,0,1.734723475976807e-18,pu,1.0e-12,true
R9-P2-transformer,input,15,0,0.0,1,1.0e-12,true
R9-P2-pu,input,16,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,16,0,0.0,1,1.0e-12,true
R9-P2-pu,input,17,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,17,0,0.0,1,1.0e-12,true
R9-P2-pu,input,18,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,18,0,0.0,1,1.0e-12,true
R9-P2-pu,input,19,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,19,0,0.0,1,1.0e-12,true
R9-P2-pu,input,20,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,20,0,0.0,1,1.0e-12,true
R9-P2-pu,input,21,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,21,0,0.0,1,1.0e-12,true
R9-P2-pu,input,22,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,22,0,0.0,1,1.0e-12,true
R9-P2-pu,input,23,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,23,0,0.0,1,1.0e-12,true
R9-P2-pu,input,24,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,24,0,0.0,1,1.0e-12,true
R9-P2-pu,input,25,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,25,0,0.0,1,1.0e-12,true
R9-P2-pu,input,26,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,26,0,0.0,1,1.0e-12,true
R9-P2-pu,input,27,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,27,0,0.0,1,1.0e-12,true
R9-P2-pu,input,28,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,28,0,0.0,1,1.0e-12,true
R9-P2-pu,input,29,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,29,0,0.0,1,1.0e-12,true
R9-P2-pu,input,30,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,30,0,0.0,1,1.0e-12,true
R9-P2-pu,input,31,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,31,0,0.0,1,1.0e-12,true
R9-P2-pu,input,32,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,32,0,0.0,1,1.0e-12,true
R9-P2-pu,input,33,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,33,0,0.0,1,1.0e-12,true
R9-P2-pu,input,34,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,34,0,0.0,1,1.0e-12,true
R9-P2-pu,input,35,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,35,0,0.0,1,1.0e-12,true
R9-P2-pu,input,36,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,36,0,0.0,1,1.0e-12,true
R9-P2-pu,input,37,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,37,0,0.0,1,1.0e-12,true
R9-P2-pu,input,38,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,38,0,0.0,1,1.0e-12,true
R9-P2-pu,input,39,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,39,0,0.0,1,1.0e-12,true
R9-P2-pu,input,40,0,0.0,pu,1.0e-12,true
R9-P2-transformer,input,40,0,0.0,1,1.0e-12,true
