constraint,distance
0.017097249517405006 _[374] + 0.008548624758702503 _[1406] - _[2421] + _[2429] - 9.13487315813768e-5 _[3494] == 0,5.29261041725622e-11
"[_[2455] + _[3513], 2 _[393], 2 _[1425], -_[2455] + _[3513]] in MathOptInterface.SecondOrderCone(4)",1.2389756600719538e-11
"[_[2714] + _[3764], 2 _[644], 2 _[1676], -_[2714] + _[3764]] in MathOptInterface.SecondOrderCone(4)",1.1602355232689625e-11
"[_[3122] + _[4164], 2 _[1044], 2 _[2076], -_[3122] + _[4164]] in MathOptInterface.SecondOrderCone(4)",1.1027622888188429e-11
"[_[2550] + _[3605], 2 _[485], 2 _[1517], -_[2550] + _[3605]] in MathOptInterface.SecondOrderCone(4)",1.072757821933396e-11
"[_[2616] + _[3653], 2 _[533], 2 _[1565], -_[2616] + _[3653]] in MathOptInterface.SecondOrderCone(4)",1.0260004685137931e-11
"[_[2582] + _[3635], 2 _[515], 2 _[1547], -_[2582] + _[3635]] in MathOptInterface.SecondOrderCone(4)",1.018330566853123e-11
"[_[2719] + _[3771], 2 _[651], 2 _[1683], -_[2719] + _[3771]] in MathOptInterface.SecondOrderCone(4)",9.643036853498142e-12
"[_[3190] + _[4209], 2 _[1089], 2 _[2121], -_[3190] + _[4209]] in MathOptInterface.SecondOrderCone(4)",9.427384654297925e-12
"[_[3190] + _[4210], 2 _[1090], 2 _[2122], -_[3190] + _[4210]] in MathOptInterface.SecondOrderCone(4)",9.427384654297925e-12
"[_[2745] + _[3794], 2 _[674], 2 _[1706], -_[2745] + _[3794]] in MathOptInterface.SecondOrderCone(4)",9.395511777386645e-12
"[_[2437] + _[3493], 2 _[373], 2 _[1405], -_[2437] + _[3493]] in MathOptInterface.SecondOrderCone(4)",9.383265056208912e-12
"[_[3161] + _[4200], 2 _[1080], 2 _[2112], -_[3161] + _[4200]] in MathOptInterface.SecondOrderCone(4)",9.2629174692508e-12
"[_[3102] + _[4123], 2 _[1003], 2 _[2035], -_[3102] + _[4123]] in MathOptInterface.SecondOrderCone(4)",9.248315609385042e-12
"[_[3102] + _[4124], 2 _[1004], 2 _[2036], -_[3102] + _[4124]] in MathOptInterface.SecondOrderCone(4)",9.248315609385042e-12
"[_[3073] + _[4113], 2 _[993], 2 _[2025], -_[3073] + _[4113]] in MathOptInterface.SecondOrderCone(4)",9.230966087716585e-12
"[_[2538] + _[3592], 2 _[472], 2 _[1504], -_[2538] + _[3592]] in MathOptInterface.SecondOrderCone(4)",9.164943699828933e-12
"[_[2512] + _[3570], 2 _[450], 2 _[1482], -_[2512] + _[3570]] in MathOptInterface.SecondOrderCone(4)",8.824861673278027e-12
"[_[2515] + _[3572], 2 _[452], 2 _[1484], -_[2515] + _[3572]] in MathOptInterface.SecondOrderCone(4)",8.824861673278027e-12
"[_[3100] + _[4126], 2 _[1006], 2 _[2038], -_[3100] + _[4126]] in MathOptInterface.SecondOrderCone(4)",8.722256131103041e-12
"[_[3065] + _[4107], 2 _[987], 2 _[2019], -_[3065] + _[4107]] in MathOptInterface.SecondOrderCone(4)",8.67648793593241e-12
"[_[2946] + _[3992], 2 _[872], 2 _[1904], -_[2946] + _[3992]] in MathOptInterface.SecondOrderCone(4)",8.514061871081574e-12
"[_[3097] + _[4138], 2 _[1018], 2 _[2050], -_[3097] + _[4138]] in MathOptInterface.SecondOrderCone(4)",8.50911607983672e-12
"[_[2669] + _[3720], 2 _[600], 2 _[1632], -_[2669] + _[3720]] in MathOptInterface.SecondOrderCone(4)",8.458951625781773e-12
"[_[2486] + _[3521], 2 _[401], 2 _[1433], -_[2486] + _[3521]] in MathOptInterface.SecondOrderCone(4)",8.25931436966013e-12
"[_[2486] + _[3522], 2 _[402], 2 _[1434], -_[2486] + _[3522]] in MathOptInterface.SecondOrderCone(4)",8.25931436966013e-12
"[_[2675] + _[3728], 2 _[608], 2 _[1640], -_[2675] + _[3728]] in MathOptInterface.SecondOrderCone(4)",8.180731242103008e-12
"[_[2545] + _[3597], 2 _[477], 2 _[1509], -_[2545] + _[3597]] in MathOptInterface.SecondOrderCone(4)",8.025527602562116e-12
"[_[3140] + _[4180], 2 _[1060], 2 _[2092], -_[3140] + _[4180]] in MathOptInterface.SecondOrderCone(4)",7.950948210774637e-12
"[_[3084] + _[4129], 2 _[1009], 2 _[2041], -_[3084] + _[4129]] in MathOptInterface.SecondOrderCone(4)",7.83217071627521e-12
"[_[3087] + _[4131], 2 _[1011], 2 _[2043], -_[3087] + _[4131]] in MathOptInterface.SecondOrderCone(4)",7.83217071627521e-12
"[_[2556] + _[3613], 2 _[493], 2 _[1525], -_[2556] + _[3613]] in MathOptInterface.SecondOrderCone(4)",7.75570721353731e-12
"[_[2559] + _[3615], 2 _[495], 2 _[1527], -_[2559] + _[3615]] in MathOptInterface.SecondOrderCone(4)",7.75570721353731e-12
"[_[2833] + _[3880], 2 _[760], 2 _[1792], -_[2833] + _[3880]] in MathOptInterface.SecondOrderCone(4)",7.744638061703589e-12
"[_[2943] + _[3989], 2 _[869], 2 _[1901], -_[2943] + _[3989]] in MathOptInterface.SecondOrderCone(4)",7.735374516197356e-12
"[_[3205] + _[4243], 2 _[1123], 2 _[2155], -_[3205] + _[4243]] in MathOptInterface.SecondOrderCone(4)",7.711744624694164e-12
"[_[3228] + _[4266], 2 _[1146], 2 _[2178], -_[3228] + _[4266]] in MathOptInterface.SecondOrderCone(4)",7.709389486006138e-12
"[_[2450] + _[3506], 2 _[386], 2 _[1418], -_[2450] + _[3506]] in MathOptInterface.SecondOrderCone(4)",7.659068022705324e-12
"[_[2484] + _[3524], 2 _[404], 2 _[1436], -_[2484] + _[3524]] in MathOptInterface.SecondOrderCone(4)",7.62546804408949e-12
"[_[2882] + _[3908], 2 _[788], 2 _[1820], -_[2882] + _[3908]] in MathOptInterface.SecondOrderCone(4)",7.56886621095394e-12
"[_[2882] + _[3909], 2 _[789], 2 _[1821], -_[2882] + _[3909]] in MathOptInterface.SecondOrderCone(4)",7.56886621095394e-12
"[_[2682] + _[3734], 2 _[614], 2 _[1646], -_[2682] + _[3734]] in MathOptInterface.SecondOrderCone(4)",7.541389592926975e-12
"[_[3021] + _[4064], 2 _[944], 2 _[1976], -_[3021] + _[4064]] in MathOptInterface.SecondOrderCone(4)",7.511243817720247e-12
0.06015739073331296 _[347] + 0.03007869536665648 _[1379] - _[2410] + _[2413] - 0.0011309098937001523 _[3467] == 0,7.51122288976722e-12
"[_[2480] + _[3534], 2 _[414], 2 _[1446], -_[2480] + _[3534]] in MathOptInterface.SecondOrderCone(4)",7.420099950493654e-12
"[_[2721] + _[3769], 2 _[649], 2 _[1681], -_[2721] + _[3769]] in MathOptInterface.SecondOrderCone(4)",7.41122892810209e-12
"[_[3100] + _[4127], 2 _[1007], 2 _[2039], -_[3100] + _[4127]] in MathOptInterface.SecondOrderCone(4)",7.3478756973942e-12
"[_[3154] + _[4194], 2 _[1074], 2 _[2106], -_[3154] + _[4194]] in MathOptInterface.SecondOrderCone(4)",7.328956083267059e-12
"[_[2890] + _[3936], 2 _[816], 2 _[1848], -_[2890] + _[3936]] in MathOptInterface.SecondOrderCone(4)",7.312548617073815e-12
"[_[3159] + _[4201], 2 _[1081], 2 _[2113], -_[3159] + _[4201]] in MathOptInterface.SecondOrderCone(4)",7.294571058421885e-12
"[_[2952] + _[4000], 2 _[880], 2 _[1912], -_[2952] + _[4000]] in MathOptInterface.SecondOrderCone(4)",7.2459766968256224e-12
"[_[2955] + _[4002], 2 _[882], 2 _[1914], -_[2955] + _[4002]] in MathOptInterface.SecondOrderCone(4)",7.2459766968256224e-12
"[_[2657] + _[3708], 2 _[588], 2 _[1620], -_[2657] + _[3708]] in MathOptInterface.SecondOrderCone(4)",7.148081432026689e-12
"[_[3448] + _[4480], 2 _[1360], 2 _[2392], -_[3448] + _[4480]] in MathOptInterface.SecondOrderCone(4)",7.034328233395049e-12
"[_[2670] + _[3721], 2 _[601], 2 _[1633], -_[2670] + _[3721]] in MathOptInterface.SecondOrderCone(4)",7.011875911235871e-12
"[_[3360] + _[4394], 2 _[1274], 2 _[2306], -_[3360] + _[4394]] in MathOptInterface.SecondOrderCone(4)",7.00810768933503e-12
"[_[3339] + _[4376], 2 _[1256], 2 _[2288], -_[3339] + _[4376]] in MathOptInterface.SecondOrderCone(4)",6.983849760848366e-12
"[_[3150] + _[4195], 2 _[1075], 2 _[2107], -_[3150] + _[4195]] in MathOptInterface.SecondOrderCone(4)",6.9584927676406235e-12
"[_[3273] + _[4310], 2 _[1190], 2 _[2222], -_[3273] + _[4310]] in MathOptInterface.SecondOrderCone(4)",6.948758194396784e-12
"[_[2748] + _[3782], 2 _[662], 2 _[1694], -_[2748] + _[3782]] in MathOptInterface.SecondOrderCone(4)",6.920653539386344e-12
"[_[2506] + _[3562], 2 _[442], 2 _[1474], -_[2506] + _[3562]] in MathOptInterface.SecondOrderCone(4)",6.886425523787038e-12
"[_[3298] + _[4336], 2 _[1216], 2 _[2248], -_[3298] + _[4336]] in MathOptInterface.SecondOrderCone(4)",6.850941434220785e-12
