constraint,distance
-_[8056] + _[8957] == 0,3.4034737211641186e-5
_[8062] - 0.9935952354616702 _[25631] == 1.8135090790281083,3.3969831349622837e-5
_[8056] - 0.9948075682498614 _[24479] == 1.4702370500517645,2.5905431527917244e-5
-0.6375661375661377 _[7131] - 3.1878306878306883 _[7168] + 3.825396825396826 _[24479] == 0,2.049108502433228e-5
_[8055] - 0.9955779260790824 _[24287] == 1.2521102307078422,1.9381733125101164e-5
_[8058] - 0.9913468767899716 _[24863] == 2.4501318369195246,1.9053922699185932e-5
-_[8055] + _[8956] == 0,1.8671456643915008e-5
_[8061] - 0.9948075682498614 _[25439] == 1.4702370500517645,1.8082701046751026e-5
-_[8061] + _[8973] == 0,1.7763062373887806e-5
_[7175] == 361.0774608500985,1.7554422356624855e-5
_[7175] - _[8974] == 0,1.6273277935852093e-5
-0.4781746031746033 _[7137] - 2.3908730158730163 _[7174] + 2.8690476190476195 _[25631] == 0,1.6160347740878933e-5
-_[8063] + _[8975] == 0,1.546159057852492e-5
-_[8062] + _[8974] == 0,1.3453628980641952e-5
_[7168] - _[8956] == 0,1.305417254116037e-5
_[7170] == 361.2751716049647,1.3032328752160538e-5
-0.7969576719576722 _[7130] - 3.98478835978836 _[7167] + 4.7817460317460325 _[24287] == 0,1.3010257362111588e-5
_[7174] == 361.57978515681975,1.2842647663546813e-5
_[17970] - 0.0042 _[18192] == 0,1.2714517978240636e-5
_[17970] == 0.16066666666666668,1.2714293698062873e-5
_[7174] - _[8973] == 0,1.2299009540583938e-5
-0.6375661375661377 _[7136] - 3.1878306878306883 _[7173] + 3.825396825396826 _[25439] == 0,1.224350239681371e-5
_[8063] - 0.9913468767899716 _[25823] == 2.4501318369195246,1.212755392998588e-5
_[7168] == 361.68294858060665,1.1315427457248006e-5
_[7169] == 361.2751716049647,1.1215134804842819e-5
_[7169] - _[8957] == 0,1.1214755886612693e-5
-_[8058] + _[8959] == 0,1.0886999064041447e-5
_[17941] - 0.0042 _[18407] == 0,1.0750659365788007e-5
_[17941] == 0.16066666666666668,1.0750469727371925e-5
_[17940] - 0.0042 _[18383] == 0,1.0744851093674734e-5
_[17940] == 0.16066666666666668,1.0744661557871016e-5
_[7171] - _[8959] == 0,1.0273044495079375e-5
_[7171] == 360.5991448692623,1.0270712834881124e-5
-0.31878306878306883 _[7133] - 1.5939153439153442 _[7170] + 1.912698412698413 _[24863] == 0,1.0189846079811105e-5
_[17969] - 0.0042 _[18168] == 0,9.85026612523865e-6
_[17969] == 0.16066666666666668,9.850092369645402e-6
_[7176] - _[8975] == 0,9.46377980426405e-6
_[7176] == 360.4031449299179,9.46146099067846e-6
_[7170] - _[8957] == 0,9.397561939294974e-6
-0.31878306878306883 _[7138] - 1.5939153439153442 _[7175] + 1.912698412698413 _[25823] == 0,9.387803288518626e-6
_[17972] - 0.0042 _[18240] == 0,8.805958803204117e-6
_[17972] == 0.16066666666666668,8.805803468819873e-6
_[17959] - 0.0042 _[18839] == 0,8.716064476388397e-6
_[17959] == 0.16066666666666668,8.715910727374876e-6
_[17942] - 0.0042 _[18431] == 0,8.634004688284902e-6
_[17942] == 0.16066666666666668,8.633852386918939e-6
_[17960] - 0.0042 _[18863] == 0,6.870616275689301e-6
_[17960] == 0.16066666666666668,6.870495080080197e-6
-5.738095238095239 _[13454] - 4.7817460317460325 _[13460] + 10.519841269841272 _[14353] == 0,6.703287908749189e-6
_[17943] - 0.0042 _[18455] == 0,6.584997386677172e-6
_[17943] == 0.16066666666666668,6.584881229426687e-6
_[17971] - 0.0042 _[18216] == 0,6.486657968846066e-6
_[17971] == 0.16066666666666668,6.4865435460137455e-6
_[17974] - 0.0042 _[18288] == 0,6.318419583400958e-6
_[17974] == 0.16066666666666668,6.318308128500094e-6
_[8060] - 0.9955779260790824 _[25247] == 1.2521102307078422,5.45172940746852e-6
_[17961] - 0.0042 _[18887] == 0,5.3156198092374485e-6
_[17961] == 0.16066666666666668,5.3155260432147244e-6
_[7173] == 361.9891520731986,4.879515017819358e-6
_[17945] - 0.0042 _[18503] == 0,4.852640929420282e-6
_[17945] == 0.16066666666666668,4.852555330198127e-6
_[17944] - 0.0042 _[18479] == 0,4.8232461384578595e-6
_[17944] == 0.16066666666666668,4.823161057848635e-6
_[17975] - 0.0042 _[18312] == 0,4.748640950347216e-6
_[17975] == 0.16066666666666668,4.7485571854910535e-6
_[8018] - 0.9955779260790824 _[24285] == 1.2521102307078422,4.5624369136021414e-6
-_[8054] + _[8955] == 0,4.5416016973831574e-6
-_[8049] + _[8949] == 0,4.3568298906393466e-6
_[7167] == 362.03176959677637,4.163356607023161e-6
_[8054] - 0.9961160986065956 _[24095] == 1.0997266795424707,4.162888671999099e-6
_[17962] - 0.0042 _[18911] == 0,4.120814302427389e-6
_[17962] == 0.16066666666666668,4.120741612323453e-6
_[17946] - 0.0042 _[18527] == 0,3.7496917353052606e-6
_[17946] == 0.16066666666666668,3.749625591770167e-6
-_[8019] + _[8919] == 0,3.7044038094791176e-6
_[17924] - 0.0042 _[18910] == 0,3.5904128457830975e-6
_[17924] == 0.16468333333333332,3.590349511722879e-6
_[17981] - 0.0042 _[18456] == 0,3.554999000537906e-6
_[17981] == 0.16066666666666668,3.5549362917830507e-6
_[17908] - 0.0042 _[18526] == 0,3.469642049780397e-6
_[17908] == 0.16468333333333332,3.4695808463769406e-6
_[17980] - 0.0042 _[18432] == 0,3.453815321519116e-6
_[17980] == 0.16066666666666668,3.453754397614306e-6
-_[8041] + _[8947] == 0,3.383743433005293e-6
_[17923] - 0.0042 _[18886] == 0,3.309465710976678e-6
_[17923] == 0.16468333333333332,3.3094073330630636e-6
_[17907] - 0.0042 _[18502] == 0,3.254980599914914e-6
_[17907] == 0.16468333333333332,3.2549231831768832e-6
-_[8024] + _[8935] == 0,3.2494934316673607e-6
_[17906] - 0.0042 _[18478] == 0,3.2352636041010907e-6
_[17906] == 0.16468333333333332,3.2352065350571557e-6
_[8035] - 0.9948075682498614 _[20447] == 1.4702370500517645,3.1776640412317647e-6
-_[8031] + _[8964] == 0,3.062767859773885e-6
_[7167] - _[8955] == 0,2.9971602657496987e-6
-0.9563492063492066 _[12529] - 4.7817460317460325 _[12566] + 5.738095238095239 _[24096] == 0,2.98571808343695e-6
-0.9563492063492066 _[7129] - 4.7817460317460325 _[7166] + 5.738095238095239 _[24095] == 0,2.9786410777887795e-6
-_[8034] + _[8963] == 0,2.8808959200432582e-6
_[8030] - 0.9948075682498614 _[19487] == 1.4702370500517645,2.8333933528301714e-6
_[17935] - 0.0042 _[18263] == 0,2.8254182842246678e-6
_[17935] == 0.16066666666666668,2.8253684445922467e-6
_[7173] - _[8954] == 0,2.7899762926608673e-6
-_[8048] + _[8948] == 0,2.7836634899358614e-6
-0.7969576719576722 _[7135] - 3.98478835978836 _[7172] + 4.7817460317460325 _[25247] == 0,2.773020469248877e-6
_[8046] - 0.9913468767899716 _[22559] == 2.4501318369195246,2.686076072677679e-6
_[17973] - 0.0042 _[18264] == 0,2.676102293985849e-6
_[17973] == 0.16066666666666668,2.676055088413065e-6
-_[8060] + _[8954] == 0,2.6608027496877185e-6
_[17965] - 0.0042 _[18072] == 0,2.64425989410233e-6
_[17965] == 0.16066666666666668,2.644213249997085e-6
_[17922] - 0.0042 _[18862] == 0,2.6319002406349767e-6
_[17922] == 0.16468333333333332,2.6318538147440673e-6
_[8050] - 0.9973292575365615 _[23327] == 0.7562207285225782,2.6242873332193994e-6
_[17905] - 0.0042 _[18454] == 0,2.623071190283044e-6
_[17905] == 0.16468333333333332,2.6230249201286693e-6
_[17991] - 0.0042 _[18696] == 0,2.6226978961096936e-6
_[17991] == 0.16066666666666668,2.6226516324778792e-6
-_[8036] + _[8943] == 0,2.6145033302782394e-6
-_[8025] + _[8936] == 0,2.593067904399504e-6
_[8031] - 0.9935952354616702 _[19679] == 1.8135090790281083,2.5434131885049283e-6
_[8041] - 0.9965160931708147 _[21599] == 0.9864682186837967,2.528528966649901e-6
-_[8040] + _[8946] == 0,2.364175088587217e-6
_[7162] - _[8949] == 0,2.210844286310021e-6
-1.7956349206349211 _[7124] - 8.978174603174605 _[7161] + 10.773809523809526 _[23135] == 0,2.19458206629497e-6
_[17998] - 0.0042 _[18864] == 0,2.1809730891830803e-6
_[17998] == 0.16066666666666668,2.1809346176238087e-6
-_[8042] + _[8967] == 0,2.151253681859089e-6
_[17997] - 0.0042 _[18840] == 0,2.090894568290702e-6
_[17997] == 0.16066666666666668,2.0908576858491568e-6
-0.7969576719576722 _[7093] - 3.98478835978836 _[7130] + 4.7817460317460325 _[24285] == 0,2.0892227894364623e-6
_[7131] - _[8918] == 0,2.063823160369793e-6
_[7154] - _[8947] == 0,2.0583071318469592e-6
_[8049] - 0.9974938921633135 _[23135] == 0.7096044339577929,2.0399899653966713e-6
-1.1157407407407411 _[7116] - 5.578703703703704 _[7153] + 6.6944444444444455 _[21599] == 0,2.025172761932481e-6
-_[8035] + _[8962] == 0,1.9456506379356142e-6
-0.4781746031746033 _[7106] - 2.3908730158730163 _[7143] + 2.8690476190476195 _[19679] == 0,1.914668018798693e-6
_[17936] - 0.0042 _[18287] == 0,1.9034010822482905e-6
_[17936] == 0.16066666666666668,1.9033675068280687e-6
_[17956] - 0.0042 _[18767] == 0,1.843340179302766e-6
_[17956] == 0.16066666666666668,1.8433076631463319e-6
_[17954] - 0.0042 _[18719] == 0,1.8391689518837406e-6
_[17954] == 0.16066666666666668,1.8391365093906042e-6
_[8040] - 0.9968266756220686 _[21407] == 0.8985267976112823,1.8139280086870713e-6
_[8025] - 0.9935952354616702 _[25629] == 1.8135090790281083,1.8017993284047407e-6
_[7148] - _[8962] == 0,1.7586473290975846e-6
-0.6375661375661377 _[7110] - 3.1878306878306883 _[7147] + 3.825396825396826 _[20447] == 0,1.749423063301947e-6
_[17979] - 0.0042 _[18408] == 0,1.7191698714336123e-6
_[17979] == 0.16066666666666668,1.7191395460802728e-6
_[8042] - 0.9961160986065956 _[21791] == 1.0997266795424707,1.717452505545225e-6
_[17953] - 0.0042 _[18695] == 0,1.701727386366203e-6
_[17953] == 0.16066666666666668,1.701697368100552e-6
_[17957] - 0.0042 _[18791] == 0,1.693759858506505e-6
_[17957] == 0.16066666666666668,1.6937299810726447e-6
_[7133] - _[8919] == 0,1.6723743669899704e-6
_[17934] - 0.0042 _[18239] == 0,1.6378284906082285e-6
_[17934] == 0.16066666666666668,1.6377995997463035e-6
_[17932] - 0.0042 _[18191] == 0,1.636501667262591e-6
_[17932] == 0.16066666666666668,1.6364727998818829e-6
-0.6375661375661377 _[7094] - 3.1878306878306883 _[7131] + 3.825396825396826 _[24477] == 0,1.621629053261131e-6
_[8048] - 0.9976348744487732 _[22943] == 0.6696852998298937,1.5785518598931958e-6
_[8051] - 0.9971339945981957 _[23519] == 0.8115094295208678,1.5624253251189657e-6
-_[8018] + _[8918] == 0,1.5406639590764826e-6
_[7161] - _[8948] == 0,1.5368155459327681e-6
_[7138] - _[8936] == 0,1.5361509895228664e-6
-0.4781746031746033 _[7100] - 2.3908730158730163 _[7137] + 2.8690476190476195 _[25629] == 0,1.498892515883199e-6
-1.9550264550264551 _[7123] - 9.775132275132277 _[7160] + 11.730158730158731 _[22943] == 0,1.4978950275690295e-6
_[17955] - 0.0042 _[18743] == 0,1.4861719029313214e-6
_[17955] == 0.16066666666666668,1.4861456873460632e-6
_[17999] - 0.0042 _[18888] == 0,1.4853995237706918e-6
_[17999] == 0.16066666666666668,1.4853733218411769e-6
-_[8029] + _[8941] == 0,1.4797544167777232e-6
-0.6375661375661377 _[7099] - 3.1878306878306883 _[7136] + 3.825396825396826 _[25437] == 0,1.4716417808813276e-6
_[7137] - _[8935] == 0,1.4443140798903187e-6
_[17958] - 0.0042 _[18815] == 0,1.4382789180478195e-6
_[17958] == 0.16066666666666668,1.4382535473977942e-6
_[17904] - 0.0042 _[18430] == 0,1.4373139521350886e-6
_[17904] == 0.16468333333333332,1.4372885982216754e-6
_[17921] - 0.0042 _[18838] == 0,1.435425843493432e-6
_[17921] == 0.16468333333333332,1.4354005228034428e-6
-1.2751322751322753 _[7115] - 6.375661375661377 _[7152] + 7.650793650793652 _[21407] == 0,1.4324427866085898e-6
_[17983] - 0.0042 _[18504] == 0,1.430365940691125e-6
_[17983] == 0.16066666666666668,1.4303407097071563e-6
_[7159] == 360.99436289820216,1.3968446523904277e-6
_[7159] - _[8971] == 0,1.3965317862130178e-6
-_[8046] + _[8971] == 0,1.3919903949499712e-6
_[7143] == 362.518194107889,1.389214276059647e-6
_[7153] - _[8946] == 0,1.3859340697308653e-6
-0.31878306878306883 _[7121] - 1.5939153439153442 _[7158] + 1.912698412698413 _[22559] == 0,1.383295625601022e-6
-_[8039] + _[8945] == 0,1.3528502336157544e-6
-0.9563492063492066 _[7117] - 4.7817460317460325 _[7154] + 5.738095238095239 _[21791] == 0,1.3246517482912168e-6
_[7148] == 362.16722208657416,1.3177835853639408e-6
_[7147] - _[8963] == 0,1.2954844805790344e-6
-0.7969576719576722 _[7109] - 3.98478835978836 _[7146] + 4.7817460317460325 _[20255] == 0,1.293048626394011e-6
-1.6362433862433865 _[7125] - 8.181216931216934 _[7162] + 9.81746031746032 _[23327] == 0,1.2583436728164088e-6
