method,run_id,group,rows,maximum_normalized,worst_id,all_pass
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,auxiliary,96,1.164824156983771e-10,5-3-exact,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,branch,2,0.0,z-binary,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,comfort,10512,6.647105088575246e-6,building-energy,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,comfort_link,3456,0.0,train_000890/1/1,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,cost,6,4.110545459449519e-8,policy-upper,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,delivery,196,1.164824156983771e-10,R5-D-delivery,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,electric,30048,9.973806844173538e-10,5-14,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,embedded,4,2.0740351238580093e-7,cost/dual-rows,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,first_stage,96,0.0,P_DA_MW/1,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,heat,43200,6.710365596518386e-6,5-21,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,risk,3,0.0,risk-upper,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,auxiliary,96,5.824120784918854e-11,5-3-exact,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,branch,1,0.0,z-binary,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,comfort,10512,9.125741828874824e-7,building-energy,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,comfort_link,3456,0.0,train_000890/1/1,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,cost,6,3.1271115506033665e-10,5-5-cost,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,delivery,196,5.824120784918854e-11,5-3-epigraph,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,electric,30048,9.574854570406596e-8,5-14,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,embedded,4,4.1510270156555514e-10,cost/dual-rows,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,first_stage,96,3.552713678800501e-9,R_up_MW/4,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,heat,43200,2.2009771782904863e-6,5-21,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,risk,3,0.0,risk-upper,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,auxiliary,96,5.824120784918854e-11,5-3-exact,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,branch,1,0.0,z-binary,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,comfort,10512,1.3740484444690892e-7,building-energy,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,comfort_link,3456,0.0,train_000890/1/1,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,cost,6,1.5595171960627472e-9,policy-upper,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,delivery,196,5.824120784918854e-11,R5-D-delivery,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,electric,30048,1.0302869668521453e-7,5-14,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,embedded,4,2.1868984651719723e-8,cost/dual-rows,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,first_stage,96,3.552713678800501e-9,R_up_MW/4,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,heat,43200,1.0186340659856796e-6,5-21,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,risk,3,0.0,risk-upper,true
