method,run_id,scenario,probability,selected,actual_event,raw_event,comfort_excess_K,recourse_cost_CNY,delivery_mismatch_MWh,model_pass
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,train_000890,0.3563218390804597,0.0,0,0,0.0,109453.24645237997,3.530509218307998e-14,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,train_001527,0.1954022988505747,0.0,0,0,0.0,109453.24645235727,2.058075931898884e-14,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,train_001236,0.264367816091954,0.0,0,0,0.0,109453.2464520639,2.657336156675072e-14,true
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,train_001785,0.1839080459770115,0.0,0,0,0.0,109453.24645237619,2.964826734813686e-14,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,train_000890,0.3563218390804597,0.0,0,0,0.0,100089.18116680713,1.7055801215803967e-14,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,train_001527,0.1954022988505747,0.0,0,0,0.0,105168.54147287749,2.328692794151266e-14,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,train_001236,0.264367816091954,0.0,0,0,0.0,99814.29155737115,2.0518309273853674e-14,true
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,train_001785,0.1839080459770115,0.0,0,0,0.0,97680.28262362623,1.0895689732393077e-14,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,train_000890,0.3563218390804597,0.0,0,0,0.0,99975.72330468387,1.674008154317619e-14,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,train_001527,0.1954022988505747,0.0,0,0,0.0,104469.90234061633,1.8512968935624485e-14,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,train_001236,0.264367816091954,0.0,0,0,0.0,99618.46293850336,2.1573021147247573e-14,true
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,train_001785,0.1839080459770115,0.0,0,0,0.0,97550.93728487619,1.6927431678581684e-14,true
