method,scenario,probability,worst_single_event,epsilon,individually_allowed
pilot4-3a,train_000890,0.3563218390804597,0.9999999999999999,0.0,false
pilot4-3a,train_001527,0.1954022988505747,0.9999999999999999,0.0,false
pilot4-3a,train_001236,0.264367816091954,0.9999999999999999,0.0,false
pilot4-3a,train_001785,0.1839080459770115,0.9999999999999998,0.0,false
pilot4-3b,train_000890,0.3563218390804597,0.3563218390804597,0.05,false
pilot4-3b,train_001527,0.1954022988505747,0.1954022988505747,0.05,false
pilot4-3b,train_001236,0.264367816091954,0.264367816091954,0.05,false
pilot4-3b,train_001785,0.1839080459770115,0.1839080459770115,0.05,false
pilot4-3c,train_000890,0.3563218390804597,0.39417135260372904,0.05,false
pilot4-3c,train_001527,0.1954022988505747,0.23719741147080461,0.05,false
pilot4-3c,train_001236,0.264367816091954,0.30616292871218387,0.05,false
pilot4-3c,train_001785,0.1839080459770115,0.2217575595002808,0.05,false
